Player,Nation,Pos,Age,90s,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Iñaki Williams,gh GHA,FW,30.0,29.5,17,10,4,8,5,12,23,52.2,11,34,5,29,12,29,32,0
Daniel Vivian,es ESP,DF,25.0,29.0,40,26,23,14,3,21,32,65.6,11,26,10,16,47,87,152,2
Álex Berenguer,es ESP,"FW,MF",29.0,26.0,32,16,6,16,10,14,31,45.2,17,23,2,21,10,42,18,0
Mikel Jauregizar,es ESP,MF,20.0,24.9,84,48,25,45,14,41,83,49.4,42,24,4,20,29,113,36,2
Yuri Berchiche,es ESP,DF,34.0,22.7,33,21,19,11,3,19,33,57.6,14,25,5,20,27,60,72,3
Nico Williams,es ESP,FW,22.0,22.2,28,18,10,11,7,11,32,34.4,21,20,1,19,7,35,9,0
Unai Simón,es ESP,GK,27.0,21.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,14,4
Gorka Guruzeta,es ESP,FW,27.0,20.4,16,8,1,13,2,7,31,22.6,24,28,4,24,9,25,23,0
Aitor Paredes,es ESP,DF,24.0,20.1,15,13,10,5,0,8,15,53.3,7,26,15,11,22,37,114,4
Beñat Prados,es ESP,MF,23.0,19.1,55,36,20,27,8,25,53,47.2,28,21,2,19,28,83,26,0
Yeray Álvarez,es ESP,DF,29.0,19.8,25,13,14,9,2,15,22,68.2,7,10,6,4,34,59,129,1
Oihan Sancet,es ESP,MF,24.0,18.0,13,8,6,6,1,5,14,35.7,9,10,0,10,5,18,6,0
Iñigo Ruiz de Galarreta,es ESP,MF,30.0,16.4,36,22,11,17,8,20,31,64.5,11,11,4,7,16,52,14,2
Óscar de Marcos,es ESP,DF,35.0,17.4,32,15,15,13,4,21,37,56.8,16,17,1,16,16,48,35,0
Andoni Gorosabel,es ESP,DF,27.0,16.5,47,28,31,9,7,30,45,66.7,15,18,2,16,18,65,62,0
Unai Gómez,es ESP,"MF,FW",21.0,14.3,12,8,3,7,2,4,7,57.1,3,13,1,12,2,14,15,1
Julen Agirrezabala,es ESP,GK,23.0,13.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0
Adama Boiro,es ESP,"DF,FW",22.0,12.2,20,11,11,7,2,10,15,66.7,5,10,3,7,12,32,27,1
Mikel Vesga,es ESP,MF,31.0,11.0,22,15,7,13,2,12,28,42.9,16,10,1,9,15,37,26,0
Iñigo Lekue,es ESP,DF,31.0,8.6,15,12,12,3,0,9,17,52.9,8,7,2,5,9,24,29,2
Maroan Sannadi,ma MAR,FW,23.0,8.4,5,0,1,4,0,2,7,28.6,5,1,0,1,1,6,2,1
Álvaro djaló,es ESP,FW,24.0,7.3,8,5,3,2,3,1,3,33.3,2,4,0,4,1,9,4,0
Unai Núñez,es ESP,DF,27.0,7.2,10,5,7,3,0,4,7,57.1,3,4,4,0,17,27,46,1
Alex Padilla,es ESP,GK,20.0,3.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1
Ander Herrera,es ESP,MF,34.0,3.0,8,4,1,7,0,3,6,50.0,3,1,0,1,2,10,10,0
Peio Canales,es ESP,"MF,FW",19.0,2.9,3,2,0,1,2,1,1,100.0,0,3,0,3,2,5,2,0
Nicolás Serrano,es ESP,FW,21.0,1.2,1,1,0,1,0,1,3,33.3,2,4,0,4,1,2,1,0
Aingeru Olabarrieta,es ESP,FW,18.0,0.6,0,0,0,0,0,0,0,,0,2,0,2,1,1,1,0
Javi Martón,es ESP,"FW,MF",25.0,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Adu Ares,es ESP,FW,22.0,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Endika Buján,es ESP,FW,21.0,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Squad Total,,,26.9,38.0,577,345,240,252,85,296,579,51.1,283,353,72,281,344,921,911,25
Opponent Total,,,26.6,38.0,789,471,428,289,72,388,716,54.2,328,348,112,236,361,1150,951,24
