Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Iñaki Williams,gh GHA,FW,28.0,31.5,531,827,64.2,7395,1648,315,403,78.2,160,260,61.5,25,57,43.9,3,4.8,4.1,-1.8,38,24,27,9,61
Óscar de Marcos,es ESP,DF,33.0,31.3,1499,1932,77.6,25216,9281,749,849,88.2,608,764,79.6,119,217,54.8,6,3.5,4.5,2.5,37,170,50,23,204
Nico Williams,es ESP,FW,20.0,29.5,634,951,66.7,9342,2394,381,455,83.7,196,289,67.8,42,101,41.6,4,6.4,4.1,-2.4,46,24,36,12,80
Oihan Sancet,es ESP,MF,22.0,28.1,788,975,80.8,11658,3001,453,516,87.8,271,329,82.4,41,59,69.5,2,4.2,2.4,-2.2,44,88,27,1,159
Unai Simón,es ESP,GK,25.0,30.5,690,951,72.6,19697,14574,94,95,98.9,383,393,97.5,212,459,46.2,0,0.0,0.0,0.0,0,18,0,0,2
Mikel Vesga,es ESP,MF,29.0,28.6,1259,1510,83.4,22687,6824,562,655,85.8,513,582,88.1,152,197,77.2,3,1.5,1.8,1.5,20,193,21,4,199
Yuri Berchiche,es ESP,DF,32.0,26.7,1304,1580,82.5,22195,8668,640,703,91.0,537,634,84.7,105,153,68.6,1,1.4,1.7,-0.4,21,146,31,14,179
Yeray Álvarez,es ESP,DF,27.0,25.9,1123,1392,80.7,23716,9040,357,404,88.4,596,671,88.8,163,287,56.8,1,1.1,0.8,-0.1,14,137,11,4,152
Daniel Vivian,es ESP,DF,23.0,26.4,1165,1442,80.8,25085,9283,316,359,88.0,654,734,89.1,191,311,61.4,0,0.7,0.5,-0.7,6,118,3,0,124
Álex Berenguer,es ESP,FW,27.0,25.5,630,955,66.0,9379,2766,372,441,84.4,163,266,61.3,62,152,40.8,1,4.6,5.2,-3.6,52,25,41,16,77
Iker Muniain,es ESP,"MF,FW",29.0,18.8,890,1110,80.2,14031,4353,480,541,88.7,304,365,83.3,73,137,53.3,3,3.9,3.9,-0.9,47,89,28,4,154
Dani García,es ESP,MF,32.0,16.5,571,720,79.3,9716,2877,274,319,85.9,232,275,84.4,54,99,54.5,2,0.7,0.7,1.3,10,71,7,2,73
Gorka Guruzeta,es ESP,FW,25.0,15.8,286,394,72.6,4358,762,150,189,79.4,86,113,76.1,25,30,83.3,1,1.0,1.2,0.0,14,23,10,1,37
Iñigo Martínez,es ESP,DF,31.0,14.9,627,773,81.1,13236,5012,203,234,86.8,305,344,88.7,109,172,63.4,0,0.3,0.2,-0.3,5,52,2,0,60
Iñigo Lekue,es ESP,DF,29.0,14.7,624,807,77.3,10406,3685,306,353,86.7,260,329,79.0,45,85,52.9,1,0.7,0.7,0.3,13,57,9,7,64
Aitor Paredes,es ESP,DF,22.0,9.5,464,521,89.1,9712,3359,133,143,93.0,258,273,94.5,68,93,73.1,0,0.4,0.2,-0.4,3,29,2,0,33
Ander Herrera,es ESP,MF,32.0,7.7,376,455,82.6,5618,1359,210,239,87.9,128,153,83.7,22,35,62.9,1,0.9,0.9,0.1,11,32,7,0,40
Julen Agirrezabala,es ESP,GK,21.0,7.5,171,241,71.0,4890,3600,29,29,100.0,91,94,96.8,51,118,43.2,0,0.0,0.0,0.0,0,2,0,0,0
Raúl García,es ESP,"FW,MF",36.0,10.7,199,318,62.6,3061,743,118,151,78.1,57,107,53.3,17,33,51.5,3,1.1,0.8,1.9,8,24,7,0,38
Oier Zarraga,es ESP,MF,23.0,9.5,294,379,77.6,4675,1201,154,177,87.0,120,153,78.4,16,24,66.7,0,1.1,1.1,-1.1,12,36,9,4,37
Mikel Balenziaga,es ESP,DF,34.0,1.3,49,69,71.0,819,242,25,29,86.2,19,26,73.1,5,9,55.6,0,0.0,0.1,0.0,0,4,2,1,7
Ander Capa,es ESP,DF,30.0,1.2,74,91,81.3,1275,441,31,35,88.6,30,37,81.1,8,12,66.7,0,0.0,0.1,0.0,1,5,2,1,12
Asier Villalibre,es ESP,FW,24.0,1.1,11,18,61.1,163,39,6,9,66.7,5,6,83.3,0,0,,0,0.2,0.0,-0.2,2,1,1,0,2
Unai Vencedor Paris,es ESP,MF,21.0,2.1,107,124,86.3,2021,592,52,56,92.9,34,40,85.0,19,23,82.6,0,0.1,0.2,-0.1,2,13,2,0,16
Adu Ares,es ESP,"FW,MF",20.0,0.9,42,51,82.4,744,137,23,27,85.2,10,12,83.3,7,8,87.5,0,0.2,0.2,-0.2,3,4,3,3,4
Jon Morcillo,es ESP,"FW,MF",23.0,0.8,32,44,72.7,525,156,18,20,90.0,10,13,76.9,3,7,42.9,1,0.3,0.2,0.7,4,0,3,1,2
Squad Total,,,27.4,38.0,14440,18630,77.5,261620,96037,6451,7431,86.8,6030,7262,83.0,1634,2878,56.8,33,38.9,35.7,-5.9,413,1385,341,107,1816
Opponent Total,,,27.3,38.0,13537,17573,77.0,245545,92725,6176,7079,87.2,5335,6384,83.6,1644,3105,52.9,28,26.9,27.7,1.1,286,913,253,70,1212
