Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Iñaki Williams,gh GHA,FW,28.0,31.5,827,773,50,1,3,6,98,15,0,0,0,0,531,4,49
Óscar de Marcos,es ESP,DF,33.0,31.3,1932,1552,372,32,0,11,130,340,0,0,0,0,1499,8,52
Nico Williams,es ESP,FW,20.0,29.5,951,872,75,5,4,5,174,4,66,17,32,0,634,4,64
Oihan Sancet,es ESP,MF,22.0,28.1,975,936,28,13,9,3,17,1,3,0,2,0,788,11,19
Unai Simón,es ESP,GK,25.0,30.5,951,703,245,59,0,1,0,0,0,0,0,0,690,3,0
Mikel Vesga,es ESP,MF,29.0,28.6,1510,1489,13,11,2,19,12,1,0,0,0,0,1259,8,16
Yuri Berchiche,es ESP,DF,32.0,26.7,1580,1263,311,44,2,22,66,267,0,0,0,0,1304,6,34
Yeray Álvarez,es ESP,DF,27.0,25.9,1392,1308,80,72,5,35,9,2,0,0,0,0,1123,4,12
Daniel Vivian,es ESP,DF,23.0,26.4,1442,1381,56,49,1,27,6,6,0,0,0,0,1165,5,15
Álex Berenguer,es ESP,FW,27.0,25.5,955,792,151,35,0,2,162,15,100,36,32,1,630,12,31
Iker Muniain,es ESP,"MF,FW",29.0,18.8,1110,944,160,58,6,3,113,9,82,13,54,0,890,6,13
Dani García,es ESP,MF,32.0,16.5,720,688,29,28,3,7,5,0,0,0,0,0,571,3,8
Gorka Guruzeta,es ESP,FW,25.0,15.8,394,370,21,0,0,9,4,4,0,0,0,0,286,3,19
Iñigo Martínez,es ESP,DF,31.0,14.9,773,725,46,35,0,26,5,2,0,0,0,0,627,2,7
Iñigo Lekue,es ESP,DF,29.0,14.7,807,668,137,16,0,4,43,119,2,0,1,0,624,2,18
Aitor Paredes,es ESP,DF,22.0,9.5,521,493,25,12,1,3,2,12,0,0,0,0,464,3,2
Ander Herrera,es ESP,MF,32.0,7.7,455,444,9,8,6,0,7,0,1,0,0,0,376,2,4
Julen Agirrezabala,es ESP,GK,21.0,7.5,241,169,72,10,0,0,0,0,0,0,0,0,171,0,0
Raúl García,es ESP,"FW,MF",36.0,10.7,318,306,10,2,1,3,13,4,0,0,0,0,199,2,9
Oier Zarraga,es ESP,MF,23.0,9.5,379,364,12,8,1,1,29,1,2,0,2,0,294,3,11
Mikel Balenziaga,es ESP,DF,34.0,1.3,69,57,11,0,0,0,3,11,0,0,0,0,49,1,0
Ander Capa,es ESP,DF,30.0,1.2,91,67,22,1,0,1,4,21,0,0,0,0,74,2,0
Asier Villalibre,es ESP,FW,24.0,1.1,18,18,0,0,0,0,0,0,0,0,0,0,11,0,0
Unai Vencedor Paris,es ESP,MF,21.0,2.1,124,120,3,3,0,2,2,0,0,0,0,0,107,1,2
Adu Ares,es ESP,"FW,MF",20.0,0.9,51,49,2,0,0,1,8,1,1,0,0,0,42,0,1
Jon Morcillo,es ESP,"FW,MF",23.0,0.8,44,43,0,0,0,0,6,0,0,0,0,0,32,1,0
Squad Total,,,27.4,38.0,18630,16594,1940,502,44,191,918,835,257,66,123,1,14440,96,386
Opponent Total,,,27.3,38.0,17573,15545,1951,580,41,190,579,789,136,56,50,2,13537,77,358
