Player,Nation,Pos,Age,90s,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Iñaki Williams,gh GHA,FW,28.0,31.5,1182,38,103,389,707,181,1180,105,47,44.8,48,45.7,756,5180,2721,127,53,57,73,42,915,341
Óscar de Marcos,es ESP,DF,33.0,31.3,2218,93,525,1042,671,34,2218,31,12,38.7,17,54.8,1119,4785,2851,76,68,8,26,19,1245,153
Nico Williams,es ESP,FW,20.0,29.5,1382,11,132,376,898,148,1382,200,83,41.5,91,45.5,891,7039,3996,174,69,64,87,45,963,321
Oihan Sancet,es ESP,MF,22.0,28.1,1269,17,114,623,561,80,1267,83,46,55.4,25,30.1,847,5286,2806,91,71,17,82,61,981,156
Unai Simón,es ESP,GK,25.0,30.5,1007,810,1001,7,0,0,1007,0,0,,0,,598,3166,1823,0,0,0,1,0,480,0
Mikel Vesga,es ESP,MF,29.0,28.6,1800,66,338,1118,355,32,1797,18,10,55.6,8,44.4,962,4175,1995,26,29,4,38,16,1152,31
Yuri Berchiche,es ESP,DF,32.0,26.7,1865,92,478,899,506,24,1865,30,12,40.0,15,50.0,966,4831,2537,59,45,3,22,14,1047,95
Yeray Álvarez,es ESP,DF,27.0,25.9,1651,161,698,896,74,16,1651,11,6,54.5,1,9.1,898,6084,4073,32,17,1,8,1,915,8
Daniel Vivian,es ESP,DF,23.0,26.4,1720,143,804,857,71,26,1720,11,4,36.4,6,54.5,1029,5819,3835,25,12,0,21,14,1039,5
Álex Berenguer,es ESP,FW,27.0,25.5,1298,22,135,390,794,117,1298,85,37,43.5,44,51.8,716,4451,2024,73,54,35,63,39,848,249
Iker Muniain,es ESP,"MF,FW",29.0,18.8,1256,5,86,612,575,40,1256,66,39,59.1,15,22.7,823,4049,1867,50,55,9,30,30,961,103
Dani García,es ESP,MF,32.0,16.5,868,43,183,560,130,5,868,2,2,100.0,0,0.0,411,1289,514,6,6,0,6,4,497,8
Gorka Guruzeta,es ESP,FW,25.0,15.8,587,13,48,274,267,74,587,20,10,50.0,10,50.0,296,1161,450,15,10,4,40,22,412,93
Iñigo Martínez,es ESP,DF,31.0,14.9,914,117,451,430,38,15,914,0,0,,0,,495,3173,2165,11,10,0,4,2,529,4
Iñigo Lekue,es ESP,DF,29.0,14.7,951,45,265,450,249,13,951,22,11,50.0,9,40.9,521,2856,1643,42,25,6,17,3,506,59
Aitor Paredes,es ESP,DF,22.0,9.5,600,53,277,296,30,10,600,1,0,0.0,1,100.0,343,1678,895,4,2,0,3,0,377,8
Ander Herrera,es ESP,MF,32.0,7.7,540,18,99,302,141,17,540,10,5,50.0,4,40.0,316,1009,452,8,8,1,6,8,387,14
Julen Agirrezabala,es ESP,GK,21.0,7.5,253,203,249,4,0,0,253,0,0,,0,,150,804,551,0,0,0,0,0,105,0
Raúl García,es ESP,"FW,MF",36.0,10.7,446,9,32,192,224,68,446,12,6,50.0,5,41.7,230,940,453,12,15,2,13,8,321,62
Oier Zarraga,es ESP,MF,23.0,9.5,447,7,60,229,168,12,447,7,5,71.4,2,28.6,271,1549,766,12,15,2,6,9,304,32
Mikel Balenziaga,es ESP,DF,34.0,1.3,77,2,14,39,25,0,77,1,1,100.0,0,0.0,29,100,50,0,2,0,0,1,41,6
Ander Capa,es ESP,DF,30.0,1.2,110,2,24,50,37,2,110,3,2,66.7,1,33.3,53,406,193,5,9,1,3,2,56,7
Asier Villalibre,es ESP,FW,24.0,1.1,27,1,1,7,19,7,27,0,0,,0,,14,48,14,0,0,0,0,2,22,9
Unai Vencedor Paris,es ESP,MF,21.0,2.1,149,5,28,93,29,4,149,2,1,50.0,1,50.0,76,343,179,2,2,1,4,4,94,3
Adu Ares,es ESP,"FW,MF",20.0,0.9,69,2,5,18,46,3,69,9,5,55.6,2,22.2,51,410,246,8,4,1,1,3,49,19
Jon Morcillo,es ESP,"FW,MF",23.0,0.8,51,0,9,13,30,3,51,5,3,60.0,0,0.0,37,332,198,6,6,1,0,2,38,15
Squad Total,,,27.4,38.0,22737,1978,6159,10166,6645,931,22730,734,347,47.3,305,41.6,12898,70963,39297,864,587,217,554,351,14284,1801
Opponent Total,,,27.3,38.0,21997,2875,8384,9237,4606,626,21994,719,320,44.5,322,44.8,12125,62047,30317,549,410,135,600,286,13412,1202
