Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Iñaki Williams,gh GHA,FW,30.0,29.5,6,63,24,38.1,2.14,0.81,0.1,0.25,16.4,0,0,0,7.6,7.6,0.12,-1.6,-1.6
Daniel Vivian,es ESP,DF,25.0,29.0,4,18,5,27.8,0.62,0.17,0.22,0.8,13.8,0,0,0,1.9,1.9,0.11,2.1,2.1
Álex Berenguer,es ESP,"FW,MF",29.0,26.0,6,51,18,35.3,1.96,0.69,0.12,0.33,18.4,3,0,1,6.8,6.0,0.12,-0.8,0.0
Mikel Jauregizar,es ESP,MF,20.0,24.9,2,21,8,38.1,0.84,0.32,0.1,0.25,22.1,0,0,0,1.1,1.1,0.05,0.9,0.9
Yuri Berchiche,es ESP,DF,34.0,22.7,0,16,4,25.0,0.7,0.18,0.0,0.0,25.2,2,0,0,0.6,0.6,0.04,-0.6,-0.6
Nico Williams,es ESP,FW,22.0,22.2,5,54,19,35.2,2.43,0.86,0.09,0.26,17.6,1,0,0,4.2,4.2,0.08,0.8,0.8
Unai Simón,es ESP,GK,27.0,21.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Gorka Guruzeta,es ESP,FW,27.0,20.4,7,59,19,32.2,2.89,0.93,0.12,0.37,13.6,0,0,0,6.7,6.6,0.11,0.3,0.4
Aitor Paredes,es ESP,DF,24.0,20.1,3,6,3,50.0,0.3,0.15,0.5,1.0,4.7,0,0,0,2.3,2.3,0.38,0.7,0.7
Beñat Prados,es ESP,MF,23.0,19.1,1,16,5,31.3,0.84,0.26,0.06,0.2,20.1,0,0,0,1.0,1.0,0.06,0.0,0.0
Yeray Álvarez,es ESP,DF,29.0,19.8,1,9,2,22.2,0.45,0.1,0.11,0.5,15.5,0,0,0,0.5,0.5,0.05,0.5,0.5
Oihan Sancet,es ESP,MF,24.0,18.0,15,47,17,36.2,2.61,0.94,0.26,0.71,16.7,1,3,3,9.7,7.3,0.16,5.3,4.7
Iñigo Ruiz de Galarreta,es ESP,MF,30.0,16.4,0,11,1,9.1,0.67,0.06,0.0,0.0,24.1,0,0,0,0.5,0.5,0.05,-0.5,-0.5
Óscar de Marcos,es ESP,DF,35.0,17.4,0,8,2,25.0,0.46,0.12,0.0,0.0,19.7,0,0,0,1.0,1.0,0.12,-1.0,-1.0
Andoni Gorosabel,es ESP,DF,27.0,16.5,0,2,1,50.0,0.12,0.06,0.0,0.0,22.2,0,0,0,0.3,0.3,0.17,-0.3,-0.3
Unai Gómez,es ESP,"MF,FW",21.0,14.3,1,19,4,21.1,1.33,0.28,0.05,0.25,17.5,1,0,0,1.9,1.9,0.1,-0.9,-0.9
Julen Agirrezabala,es ESP,GK,23.0,13.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Adama Boiro,es ESP,"DF,FW",22.0,12.2,0,5,0,0.0,0.41,0.0,0.0,,14.4,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Mikel Vesga,es ESP,MF,31.0,11.0,0,5,2,40.0,0.46,0.18,0.0,0.0,21.6,0,0,1,1.2,0.4,0.08,-1.2,-0.4
Iñigo Lekue,es ESP,DF,31.0,8.6,0,2,0,0.0,0.23,0.0,0.0,,18.2,0,0,0,0.2,0.2,0.09,-0.2,-0.2
Maroan Sannadi,ma MAR,FW,23.0,8.4,1,19,7,36.8,2.27,0.84,0.05,0.14,15.1,0,0,0,3.5,3.5,0.18,-2.5,-2.5
Álvaro djaló,es ESP,FW,24.0,7.3,1,15,3,20.0,2.05,0.41,0.07,0.33,18.5,0,0,0,0.8,0.8,0.06,0.2,0.2
Unai Núñez,es ESP,DF,27.0,7.2,0,1,0,0.0,0.14,0.0,0.0,,3.3,0,0,0,0.2,0.2,0.23,-0.2,-0.2
Alex Padilla,es ESP,GK,20.0,3.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Ander Herrera,es ESP,MF,34.0,3.0,0,7,3,42.9,2.31,0.99,0.0,0.0,24.2,0,0,1,1.7,0.9,0.16,-1.7,-0.9
Peio Canales,es ESP,"MF,FW",19.0,2.9,0,3,0,0.0,1.04,0.0,0.0,,21.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Nicolás Serrano,es ESP,FW,21.0,1.2,0,5,1,20.0,4.02,0.8,0.0,0.0,24.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Aingeru Olabarrieta,es ESP,FW,18.0,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Javi Martón,es ESP,"FW,MF",25.0,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Adu Ares,es ESP,FW,22.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Endika Buján,es ESP,FW,21.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Squad Total,,,26.9,38.0,53,462,148,32.0,12.16,3.89,0.11,0.34,17.4,8,3,6,53.0,48.2,0.11,0.0,1.8
Opponent Total,,,26.6,38.0,28,338,108,32.0,8.89,2.84,0.07,0.23,17.6,9,3,5,37.8,33.9,0.1,-9.8,-8.9
