Player,Season,Nation,Nationality,Pos,Position,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def_Pen,Att_Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,MarketValueEuro,Current club
Adama Boiro,2425,es ESP,Spain,"DF,FW",Left-Back,22,18,13,1101.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.5,0.7,25.0,46.0,36.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,5.0,0.0,0.0,0.41,0.0,0.0,,14.4,0.0,0.05,-0.3,-0.3,401.0,502.0,79.9,6196.0,1937.0,216.0,239.0,90.4,170.0,216.0,78.7,11.0,29.0,37.9,0.6,-0.5,5.0,44.0,8.0,4.0,397.0,105.0,0.0,0.0,31.0,99.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,1.31,12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,11.0,7.0,2.0,10.0,66.7,5.0,7.0,12.0,32.0,27.0,1.0,627.0,25.0,14.0,8.0,30.8,16.0,61.5,288.0,5.0,23.0,15.0,332.0,2500000.0,Athletic Club
Adu Ares,2223,es ESP,Spain,"FW,MF",Right Winger,20,8,0,84.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,8.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.11,0.19,0.3,0.11,0.3,3.0,0.0,0.0,3.21,0.0,0.0,,21.3,0.0,0.04,-0.1,-0.1,42.0,51.0,82.4,744.0,137.0,23.0,27.0,85.2,10.0,12.0,83.3,7.0,8.0,87.5,0.2,-0.2,3.0,4.0,3.0,3.0,49.0,2.0,0.0,1.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,13.01,7.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,1.0,4.0,100.0,0.0,1.0,2.0,6.0,1.0,0.0,69.0,2.0,3.0,5.0,55.6,2.0,22.2,51.0,1.0,1.0,3.0,49.0,500000.0,Athletic Club
Adu Ares,2324,es ESP,Spain,FW,Right Winger,21,12,2,265.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,13.0,3.0,39.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,4.0,0.0,0.0,1.36,0.0,0.0,,21.2,0.0,0.03,-0.1,-0.1,79.0,104.0,76.0,1252.0,82.0,45.0,53.0,84.9,27.0,34.0,79.4,5.0,9.0,55.6,0.1,0.0,1.0,5.0,0.0,0.0,103.0,1.0,0.0,1.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,3.0,1.02,2.0,0.0,1.0,0.0,0.0,1.0,0.34,1.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,2.0,2.0,2.0,66.7,1.0,1.0,1.0,9.0,0.0,0.0,147.0,1.0,6.0,15.0,62.5,7.0,29.2,103.0,5.0,8.0,4.0,110.0,2000000.0,Athletic Club
Adu Ares,2425,es ESP,Spain,FW,Right Winger,22,1,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,5.0,9.0,55.6,64.0,15.0,3.0,5.0,60.0,2.0,3.0,66.7,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.74,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,1.0,100.0,8.0,0.0,0.0,2.0,11.0,1600000.0,Athletic Club
Aingeru Olabarrieta,2324,es ESP,Spain,FW,Right Winger,17,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,1.0,0.0,0.0,10.0,0.0,0.0,,25.4,0.0,0.01,0.0,0.0,2.0,5.0,40.0,23.0,6.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,,0.0,,3.0,0.0,0.0,0.0,4.0,500000.0,Athletic Club
Aingeru Olabarrieta,2425,es ESP,,FW,,18,1,1,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,9.0,18.0,50.0,114.0,24.0,6.0,10.0,60.0,2.0,3.0,66.7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,1.0,1.0,1.0,0.0,25.0,1.0,0.0,1.0,25.0,3.0,75.0,15.0,0.0,0.0,1.0,18.0,,
Aitor Paredes,2223,es ESP,Spain,DF,Centre-Back,22,16,9,859.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,0.4,0.9,4.0,33.0,8.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09,8.0,3.0,37.5,0.84,0.31,0.0,0.0,12.6,0.0,0.06,-0.5,-0.5,464.0,521.0,89.1,9712.0,3359.0,133.0,143.0,93.0,258.0,273.0,94.5,68.0,93.0,73.1,0.2,-0.4,3.0,29.0,2.0,0.0,493.0,25.0,1.0,3.0,2.0,12.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,0.52,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,4.0,2.0,1.0,6.0,54.5,5.0,4.0,14.0,21.0,26.0,0.0,600.0,53.0,10.0,0.0,0.0,1.0,100.0,343.0,0.0,3.0,0.0,377.0,1000000.0,Athletic Club
Aitor Paredes,2324,es ESP,Spain,DF,Centre-Back,23,34,31,2704.0,30.0,1.0,0.0,1.0,1.0,0.0,0.0,9.0,1.0,1.2,1.2,0.2,1.4,6.0,107.0,1.0,0.03,0.0,0.03,0.03,0.03,0.04,0.01,0.05,0.04,0.05,14.0,3.0,21.4,0.47,0.1,0.07,0.33,9.7,0.0,0.08,-0.2,-0.2,1331.0,1556.0,85.5,26700.0,10013.0,385.0,432.0,89.1,785.0,843.0,93.1,146.0,247.0,59.1,0.4,-0.2,4.0,68.0,6.0,0.0,1507.0,47.0,2.0,11.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,7.0,15.0,0.5,15.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,11.0,9.0,0.0,7.0,50.0,7.0,12.0,33.0,53.0,104.0,0.0,1799.0,158.0,24.0,2.0,66.7,1.0,33.3,1004.0,0.0,9.0,2.0,1167.0,22000000.0,Athletic Club
Aitor Paredes,2425,es ESP,Spain,DF,Centre-Back,24,23,21,1812.0,20.1,3.0,0.0,3.0,3.0,0.0,0.0,4.0,1.0,2.3,2.3,0.1,2.3,4.0,46.0,2.0,0.15,0.0,0.15,0.15,0.15,0.11,0.0,0.12,0.11,0.12,6.0,3.0,50.0,0.3,0.15,0.5,1.0,4.7,0.0,0.38,0.7,0.7,789.0,947.0,83.3,16864.0,6216.0,178.0,199.0,89.4,514.0,551.0,93.3,94.0,184.0,51.1,0.2,-0.1,2.0,42.0,2.0,0.0,909.0,36.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,8.0,0.4,8.0,0.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,15.0,13.0,10.0,5.0,0.0,8.0,53.3,7.0,11.0,22.0,37.0,114.0,4.0,1154.0,127.0,11.0,0.0,0.0,1.0,100.0,596.0,0.0,7.0,1.0,708.0,22000000.0,Athletic Club
Alejandro Rego,2425,es ESP,,MF,,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
