Name,Position,Age,Nationality,Current club,Season,MarketValueEuro,PrimaryNationality
Unai Simón,Goalkeeper,24,Spain,Athletic Club,2020,20000000.0,Spain
Iago Herrerín,Goalkeeper,33,Spain,Athletic Club,2020,1000000.0,Spain
Jokin Ezkieta,Goalkeeper,24,Spain,Athletic Club,2020,300000.0,Spain
Unai Núñez,Centre-Back,24,Spain,Athletic Club,2020,20000000.0,Spain
Iñigo Martínez,Centre-Back,30,Spain,Athletic Club,2020,20000000.0,Spain
Yeray Álvarez,Centre-Back,26,Spain,Athletic Club,2020,20000000.0,Spain
Aitor Paredes,Centre-Back,21,Spain,Athletic Club,2020,200000.0,Spain
Yuri Berchiche,Left-Back,31,Spain,Athletic Club,2020,12000000.0,Spain
Mikel Balenziaga,Left-Back,33,Spain,Athletic Club,2020,1200000.0,Spain
Ander Capa,Right-Back,29,Spain,Athletic Club,2020,6000000.0,Spain
Óscar de Marcos,Right-Back,32,Spain,Athletic Club,2020,2000000.0,Spain
Iñigo Lekue,Right-Back,28,Spain,Athletic Club,2020,1500000.0,Spain
Peru Nolaskoain,Defensive Midfield,22,Spain,Athletic Club,2020,3000000.0,Spain
Mikel Vesga,Defensive Midfield,28,Spain,Athletic Club,2020,2000000.0,Spain
Unai López,Central Midfield,25,Spain,Athletic Club,2020,12000000.0,Spain
Unai Vencedor,Central Midfield,20,Spain,Athletic Club,2020,5000000.0,Spain
Dani García,Central Midfield,31,Spain,Athletic Club,2020,3000000.0,Spain
Oier Zarraga,Central Midfield,22,Spain,Athletic Club,2020,500000.0,Spain
Beñat Prados,Central Midfield,20,Spain,Athletic Club,2020,200000.0,Spain
Julen Bernaola,Central Midfield,22,Spain,Athletic Club,2020,50000.0,Spain
Iker Muniain,Attacking Midfield,28,Spain,Athletic Club,2020,12000000.0,Spain
Oihan Sancet,Attacking Midfield,21,Spain,Athletic Club,2020,3500000.0,Spain
Raúl García,Attacking Midfield,34,Spain,Athletic Club,2020,2500000.0,Spain
Álex Berenguer,Left Winger,25,Spain,Athletic Club,2020,15000000.0,Spain
Jon Morcillo,Left Winger,22,Spain,Athletic Club,2020,5000000.0,Spain
Iñigo Córdoba,Left Winger,24,Spain,Athletic Club,2020,2000000.0,Spain
Nico Williams,Left Winger,18,Spain,Athletic Club,2020,1500000.0,Spain
Ibai Gómez,Left Winger,31,Spain,Athletic Club,2020,1200000.0,Spain
Iñigo Vicente,Left Winger,23,Spain,Athletic Club,2020,1000000.0,Spain
Iñaki Williams,Right Winger,27,Ghana,Athletic Club,2020,25000000.0,Ghana
Asier Villalibre,Centre-Forward,23,Spain,Athletic Club,2020,4500000.0,Spain
Kenan Kodro,Centre-Forward,27,Bosnia-Herzegovina,Athletic Club,2020,1000000.0,Bosnia-Herzegovina
Unai Simón,Goalkeeper,25,Spain,Athletic Club,2021,25000000.0,Spain
Julen Agirrezabala,Goalkeeper,21,Spain,Athletic Club,2021,5000000.0,Spain
Jokin Ezkieta,Goalkeeper,25,Spain,Athletic Club,2021,300000.0,Spain
Ander Iru,Goalkeeper,23,Spain,Athletic Club,2021,100000.0,Spain
Iñigo Martínez,Centre-Back,31,Spain,Athletic Club,2021,25000000.0,Spain
Yeray Álvarez,Centre-Back,27,Spain,Athletic Club,2021,13000000.0,Spain
Dani Vivian,Centre-Back,22,Spain,Athletic Club,2021,12000000.0,Spain
Unai Núñez,Centre-Back,25,Spain,Athletic Club,2021,9000000.0,Spain
Aitor Paredes,Centre-Back,22,Spain,Athletic Club,2021,200000.0,Spain
Yuri Berchiche,Left-Back,32,Spain,Athletic Club,2021,3000000.0,Spain
Mikel Balenziaga,Left-Back,34,Spain,Athletic Club,2021,1200000.0,Spain
Iñigo Lekue,Right-Back,29,Spain,Athletic Club,2021,3000000.0,Spain
Ander Capa,Right-Back,30,Spain,Athletic Club,2021,2500000.0,Spain
Óscar de Marcos,Right-Back,33,Spain,Athletic Club,2021,1800000.0,Spain
Álex Petxarroman,Right-Back,25,Spain,Athletic Club,2021,1000000.0,Spain
Mikel Vesga,Defensive Midfield,29,Spain,Athletic Club,2021,3000000.0,Spain
Peru Nolaskoain,Defensive Midfield,23,Spain,Athletic Club,2021,1500000.0,Spain
Unai Vencedor,Central Midfield,21,Spain,Athletic Club,2021,20000000.0,Spain
Oier Zarraga,Central Midfield,23,Spain,Athletic Club,2021,3500000.0,Spain
Dani García,Central Midfield,32,Spain,Athletic Club,2021,3000000.0,Spain
Iker Muniain,Attacking Midfield,29,Spain,Athletic Club,2021,16000000.0,Spain
Oihan Sancet,Attacking Midfield,22,Spain,Athletic Club,2021,15000000.0,Spain
Raúl García,Attacking Midfield,35,Spain,Athletic Club,2021,2500000.0,Spain
Álex Berenguer,Left Winger,26,Spain,Athletic Club,2021,12000000.0,Spain
Nico Williams,Left Winger,19,Spain,Athletic Club,2021,12000000.0,Spain
Jon Morcillo,Left Winger,23,Spain,Athletic Club,2021,4000000.0,Spain
Nico Serrano,Left Winger,19,Spain,Athletic Club,2021,2500000.0,Spain
Luis Bilbao,Left Winger,19,Spain,Athletic Club,2021,250000.0,Spain
Iñaki Williams,Right Winger,28,Ghana,Athletic Club,2021,25000000.0,Ghana
Juan Artola,Right Winger,22,Spain,Athletic Club,2021,700000.0,Spain
Asier Villalibre,Centre-Forward,24,Spain,Athletic Club,2021,3000000.0,Spain
Unai Simón,Goalkeeper,26,Spain,Athletic Club,2022,25000000.0,Spain
Julen Agirrezabala,Goalkeeper,22,Spain,Athletic Club,2022,5000000.0,Spain
