Player,Nation,Pos,Age,90s,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Nahuel Molina,ar ARG,DF,24.0,31.9,69,43,38,18,13,39,91,42.9,52,38,7,31,18,87,63,1
Antoine Griezmann,fr FRA,"FW,MF",31.0,31.8,49,34,15,23,11,20,66,30.3,46,34,3,31,24,73,31,0
Koke,es ESP,MF,30.0,28.3,55,38,23,25,7,28,72,38.9,44,35,13,22,20,75,19,0
Jan Oblak,si SVN,GK,29.0,27.7,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0
José María Giménez,uy URU,DF,27.0,26.9,43,25,28,14,1,24,35,68.6,11,37,17,20,24,67,138,1
Yannick Carrasco,be BEL,"DF,MF",28.0,25.7,35,14,21,10,4,23,54,42.6,31,23,1,22,12,47,19,0
Axel Witsel,be BEL,"DF,MF",33.0,25.1,36,22,22,11,3,17,31,54.8,14,20,11,9,23,59,76,0
Mario Hermoso,es ESP,DF,27.0,23.4,22,15,14,6,2,9,30,30.0,21,19,9,10,19,41,85,1
Rodrigo De Paul,ar ARG,MF,28.0,21.4,35,21,11,18,6,18,35,51.4,17,20,3,17,8,43,7,0
Álvaro Morata,es ESP,FW,29.0,21.1,16,11,4,8,4,3,8,37.5,5,11,3,8,0,16,23,0
Stefan Savić,me MNE,DF,31.0,21.6,39,26,29,7,3,26,39,66.7,13,17,8,9,33,72,67,2
Reinildo Mandava,mz MOZ,DF,28.0,20.6,66,43,46,19,1,38,49,77.6,11,27,12,15,30,96,59,0
Marcos Llorente,es ESP,"MF,DF",27.0,18.9,32,15,16,10,6,17,30,56.7,13,26,2,24,17,49,19,0
Thomas Lemar,fr FRA,MF,26.0,13.9,30,18,10,13,7,10,28,35.7,18,12,3,9,7,37,12,0
Ángel Correa,ar ARG,"FW,MF",27.0,16.2,12,6,6,3,3,5,16,31.3,11,17,0,17,10,22,6,1
Saúl Ñíguez,es ESP,"MF,DF",27.0,12.2,42,27,18,18,6,22,37,59.5,15,27,5,22,15,57,29,0
Geoffrey Kondogbia,cf CTA,MF,29.0,11.2,40,23,19,20,1,17,25,68.0,8,9,1,8,26,66,12,1
Ivo Grbić,hr CRO,GK,26.0,10.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,1
João Félix,pt POR,"FW,MF",22.0,7.2,10,7,2,3,5,1,6,16.7,5,1,0,1,3,13,2,0
Pablo Barrios,es ESP,MF,19.0,8.0,19,10,3,10,6,8,15,53.3,7,12,2,10,9,28,6,1
Memphis,nl NED,FW,28.0,3.0,1,0,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0
Matheus Cunha,br BRA,"FW,MF",23.0,4.2,4,1,1,3,0,0,3,0.0,3,4,1,3,2,6,3,0
Sergio Reguilón,es ESP,DF,25.0,3.4,7,5,5,2,0,5,7,71.4,2,3,0,3,2,9,4,0
Felipe,br BRA,DF,33.0,2.2,3,2,1,2,0,2,4,50.0,2,2,2,0,0,3,7,0
Carlos Martín,es ESP,"FW,MF",20.0,0.3,2,2,0,2,0,2,3,66.7,1,0,0,0,1,3,0,0
Matt Doherty,ie IRL,DF,30.0,0.2,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0
Antonio Gomis,es ESP,GK,19.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Squad Total,,,28.5,38.0,667,408,332,245,90,334,685,48.8,351,396,103,293,304,971,704,9
Opponent Total,,,27.0,38.0,539,317,271,181,87,262,584,44.9,322,445,134,311,368,907,663,14
