Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Nahuel Molina,ar ARG,DF,24.0,31.9,1452,1930,75.2,21725,8461,840,930,90.3,466,653,71.4,94,205,45.9,2,3.9,4.0,-1.9,38,74,49,17,112
Antoine Griezmann,fr FRA,"FW,MF",31.0,31.8,1236,1597,77.4,18976,5448,685,774,88.5,384,487,78.9,104,207,50.2,16,13.8,9.8,2.2,84,117,58,13,171
Koke,es ESP,MF,30.0,28.3,1784,2038,87.5,27145,8772,990,1055,93.8,578,649,89.1,127,187,67.9,3,1.7,1.7,1.3,28,179,19,3,175
Jan Oblak,si SVN,GK,29.0,27.7,538,817,65.9,15674,11619,99,99,100.0,239,243,98.4,197,469,42.0,0,0.0,0.0,0.0,0,5,0,0,0
José María Giménez,uy URU,DF,27.0,26.9,1183,1333,88.7,24083,9951,373,405,92.1,624,665,93.8,171,236,72.5,1,0.6,0.2,0.4,7,70,0,0,63
Yannick Carrasco,be BEL,"DF,MF",28.0,25.7,863,1091,79.1,11833,3379,565,612,92.3,210,277,75.8,42,97,43.3,3,4.1,4.1,-1.1,47,35,36,7,84
Axel Witsel,be BEL,"DF,MF",33.0,25.1,1229,1328,92.5,19963,6886,568,597,95.1,565,595,95.0,59,85,69.4,0,0.6,0.5,-0.6,4,84,1,0,82
Mario Hermoso,es ESP,DF,27.0,23.4,1309,1514,86.5,23825,8990,609,655,93.0,523,568,92.1,154,236,65.3,2,1.4,1.4,0.6,14,89,11,2,115
Rodrigo De Paul,ar ARG,MF,28.0,21.4,1160,1421,81.6,19936,6409,593,655,90.5,383,455,84.2,144,223,64.6,7,5.5,3.8,1.5,48,145,47,7,182
Álvaro Morata,es ESP,FW,29.0,21.1,270,422,64.0,3678,551,169,231,73.2,69,117,59.0,17,30,56.7,2,2.0,1.2,0.0,17,6,5,1,17
Stefan Savić,me MNE,DF,31.0,21.6,1001,1141,87.7,18727,7359,380,404,94.1,498,553,90.1,107,150,71.3,0,0.0,0.2,0.0,1,61,1,0,74
Reinildo Mandava,mz MOZ,DF,28.0,20.6,918,1067,86.0,13151,5155,546,584,93.5,299,341,87.7,38,84,45.2,0,0.5,0.8,-0.5,9,51,7,3,70
Marcos Llorente,es ESP,"MF,DF",27.0,18.9,660,816,80.9,9299,2473,380,415,91.6,202,260,77.7,34,55,61.8,2,3.6,3.1,-1.6,29,30,30,3,88
Thomas Lemar,fr FRA,MF,26.0,13.9,690,814,84.8,10150,2771,404,435,92.9,202,238,84.9,52,82,63.4,3,1.9,1.6,1.1,26,68,22,6,80
Ángel Correa,ar ARG,"FW,MF",27.0,16.2,406,520,78.1,5237,1201,270,310,87.1,93,118,78.8,16,37,43.2,1,3.5,3.6,-2.5,23,27,19,3,58
Saúl Ñíguez,es ESP,"MF,DF",27.0,12.2,408,520,78.5,5583,1326,257,294,87.4,117,152,77.0,18,34,52.9,1,0.7,0.5,0.3,5,19,6,1,34
Geoffrey Kondogbia,cf CTA,MF,29.0,11.2,567,634,89.4,8841,2652,313,337,92.9,186,203,91.6,44,59,74.6,2,0.9,0.3,1.1,5,45,3,0,42
Ivo Grbić,hr CRO,GK,26.0,10.2,219,330,66.4,6085,4302,57,58,98.3,81,81,100.0,80,189,42.3,0,0.0,0.0,0.0,0,0,0,0,0
João Félix,pt POR,"FW,MF",22.0,7.2,171,228,75.0,2307,680,98,113,86.7,42,60,70.0,11,29,37.9,3,1.4,1.0,1.6,10,14,10,1,27
Pablo Barrios,es ESP,MF,19.0,8.0,368,450,81.8,5684,1671,198,217,91.2,134,161,83.2,22,38,57.9,1,0.7,0.5,0.3,4,46,3,0,51
Memphis,nl NED,FW,28.0,3.0,68,90,75.6,865,221,49,61,80.3,16,20,80.0,2,5,40.0,0,0.5,0.7,-0.5,5,4,3,0,8
Matheus Cunha,br BRA,"FW,MF",23.0,4.2,64,85,75.3,790,203,48,55,87.3,9,13,69.2,3,4,75.0,2,0.8,0.4,1.2,6,6,2,0,7
Sergio Reguilón,es ESP,DF,25.0,3.4,117,147,79.6,1667,507,73,81,90.1,40,52,76.9,2,5,40.0,0,0.4,0.3,-0.4,7,10,3,1,11
Felipe,br BRA,DF,33.0,2.2,121,132,91.7,2265,847,44,45,97.8,66,72,91.7,10,12,83.3,0,0.0,0.0,0.0,1,15,0,0,20
Carlos Martín,es ESP,"FW,MF",20.0,0.3,6,11,54.5,57,2,4,5,80.0,1,4,25.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
Matt Doherty,ie IRL,DF,30.0,0.2,6,9,66.7,81,3,4,5,80.0,1,1,100.0,1,3,33.3,0,0.0,0.0,0.0,0,0,0,0,0
Antonio Gomis,es ESP,GK,19.0,0.1,0,3,0.0,0,0,0,0,,0,0,,0,3,0.0,0,0.0,0.0,0.0,0,0,0,0,0
Squad Total,,,28.5,38.0,16814,20488,82.1,277627,101839,8616,9432,91.3,6028,7038,85.6,1549,2765,56.0,51,48.0,40.0,3.0,418,1200,335,68,1571
Opponent Total,,,27.0,38.0,16384,20021,81.8,301152,100162,6990,7841,89.1,7186,8112,88.6,1852,3099,59.8,22,31.3,31.5,-9.3,331,1304,267,93,1634
