Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Nahuel Molina,ar ARG,DF,24.0,31.9,1930,1605,323,16,7,6,120,300,7,4,3,0,1452,2,61
Antoine Griezmann,fr FRA,"FW,MF",31.0,31.8,1597,1457,136,34,16,20,131,6,72,42,17,0,1236,4,39
Koke,es ESP,MF,30.0,28.3,2038,1964,59,52,8,17,24,4,0,0,0,0,1784,15,30
Jan Oblak,si SVN,GK,29.0,27.7,817,522,292,64,0,1,0,0,0,0,0,0,538,3,0
José María Giménez,uy URU,DF,27.0,26.9,1333,1270,62,51,0,19,0,5,0,0,0,0,1183,1,5
Yannick Carrasco,be BEL,"DF,MF",28.0,25.7,1091,929,156,27,4,7,107,66,63,37,9,0,863,6,31
Axel Witsel,be BEL,"DF,MF",33.0,25.1,1328,1281,47,45,0,3,2,2,0,0,0,0,1229,0,8
Mario Hermoso,es ESP,DF,27.0,23.4,1514,1381,126,39,5,38,16,87,0,0,0,0,1309,7,17
Rodrigo De Paul,ar ARG,MF,28.0,21.4,1421,1335,74,47,17,32,47,15,8,2,4,0,1160,12,27
Álvaro Morata,es ESP,FW,29.0,21.1,422,405,15,0,3,6,4,2,0,0,0,0,270,2,7
Stefan Savić,me MNE,DF,31.0,21.6,1141,1107,29,22,0,4,0,7,0,0,0,0,1001,5,4
Reinildo Mandava,mz MOZ,DF,28.0,20.6,1067,945,121,24,0,4,16,97,0,0,0,0,918,1,18
Marcos Llorente,es ESP,"MF,DF",27.0,18.9,816,759,53,0,1,4,44,53,0,0,0,0,660,4,26
Thomas Lemar,fr FRA,MF,26.0,13.9,814,776,36,10,6,7,44,9,15,5,7,0,690,2,16
Ángel Correa,ar ARG,"FW,MF",27.0,16.2,520,493,23,2,2,5,22,2,9,1,5,0,406,4,16
Saúl Ñíguez,es ESP,"MF,DF",27.0,12.2,520,492,26,2,2,1,15,23,0,0,0,0,408,2,9
Geoffrey Kondogbia,cf CTA,MF,29.0,11.2,634,620,14,13,0,11,0,1,0,0,0,0,567,0,2
Ivo Grbić,hr CRO,GK,26.0,10.2,330,207,122,23,0,0,0,0,0,0,0,0,219,1,0
João Félix,pt POR,"FW,MF",22.0,7.2,228,209,18,6,7,2,8,3,4,3,0,0,171,1,5
Pablo Barrios,es ESP,MF,19.0,8.0,450,438,9,7,1,5,6,2,0,0,0,0,368,3,12
Memphis,nl NED,FW,28.0,3.0,90,80,10,1,2,0,5,1,5,3,1,0,68,0,1
Matheus Cunha,br BRA,"FW,MF",23.0,4.2,85,77,6,0,1,1,3,1,0,0,0,0,64,2,3
Sergio Reguilón,es ESP,DF,25.0,3.4,147,131,15,1,1,0,9,14,0,0,0,0,117,1,7
Felipe,br BRA,DF,33.0,2.2,132,128,3,2,0,0,0,1,0,0,0,0,121,1,1
Carlos Martín,es ESP,"FW,MF",20.0,0.3,11,11,0,0,0,0,2,0,0,0,0,0,6,0,0
Matt Doherty,ie IRL,DF,30.0,0.2,9,7,2,1,0,0,0,1,0,0,0,0,6,0,0
Antonio Gomis,es ESP,GK,19.0,0.1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0
Squad Total,,,28.5,38.0,20488,18630,1779,490,83,193,625,702,183,97,46,0,16814,79,345
Opponent Total,,,27.0,38.0,20021,18229,1735,495,40,228,743,650,185,78,68,1,16384,57,352
