Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
Jan Oblak,si SVN,GK,30.0,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koke,es ESP,MF,31.0,35,32,2493.0,27.7,0.0,4.0,4.0,0.0,0.0,0.0,5.0,0.0,0.4,0.4,3.6,4.1,26.0,212.0,26.0,0.0,0.14,0.14,0.0,0.14,0.02,0.13,0.15,0.02,0.15
Antoine Griezmann,fr FRA,"FW,MF",32.0,33,31,2644.0,29.4,16.0,6.0,22.0,12.0,4.0,4.0,5.0,0.0,12.3,9.3,5.6,14.9,43.0,118.0,196.0,0.54,0.2,0.75,0.41,0.61,0.42,0.19,0.61,0.32,0.51
Axel Witsel,be BEL,DF,34.0,35,30,2783.0,30.9,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,1.0,1.0,0.3,1.3,17.0,89.0,8.0,0.06,0.0,0.06,0.06,0.06,0.03,0.01,0.04,0.03,0.04
Marcos Llorente,es ESP,"MF,DF",28.0,37,29,2565.0,28.5,6.0,4.0,10.0,6.0,0.0,0.0,5.0,0.0,4.1,4.1,5.6,9.7,71.0,106.0,179.0,0.21,0.14,0.35,0.21,0.35,0.14,0.2,0.34,0.14,0.34
Mario Hermoso,es ESP,DF,28.0,31,29,2557.0,28.4,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,1.4,1.4,0.8,2.2,39.0,177.0,61.0,0.0,0.04,0.04,0.0,0.04,0.05,0.03,0.08,0.05,0.08
Samuel Lino,br BRA,"DF,MF",23.0,34,25,2080.0,23.1,4.0,5.0,9.0,4.0,0.0,0.0,1.0,0.0,5.6,5.6,4.7,10.3,131.0,84.0,215.0,0.17,0.22,0.39,0.17,0.39,0.24,0.21,0.45,0.24,0.45
Rodrigo De Paul,ar ARG,MF,29.0,34,25,2075.0,23.1,3.0,5.0,8.0,3.0,0.0,0.0,7.0,0.0,1.8,1.8,5.0,6.8,73.0,202.0,55.0,0.13,0.22,0.35,0.13,0.35,0.08,0.22,0.3,0.08,0.3
Álvaro Morata,es ESP,FW,30.0,32,21,1904.0,21.2,15.0,3.0,18.0,15.0,0.0,1.0,4.0,1.0,13.8,12.9,1.7,14.6,22.0,20.0,88.0,0.71,0.14,0.85,0.71,0.85,0.65,0.08,0.73,0.61,0.69
Nahuel Molina,ar ARG,DF,25.0,30,19,1852.0,20.6,2.0,3.0,5.0,2.0,0.0,0.0,4.0,1.0,1.3,1.3,2.9,4.2,47.0,68.0,170.0,0.1,0.15,0.24,0.1,0.24,0.06,0.14,0.2,0.06,0.2
Stefan Savić,me MNE,DF,32.0,23,19,1630.0,18.1,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.3,0.3,0.1,0.5,14.0,66.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
