Player,Season,Nation,Nationality,Pos,Position,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def_Pen,Att_Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,MarketValueEuro,Current club
Abdellah Raihani,2223,ma MAR,,FW,,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdellah Raihani,2324,ma MAR,Morocco,FW,Centre-Forward,19,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,,1.0,0.0,1.0,0.0,1.0,300000.0,Atlético Madrid
Adrian Niño,2324,es ESP,Spain,FW,Centre-Forward,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,Atlético Madrid
Adrián Corral,2223,es ESP,,DF,,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aitor Gismera,2223,es ESP,,MF,,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aitor Gismera,2324,es ESP,Spain,MF,Central Midfield,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250000.0,Atlético Madrid
Alberto Moreno,2223,es ESP,,MF,,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alejandro Iturbe,2223,es ESP,,GK,,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antoine Griezmann,2223,fr FRA,,"FW,MF",,31,38,31,2859.0,31.8,15.0,16.0,31.0,15.0,0.0,0.0,2.0,0.0,12.3,12.3,13.8,26.1,99.0,171.0,202.0,0.47,0.5,0.98,0.47,0.98,0.39,0.44,0.82,0.39,0.82,111.0,44.0,39.6,3.49,1.39,0.14,0.34,17.6,5.0,0.11,2.7,2.7,1236.0,1597.0,77.4,18976.0,5448.0,685.0,774.0,88.5,384.0,487.0,78.9,104.0,207.0,50.2,9.8,2.2,84.0,117.0,58.0,13.0,1457.0,136.0,16.0,20.0,131.0,6.0,72.0,42.0,17.0,0.0,4.0,39.0,162.0,5.1,111.0,23.0,10.0,8.0,3.0,26.0,0.82,18.0,5.0,1.0,2.0,0.0,0.0,49.0,34.0,15.0,23.0,11.0,20.0,30.3,46.0,31.0,24.0,73.0,31.0,0.0,1971.0,45.0,153.0,47.0,56.6,28.0,33.7,1103.0,25.0,41.0,35.0,1445.0,,
Antoine Griezmann,2324,fr FRA,France,"FW,MF",Centre-Forward,32,33,31,2644.0,29.4,16.0,6.0,22.0,12.0,4.0,4.0,5.0,0.0,12.3,9.3,5.6,14.9,43.0,118.0,196.0,0.54,0.2,0.75,0.41,0.61,0.42,0.19,0.61,0.32,0.51,75.0,29.0,38.7,2.55,0.99,0.16,0.41,17.3,3.0,0.12,3.7,2.7,1062.0,1383.0,76.8,16588.0,4212.0,589.0,671.0,87.8,313.0,414.0,75.6,99.0,178.0,55.6,5.8,0.4,43.0,86.0,34.0,2.0,1212.0,161.0,13.0,14.0,123.0,4.0,94.0,28.0,42.0,0.0,10.0,32.0,107.0,3.64,68.0,21.0,4.0,2.0,2.0,11.0,0.37,10.0,0.0,0.0,1.0,0.0,0.0,33.0,19.0,14.0,14.0,5.0,15.0,36.6,26.0,31.0,10.0,43.0,23.0,1.0,1654.0,35.0,113.0,22.0,57.9,15.0,39.5,839.0,7.0,40.0,26.0,1194.0,25000000.0,Atlético Madrid
Antonio Gomis,2223,es ESP,,GK,,19,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,,
Antonio Gomis,2324,es ESP,Spain,GK,Goalkeeper,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150000.0,Atlético Madrid
