Name,Position,Age,Nationality,Current club,Season,MarketValueEuro,PrimaryNationality
Jan Oblak,Goalkeeper,28,Slovenia,Atlético Madrid,2020,70000000.0,Slovenia
Ivo Grbic,Goalkeeper,25,Croatia,Atlético Madrid,2020,3500000.0,Croatia
Miguel San Román,Goalkeeper,23,Spain,Atlético Madrid,2020,700000.0,Spain
José María Giménez,Centre-Back,26,Uruguay,Atlético Madrid,2020,60000000.0,Uruguay
Mario Hermoso,Centre-Back,26,Spain,Atlético Madrid,2020,35000000.0,Spain
Stefan Savic,Centre-Back,30,Montenegro,Atlético Madrid,2020,25000000.0,Montenegro
Felipe,Centre-Back,32,Brazil,Atlético Madrid,2020,12000000.0,Brazil
Nehuén Pérez,Centre-Back,21,Argentina,Atlético Madrid,2020,4000000.0,Argentina
Álvaro García,Centre-Back,21,Spain,Atlético Madrid,2020,200000.0,Spain
Adrián Corral,Centre-Back,18,Spain,Atlético Madrid,2020,200000.0,Spain
Renan Lodi,Left-Back,23,Brazil,Atlético Madrid,2020,25000000.0,Brazil
Manu Sánchez,Left-Back,20,Spain,Atlético Madrid,2020,8000000.0,Spain
Juan Manuel Sanabria,Left-Back,21,Uruguay,Atlético Madrid,2020,800000.0,Uruguay
Kieran Trippier,Right-Back,30,England,Atlético Madrid,2020,20000000.0,England
Sime Vrsaljko,Right-Back,29,Croatia,Atlético Madrid,2020,5000000.0,Croatia
Ricard Sánchez,Right-Back,21,Spain,Atlético Madrid,2020,1500000.0,Spain
Thomas Partey,Defensive Midfield,28,Ghana,Atlético Madrid,2020,40000000.0,Ghana
Lucas Torreira,Defensive Midfield,25,Uruguay,Atlético Madrid,2020,20000000.0,Uruguay
Geoffrey Kondogbia,Defensive Midfield,28,Central African Republic,Atlético Madrid,2020,15000000.0,Central African Republic
Koke,Central Midfield,29,Spain,Atlético Madrid,2020,60000000.0,Spain
Saúl Ñíguez,Central Midfield,26,Spain,Atlético Madrid,2020,40000000.0,Spain
Héctor Herrera,Central Midfield,31,Mexico,Atlético Madrid,2020,7000000.0,Mexico
Toni Moya,Central Midfield,23,Spain,Atlético Madrid,2020,400000.0,Spain
Josep Calavera,Central Midfield,21,Spain,Atlético Madrid,2020,250000.0,Spain
Óscar Castro,Central Midfield,20,Spain,Atlético Madrid,2020,50000.0,Spain
