Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
Pedri,es ESP,MF,21.0,32.0,165,5.16,148,8,2,2,4,1,17,0.53,15,1,1,0,0,0
Raphinha,br BRA,"FW,MF",27.0,31.5,163,5.17,101,31,8,12,10,1,22,0.7,11,2,4,2,2,1
Robert Lewandowski,pl POL,FW,35.0,29.6,50,1.69,33,0,4,8,5,0,3,0.1,2,0,0,1,0,0
Lamine Yamal,es ESP,FW,17.0,31.7,188,5.92,112,3,38,20,11,4,29,0.91,20,0,5,2,2,0
Pau Cubarsí,es ESP,DF,17.0,29.1,35,1.2,34,0,0,1,0,0,6,0.21,5,0,0,1,0,0
Jules Koundé,fr FRA,DF,25.0,28.9,59,2.04,55,0,2,2,0,0,7,0.24,6,0,0,1,0,0
Iñigo Martínez,es ESP,DF,33.0,27.7,45,1.63,38,1,1,3,2,0,9,0.33,6,1,1,0,1,0
Alejandro Balde,es ESP,DF,20.0,25.4,76,2.99,60,3,3,3,7,0,12,0.47,10,0,0,0,2,0
Marc Casado,es ESP,MF,20.0,17.9,45,2.51,40,0,0,1,2,2,6,0.34,6,0,0,0,0,0
Iñaki Peña,es ESP,GK,25.0,15.5,2,0.13,2,0,0,0,0,0,2,0.13,2,0,0,0,0,0
Wojciech Szczęsny,pl POL,GK,34.0,15.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Eric García,es ESP,"DF,MF",23.0,17.4,32,1.84,29,0,0,3,0,0,7,0.4,6,0,0,1,0,0
Gavi,es ESP,"MF,FW",19.0,12.1,39,3.24,37,0,1,1,0,0,4,0.33,4,0,0,0,0,0
Dani Olmo,es ESP,"MF,FW",26.0,13.5,66,4.9,46,2,7,5,5,1,12,0.89,3,1,3,1,4,0
Fermin López,es ESP,"MF,FW",21.0,13.9,57,4.1,39,5,6,4,1,2,7,0.5,7,0,0,0,0,0
Ferrán Torres,es ESP,"FW,MF",24.0,12.3,38,3.09,26,2,4,2,3,1,7,0.57,6,0,1,0,0,0
Gerard Martín,es ESP,DF,22.0,11.5,27,2.34,26,0,0,0,1,0,3,0.26,3,0,0,0,0,0
Ronald Araújo,uy URU,DF,25.0,8.4,12,1.43,11,0,0,1,0,0,2,0.24,1,0,0,1,0,0
Frenkie de Jong,nl NED,MF,27.0,12.7,43,3.39,39,0,2,1,0,1,11,0.87,9,0,2,0,0,0
Marc-André ter Stegen,de GER,GK,32.0,7.5,1,0.13,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Héctor Fort,es ESP,DF,17.0,6.5,16,2.46,15,1,0,0,0,0,1,0.15,1,0,0,0,0,0
Pablo Torre,es ESP,"MF,FW",21.0,3.4,18,5.24,14,2,0,0,1,1,3,0.87,3,0,0,0,0,0
Marc Bernal,es ESP,MF,17.0,2.7,1,0.37,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Ansu Fati,es ESP,FW,21.0,2.6,11,4.25,9,0,0,2,0,0,0,0.0,0,0,0,0,0,0
Pau Victor,es ESP,FW,22.0,3.5,13,3.64,11,0,1,0,1,0,2,0.56,1,0,0,0,1,0
Andreas Christensen,dk DEN,DF,28.0,2.8,1,0.35,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Sergi Dominguez,es ESP,DF,19.0,1.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Daniel Rodriguez,es ESP,FW,18.0,0.4,2,4.86,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,24.7,38.0,1205,31.71,928,60,79,71,53,14,172,4.53,127,5,17,10,12,1
Opponent Total,,,26.8,38.0,510,13.42,385,48,23,22,19,13,73,1.92,59,3,3,2,4,2
