Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Marc-André ter Stegen,de GER,GK,30.0,37.2,1193,1412,84.5,30703,21527,228,232,98.3,600,613,97.9,362,564,64.2,0,0.3,0.0,-0.3,3,15,0,0,4
Robert Lewandowski,pl POL,FW,33.0,31.6,602,793,75.9,8306,1669,369,440,83.9,165,214,77.1,30,46,65.2,7,6.3,5.3,0.7,35,49,31,2,100
Gavi,es ESP,"MF,FW",17.0,28.1,1026,1206,85.1,14584,2930,652,711,91.7,289,340,85.0,55,79,69.6,4,3.7,3.8,0.3,38,98,40,4,134
Alejandro Balde,es ESP,DF,18.0,27.5,1482,1670,88.7,21525,4340,892,951,93.8,486,536,90.7,71,106,67.0,6,4.9,5.4,1.1,22,74,22,16,79
Frenkie de Jong,nl NED,MF,25.0,28.2,2089,2320,90.0,33411,10589,1121,1186,94.5,782,849,92.1,144,186,77.4,4,4.3,6.3,-0.3,45,250,59,7,280
Jules Koundé,fr FRA,DF,23.0,27.0,1775,2024,87.7,29836,9690,827,895,92.4,792,866,91.5,123,182,67.6,3,2.8,2.3,0.2,16,176,15,6,185
Sergio Busquets,es ESP,MF,34.0,26.0,1722,1949,88.4,30610,9017,756,825,91.6,745,822,90.6,183,222,82.4,4,2.8,3.7,1.2,25,230,33,3,254
Raphinha,br BRA,FW,25.0,23.0,915,1266,72.3,15558,3922,475,556,85.4,304,393,77.4,107,226,47.3,7,9.8,9.3,-2.8,57,48,74,20,104
Pedri,es ESP,MF,19.0,22.0,1251,1449,86.3,22516,4967,574,632,90.8,485,546,88.8,164,198,82.8,1,5.0,5.3,-4.0,42,161,30,2,184
Andreas Christensen,dk DEN,DF,26.0,19.6,1416,1507,94.0,25804,8685,549,580,94.7,740,761,97.2,113,142,79.6,1,0.5,0.9,0.5,6,114,4,0,91
Ronald Araújo,uy URU,DF,23.0,20.0,1139,1287,88.5,21762,7324,406,433,93.8,609,652,93.4,110,174,63.2,2,0.8,0.7,1.2,6,95,3,1,79
Ousmane Dembélé,fr FRA,FW,25.0,15.7,642,854,75.2,10068,2037,376,427,88.1,195,256,76.2,54,106,50.9,7,4.9,5.0,2.1,41,21,37,5,74
Eric García,es ESP,"DF,MF",21.0,15.7,1142,1257,90.9,21550,7275,429,460,93.3,578,612,94.4,122,158,77.2,0,0.2,0.6,-0.2,1,130,2,0,105
Sergi Roberto,es ESP,"DF,MF",30.0,14.5,850,936,90.8,12315,2769,514,535,96.1,270,303,89.1,48,64,75.0,1,0.9,1.3,0.1,10,80,14,6,97
Jordi Alba,es ESP,DF,33.0,15.8,1217,1460,83.4,19141,5490,668,728,91.8,441,521,84.6,78,139,56.1,3,6.2,6.7,-3.2,38,120,43,15,141
Ferrán Torres,es ESP,"FW,MF",22.0,15.5,437,576,75.9,6772,1479,250,285,87.7,144,192,75.0,33,62,53.2,2,4.1,4.2,-2.1,25,13,29,11,44
Ansu Fati,es ESP,FW,19.0,15.5,509,609,83.6,6451,1024,359,398,90.2,114,136,83.8,18,23,78.3,3,1.7,2.3,1.3,16,23,19,1,48
Marcos Alonso,es ESP,DF,31.0,13.0,896,1005,89.2,16393,5539,360,386,93.3,442,475,93.1,81,117,69.2,0,0.3,0.9,-0.3,6,70,9,4,71
Franck Kessié,ci CIV,MF,25.0,11.0,391,457,85.6,5955,1170,207,231,89.6,152,174,87.4,20,29,69.0,1,0.7,0.9,0.3,8,23,6,1,39
Gerard Piqué,es ESP,DF,35.0,4.3,353,385,91.7,7375,2268,102,112,91.1,193,199,97.0,56,66,84.8,0,0.0,0.1,0.0,1,47,0,0,35
Memphis,nl NED,FW,28.0,1.3,53,66,80.3,735,209,34,38,89.5,14,16,87.5,3,7,42.9,0,0.1,0.2,-0.1,3,3,2,0,7
Pablo Torre,es ESP,"FW,MF",19.0,1.6,77,98,78.6,1026,294,54,62,87.1,16,19,84.2,5,12,41.7,0,0.5,0.4,-0.5,4,9,3,0,11
Héctor Bellerín,es ESP,DF,27.0,1.6,77,96,80.2,1146,419,48,52,92.3,21,25,84.0,5,8,62.5,0,0.1,0.5,-0.1,1,10,4,0,13
Iñaki Peña,es ESP,GK,23.0,0.8,25,27,92.6,585,407,3,3,100.0,18,18,100.0,4,6,66.7,0,0.0,0.0,0.0,0,0,0,0,0
Ángel Alarcón,es ESP,"FW,MF",18.0,0.3,5,8,62.5,49,13,5,7,71.4,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,1
Pierre-Emerick Aubameyang,ga GAB,FW,33.0,0.1,3,3,100.0,59,26,0,0,,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Lamine Yamal,es ESP,FW,15.0,0.1,8,9,88.9,112,47,6,6,100.0,1,1,100.0,1,1,100.0,0,0.0,0.3,0.0,0,0,2,0,2
Aleix Garrido,es ESP,FW,18.0,0.1,2,3,66.7,21,8,2,3,66.7,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Chadi Riad,ma MAR,MF,19.0,0.0,1,1,100.0,7,5,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Squad Total,,,25.9,38.0,21298,24733,86.1,364375,115139,10267,11175,91.9,8599,9543,90.1,1990,2923,68.1,56,60.1,66.6,-4.1,449,1859,482,104,2182
Opponent Total,,,27.4,38.0,10316,13758,75.0,190049,78390,4734,5458,86.7,3903,4724,82.6,1358,2606,52.1,10,23.0,21.6,-13.0,244,747,198,61,955
