Player,Nation,Pos,Age,90s,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Pedri,es ESP,MF,21.0,32.0,3060,37,279,1824,988,50,3060,61,40,65.6,20,32.8,2012,11238,5463,92,103,8,48,35,2389,136
Raphinha,br BRA,"FW,MF",27.0,31.5,1863,31,114,661,1113,183,1861,103,52,50.5,44,42.7,1016,5592,2865,94,66,46,53,29,1316,349
Robert Lewandowski,pl POL,FW,35.0,29.6,841,32,59,314,475,179,837,35,20,57.1,13,37.1,472,1785,589,27,11,16,75,45,667,164
Lamine Yamal,es ESP,FW,17.0,31.7,2094,9,104,667,1364,226,2094,316,161,50.9,128,40.5,1486,10141,5270,181,96,95,102,49,1723,433
Pau Cubarsí,es ESP,DF,17.0,29.1,2805,194,1045,1672,93,17,2805,8,6,75.0,2,25.0,1823,8964,4999,26,16,0,7,1,2193,6
Jules Koundé,fr FRA,DF,25.0,28.9,2453,79,567,1194,706,79,2453,50,22,44.0,27,54.0,1287,4667,2501,44,42,7,41,13,1625,190
Iñigo Martínez,es ESP,DF,33.0,27.7,2652,146,875,1629,156,26,2652,3,3,100.0,0,0.0,1711,10196,7336,70,53,0,11,3,2003,11
Alejandro Balde,es ESP,DF,20.0,25.4,1721,38,310,843,596,47,1721,110,46,41.8,44,40.0,1075,6639,3463,107,68,16,44,27,1245,246
Marc Casado,es ESP,MF,20.0,17.9,1536,25,223,1040,276,9,1536,9,4,44.4,4,44.4,870,3523,1540,12,22,0,17,9,1172,24
Iñaki Peña,es ESP,GK,25.0,15.5,667,472,651,16,0,0,667,0,0,,0,,399,1757,991,0,0,0,0,0,362,0
Wojciech Szczęsny,pl POL,GK,34.0,15.0,492,370,482,10,0,0,492,1,1,100.0,0,0.0,286,1121,509,0,0,0,0,0,274,0
Eric García,es ESP,"DF,MF",23.0,17.4,1517,66,369,927,225,25,1517,12,5,41.7,5,41.7,852,3500,1877,18,12,1,17,5,1125,22
Gavi,es ESP,"MF,FW",19.0,12.1,943,10,107,601,240,34,943,18,9,50.0,5,27.8,557,2274,1128,13,16,1,19,9,712,42
Dani Olmo,es ESP,"MF,FW",26.0,13.5,797,18,64,351,390,77,795,45,23,51.1,17,37.8,505,2477,1363,33,35,7,35,26,662,97
Fermin López,es ESP,"MF,FW",21.0,13.9,858,5,58,366,441,59,858,55,25,45.5,26,47.3,490,2516,1137,31,22,12,36,16,649,108
Ferrán Torres,es ESP,"FW,MF",24.0,12.3,498,3,30,153,317,81,498,21,11,52.4,8,38.1,291,1348,566,23,14,13,28,13,397,98
Gerard Martín,es ESP,DF,22.0,11.5,909,29,203,384,326,19,909,11,4,36.4,7,63.6,413,1438,720,10,12,1,7,4,586,122
Ronald Araújo,uy URU,DF,25.0,8.4,798,33,227,542,32,9,798,1,0,0.0,1,100.0,515,2800,1731,6,4,0,2,1,596,3
Frenkie de Jong,nl NED,MF,27.0,12.7,1226,15,137,821,271,13,1226,8,5,62.5,3,37.5,815,4667,2630,36,38,1,5,7,993,24
Marc-André ter Stegen,de GER,GK,32.0,7.5,262,186,260,2,0,0,262,0,0,,0,,158,755,562,0,0,0,0,0,154,0
Héctor Fort,es ESP,DF,17.0,6.5,573,18,111,300,166,17,573,9,2,22.2,7,77.8,308,1255,679,14,15,2,4,4,397,33
Pablo Torre,es ESP,"MF,FW",21.0,3.4,254,5,27,120,109,10,254,6,2,33.3,3,50.0,130,503,205,5,7,0,5,6,190,20
Marc Bernal,es ESP,MF,17.0,2.7,184,4,47,116,21,1,184,3,2,66.7,1,33.3,97,461,150,0,2,0,2,2,137,2
Ansu Fati,es ESP,FW,21.0,2.6,170,0,8,59,105,22,170,11,5,45.5,5,45.5,107,586,234,7,7,4,10,4,134,32
Pau Victor,es ESP,FW,22.0,3.5,170,5,15,71,87,21,170,12,7,58.3,5,41.7,92,375,171,6,2,6,7,8,125,28
Andreas Christensen,dk DEN,DF,28.0,2.8,246,14,75,160,12,1,246,0,0,,0,,163,791,362,1,3,0,1,0,181,1
Sergi Dominguez,es ESP,DF,19.0,1.9,191,13,69,121,3,0,191,0,0,,0,,127,569,284,0,1,0,0,0,157,1
Daniel Rodriguez,es ESP,FW,18.0,0.4,25,0,0,2,23,3,25,1,0,0.0,0,0.0,20,154,110,4,0,2,3,0,23,9
Squad Total,,,24.7,38.0,29805,1857,6516,14966,8535,1208,29797,909,455,50.1,375,41.3,18077,92092,49435,860,667,238,579,316,22187,2201
Opponent Total,,,26.8,38.0,16221,2896,7293,6081,3011,566,16217,572,249,43.5,271,47.4,7646,39978,19702,406,246,147,545,267,8434,769
