Player,Season,Nation,Nationality,Pos,Position,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def_Pen,Att_Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,MarketValueEuro,Current club
Abde Ezzalzouli,2324,ma MAR,Morocco,"FW,MF",Left Winger,21,2,0,68.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,7.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.28,0.09,0.37,0.28,0.37,4.0,1.0,25.0,5.29,1.32,0.0,0.0,19.1,0.0,0.05,-0.2,-0.2,23.0,37.0,62.2,289.0,83.0,18.0,23.0,78.3,4.0,8.0,50.0,1.0,4.0,25.0,0.0,-0.1,2.0,0.0,2.0,1.0,32.0,5.0,0.0,0.0,7.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.65,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,54.0,0.0,7.0,2.0,50.0,2.0,50.0,41.0,4.0,4.0,2.0,43.0,9000000.0,FC Barcelona
Aleix Garrido,2223,es ESP,Spain,FW,Central Midfield,18,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,2.0,3.0,66.7,21.0,8.0,2.0,3.0,66.7,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,2.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,100.0,4.0,0.0,0.0,0.0,3.0,300000.0,FC Barcelona
Aleix Garrido,2324,es ESP,Spain,MF,Central Midfield,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,FC Barcelona
Alejandro Balde,2223,es ESP,Spain,DF,Left-Back,18,33,30,2471.0,27.5,1.0,6.0,7.0,1.0,0.0,0.0,4.0,0.0,1.9,1.9,4.9,6.8,95.0,79.0,234.0,0.04,0.22,0.25,0.04,0.25,0.07,0.18,0.25,0.07,0.25,19.0,4.0,21.1,0.69,0.15,0.05,0.25,17.9,0.0,0.1,-0.9,-0.9,1482.0,1670.0,88.7,21525.0,4340.0,892.0,951.0,93.8,486.0,536.0,90.7,71.0,106.0,67.0,5.4,1.1,22.0,74.0,22.0,16.0,1444.0,217.0,0.0,5.0,67.0,185.0,0.0,0.0,0.0,0.0,9.0,19.0,65.0,2.37,49.0,0.0,8.0,5.0,1.0,7.0,0.25,7.0,0.0,0.0,0.0,0.0,0.0,42.0,30.0,22.0,16.0,4.0,24.0,58.5,17.0,22.0,12.0,54.0,17.0,1.0,1939.0,40.0,78.0,50.0,51.5,36.0,37.1,1270.0,34.0,41.0,24.0,1347.0,50000000.0,FC Barcelona
Alejandro Balde,2324,es ESP,Spain,DF,Left-Back,19,18,15,1378.0,15.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,1.2,1.4,73.0,41.0,141.0,0.0,0.07,0.07,0.0,0.07,0.01,0.08,0.09,0.01,0.09,5.0,1.0,20.0,0.33,0.07,0.0,0.0,21.2,0.0,0.03,-0.1,-0.1,694.0,817.0,84.9,9879.0,2231.0,430.0,473.0,90.9,229.0,264.0,86.7,22.0,42.0,52.4,1.5,-0.2,13.0,26.0,20.0,7.0,694.0,122.0,1.0,3.0,37.0,110.0,0.0,0.0,0.0,0.0,1.0,16.0,29.0,1.9,26.0,0.0,2.0,1.0,0.0,4.0,0.26,4.0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,11.0,6.0,3.0,7.0,63.6,4.0,13.0,5.0,25.0,21.0,1.0,979.0,35.0,40.0,20.0,37.7,20.0,37.7,567.0,20.0,32.0,16.0,664.0,40000000.0,FC Barcelona
Alejandro Balde,2425,es ESP,,DF,,20,32,26,2284.0,25.4,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,3.4,3.9,107.0,93.0,246.0,0.0,0.16,0.16,0.0,0.16,0.02,0.13,0.15,0.02,0.15,12.0,3.0,25.0,0.47,0.12,0.0,0.0,22.0,0.0,0.04,-0.5,-0.5,1306.0,1484.0,88.0,19158.0,3986.0,734.0,785.0,93.5,495.0,547.0,90.5,43.0,71.0,60.6,2.8,0.6,26.0,51.0,39.0,11.0,1287.0,193.0,3.0,2.0,67.0,161.0,0.0,0.0,0.0,0.0,4.0,28.0,76.0,2.99,60.0,3.0,3.0,7.0,0.0,12.0,0.47,10.0,0.0,0.0,0.0,2.0,0.0,18.0,10.0,10.0,5.0,3.0,11.0,64.7,6.0,19.0,5.0,23.0,27.0,0.0,1721.0,38.0,47.0,46.0,41.8,44.0,40.0,1075.0,16.0,44.0,27.0,1245.0,,
Alexis Olmedo,2425,es ESP,,DF,,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ander Astralaga,2223,es ESP,,GK,,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ander Astralaga,2324,es ESP,Spain,GK,Goalkeeper,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,FC Barcelona
Ander Astralaga,2425,es ESP,,GK,,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
