Player,Season,Nation,Nationality,Pos,Position,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def_Pen,Att_Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,MarketValueEuro,Current club
Abde Ezzalzouli,2324,MAR,Morocco,"FW,MF",Left Winger,21,2,0,68.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,7.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.28,0.09,0.37,0.28,0.37,4.0,1.0,25.0,5.29,1.32,0.0,0.0,19.1,0.0,0.05,-0.2,-0.2,23.0,37.0,62.2,289.0,83.0,18.0,23.0,78.3,4.0,8.0,50.0,1.0,4.0,25.0,0.0,-0.1,2.0,0.0,2.0,1.0,32.0,5.0,0.0,0.0,7.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.65,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,54.0,0.0,7.0,2.0,50.0,2.0,50.0,41.0,4.0,4.0,2.0,43.0,9000000.0,FC Barcelona
Aleix Garrido,2223,ESP,Spain,FW,Central Midfield,18,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,2.0,3.0,66.7,21.0,8.0,2.0,3.0,66.7,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,2.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,100.0,4.0,0.0,0.0,0.0,3.0,300000.0,FC Barcelona
Aleix Garrido,2324,ESP,Spain,MF,Central Midfield,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,FC Barcelona
Alejandro Balde,2223,ESP,Spain,DF,Left-Back,18,33,30,2471.0,27.5,1.0,6.0,7.0,1.0,0.0,0.0,4.0,0.0,1.9,1.9,4.9,6.8,95.0,79.0,234.0,0.04,0.22,0.25,0.04,0.25,0.07,0.18,0.25,0.07,0.25,19.0,4.0,21.1,0.69,0.15,0.05,0.25,17.9,0.0,0.1,-0.9,-0.9,1482.0,1670.0,88.7,21525.0,4340.0,892.0,951.0,93.8,486.0,536.0,90.7,71.0,106.0,67.0,5.4,1.1,22.0,74.0,22.0,16.0,1444.0,217.0,0.0,5.0,67.0,185.0,0.0,0.0,0.0,0.0,9.0,19.0,65.0,2.37,49.0,0.0,8.0,5.0,1.0,7.0,0.25,7.0,0.0,0.0,0.0,0.0,0.0,42.0,30.0,22.0,16.0,4.0,24.0,58.5,17.0,22.0,12.0,54.0,17.0,1.0,1939.0,40.0,78.0,50.0,51.5,36.0,37.1,1270.0,34.0,41.0,24.0,1347.0,50000000.0,FC Barcelona
Alejandro Balde,2324,ESP,Spain,DF,Left-Back,19,18,15,1378.0,15.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,1.2,1.4,73.0,41.0,141.0,0.0,0.07,0.07,0.0,0.07,0.01,0.08,0.09,0.01,0.09,5.0,1.0,20.0,0.33,0.07,0.0,0.0,21.2,0.0,0.03,-0.1,-0.1,694.0,817.0,84.9,9879.0,2231.0,430.0,473.0,90.9,229.0,264.0,86.7,22.0,42.0,52.4,1.5,-0.2,13.0,26.0,20.0,7.0,694.0,122.0,1.0,3.0,37.0,110.0,0.0,0.0,0.0,0.0,1.0,16.0,29.0,1.9,26.0,0.0,2.0,1.0,0.0,4.0,0.26,4.0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,11.0,6.0,3.0,7.0,63.6,4.0,13.0,5.0,25.0,21.0,1.0,979.0,35.0,40.0,20.0,37.7,20.0,37.7,567.0,20.0,32.0,16.0,664.0,40000000.0,FC Barcelona
Ander Astralaga,2324,ESP,Spain,GK,Goalkeeper,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,FC Barcelona
Andreas Christensen,2223,DEN,Denmark,DF,Centre-Back,26,23,22,1760.0,19.6,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.5,1.5,18.0,91.0,5.0,0.05,0.05,0.1,0.05,0.1,0.05,0.03,0.08,0.05,0.08,10.0,5.0,50.0,0.51,0.26,0.1,0.2,12.2,0.0,0.1,0.0,0.0,1416.0,1507.0,94.0,25804.0,8685.0,549.0,580.0,94.7,740.0,761.0,97.2,113.0,142.0,79.6,0.9,0.5,6.0,114.0,4.0,0.0,1445.0,62.0,3.0,14.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,0.77,15.0,0.0,0.0,0.0,0.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,9.0,11.0,0.0,10.0,62.5,6.0,2.0,21.0,41.0,47.0,0.0,1652.0,127.0,13.0,0.0,0.0,2.0,100.0,1170.0,0.0,10.0,1.0,1257.0,40000000.0,FC Barcelona
Andreas Christensen,2324,DEN,Denmark,"DF,MF",Centre-Back,27,30,27,1979.0,22.0,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,1.0,1.0,1.1,2.2,24.0,117.0,6.0,0.09,0.09,0.18,0.09,0.18,0.05,0.05,0.1,0.05,0.1,12.0,4.0,33.3,0.55,0.18,0.17,0.5,13.0,0.0,0.09,1.0,1.0,1480.0,1569.0,94.3,25124.0,8496.0,669.0,699.0,95.7,700.0,724.0,96.7,87.0,108.0,80.6,0.8,0.9,7.0,116.0,1.0,0.0,1514.0,55.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,11.0,28.0,1.27,25.0,0.0,0.0,0.0,1.0,3.0,0.14,2.0,0.0,0.0,1.0,0.0,0.0,23.0,14.0,7.0,14.0,2.0,16.0,57.1,12.0,13.0,21.0,44.0,41.0,0.0,1723.0,111.0,18.0,3.0,50.0,3.0,50.0,1101.0,1.0,6.0,9.0,1324.0,40000000.0,FC Barcelona
Ansu Fati,2223,ESP,Spain,FW,Left Winger,19,36,12,1393.0,15.5,7.0,3.0,10.0,7.0,0.0,0.0,3.0,0.0,9.1,9.1,1.7,10.7,47.0,48.0,178.0,0.45,0.19,0.65,0.45,0.65,0.59,0.11,0.69,0.59,0.69,61.0,18.0,29.5,3.94,1.16,0.11,0.39,15.0,3.0,0.16,-2.1,-2.1,509.0,609.0,83.6,6451.0,1024.0,359.0,398.0,90.2,114.0,136.0,83.8,18.0,23.0,78.3,2.3,1.3,16.0,23.0,19.0,1.0,590.0,14.0,1.0,3.0,9.0,3.0,5.0,1.0,0.0,0.0,5.0,21.0,51.0,3.3,36.0,1.0,8.0,0.0,1.0,8.0,0.52,5.0,0.0,1.0,2.0,0.0,0.0,16.0,9.0,8.0,4.0,4.0,5.0,27.8,13.0,19.0,5.0,21.0,6.0,0.0,806.0,10.0,128.0,23.0,48.9,21.0,44.7,557.0,31.0,35.0,30.0,640.0,35000000.0,FC Barcelona
Ansu Fati,2324,ESP,Spain,"MF,FW",Left Winger,20,3,0,50.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,6.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,1.34,0.0,1.34,1.34,1.34,7.0,1.0,14.3,12.6,1.8,0.0,0.0,18.6,0.0,0.11,-0.7,-0.7,24.0,28.0,85.7,322.0,87.0,15.0,15.0,100.0,7.0,9.0,77.8,1.0,1.0,100.0,0.1,0.0,0.0,2.0,1.0,0.0,25.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,5.0,1.0,33.3,1.0,33.3,32.0,2.0,1.0,1.0,35.0,25000000.0,FC Barcelona
