Name,Position,Age,Nationality,Current club,Season,MarketValueEuro,PrimaryNationality
Marc-André ter Stegen,Goalkeeper,29,Germany,FC Barcelona,2020,60000000.0,Germany
Neto,Goalkeeper,31,Brazil,FC Barcelona,2020,6000000.0,Brazil
Iñaki Peña,Goalkeeper,22,Spain,FC Barcelona,2020,3000000.0,Spain
Arnau Tenas,Goalkeeper,20,Spain,FC Barcelona,2020,1500000.0,Spain
Ronald Araujo,Centre-Back,22,Uruguay,FC Barcelona,2020,25000000.0,Uruguay
Clément Lenglet,Centre-Back,26,France,FC Barcelona,2020,25000000.0,France
Gerard Piqué,Centre-Back,34,Spain,FC Barcelona,2020,10000000.0,Spain
Samuel Umtiti,Centre-Back,27,France,FC Barcelona,2020,8000000.0,France
Santiago Ramos Mingo,Centre-Back,19,Argentina,FC Barcelona,2020,500000.0,Argentina
Jordi Alba,Left-Back,32,Spain,FC Barcelona,2020,20000000.0,Spain
Junior Firpo,Left-Back,24,Dominican Republic,FC Barcelona,2020,8000000.0,Dominican Republic
Sergiño Dest,Right-Back,20,United States,FC Barcelona,2020,30000000.0,United States
Óscar Mingueza,Right-Back,22,Spain,FC Barcelona,2020,15000000.0,Spain
Sergio Busquets,Defensive Midfield,32,Spain,FC Barcelona,2020,9000000.0,Spain
Matheus Fernandes,Defensive Midfield,23,Brazil,FC Barcelona,2020,1500000.0,Brazil
Frenkie de Jong,Central Midfield,24,Netherlands,FC Barcelona,2020,90000000.0,Netherlands
Pedri,Central Midfield,18,Spain,FC Barcelona,2020,70000000.0,Spain
Ilaix Moriba,Central Midfield,18,Guinea,FC Barcelona,2020,25000000.0,Guinea
Miralem Pjanić,Central Midfield,31,Bosnia-Herzegovina,FC Barcelona,2020,20000000.0,Bosnia-Herzegovina
Riqui Puig,Central Midfield,21,Spain,FC Barcelona,2020,18000000.0,Spain
Sergi Roberto,Central Midfield,29,Spain,FC Barcelona,2020,18000000.0,Spain
Carles Aleñá,Central Midfield,23,Spain,FC Barcelona,2020,15000000.0,Spain
Philippe Coutinho,Attacking Midfield,29,Brazil,FC Barcelona,2020,30000000.0,Brazil
Rafinha,Attacking Midfield,28,Brazil,FC Barcelona,2020,15000000.0,Brazil
