Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
Germán Pezzella,ar ARG,DF,32.0,30.7,15,0.49,13,0,1,1,0,0,0,0.0,0,0,0,0,0,0
Ayoze Pérez,es ESP,FW,30.0,25.5,90,3.53,55,0,12,12,6,5,5,0.2,2,0,1,0,1,1
Rui Silva,pt POR,GK,29.0,27.5,2,0.07,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Isco,es ESP,MF,31.0,25.8,156,6.03,95,39,8,10,3,1,14,0.54,10,1,1,2,0,0
Willian José,br BRA,FW,31.0,21.9,42,1.92,37,0,1,3,0,1,7,0.32,6,0,0,0,0,1
Chadi Riad,ma MAR,DF,20.0,24.0,12,0.5,9,1,0,2,0,0,0,0.0,0,0,0,0,0,0
Marc Roca,es ESP,MF,26.0,22.0,59,2.68,49,3,2,0,3,2,3,0.14,3,0,0,0,0,0
Guido Rodríguez,ar ARG,MF,29.0,20.5,24,1.17,18,1,0,4,0,1,6,0.29,4,0,0,2,0,0
Juan Miranda,es ESP,DF,23.0,20.6,45,2.18,35,6,1,1,2,0,3,0.15,3,0,0,0,0,0
Héctor Bellerín,es ESP,DF,28.0,19.0,30,1.58,26,3,0,0,1,0,4,0.21,4,0,0,0,0,0
Abner,br BRA,DF,23.0,15.6,14,0.9,13,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Johnny Cardoso,us USA,MF,21.0,14.8,21,1.42,16,0,1,0,1,3,5,0.34,3,0,0,0,1,1
Pablo Fornals,es ESP,"FW,MF",27.0,12.8,45,3.53,37,3,2,2,1,0,6,0.47,5,0,0,1,0,0
Assane Diao,sn SEN,FW,17.0,11.6,23,1.98,17,0,0,5,0,1,0,0.0,0,0,0,0,0,0
Sokratis Papastathopoulos,gr GRE,DF,35.0,12.6,5,0.4,4,0,0,1,0,0,2,0.16,2,0,0,0,0,0
Youssouf Sabaly,sn SEN,DF,30.0,11.6,17,1.46,15,1,1,0,0,0,3,0.26,2,1,0,0,0,0
Aitor Ruibal,es ESP,"DF,FW",27.0,11.3,33,2.92,27,1,2,1,1,1,3,0.27,3,0,0,0,0,0
Nabil Fekir,fr FRA,"MF,FW",30.0,11.7,60,5.14,38,11,3,3,5,0,3,0.26,2,0,1,0,0,0
Rodri,es ESP,"FW,MF",23.0,11.7,33,2.83,24,1,3,2,3,0,0,0.0,0,0,0,0,0,0
Claudio Bravo,cl CHI,GK,40.0,7.0,2,0.29,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Abde Ezzalzouli,ma MAR,FW,21.0,9.6,20,2.08,12,1,3,1,3,0,2,0.21,1,1,0,0,0,0
Luiz Henrique,br BRA,FW,22.0,6.8,30,4.38,20,0,6,4,0,0,5,0.73,3,0,2,0,0,0
Sergi Altimira,es ESP,MF,21.0,6.3,14,2.22,8,1,2,1,2,0,0,0.0,0,0,0,0,0,0
William Carvalho,pt POR,MF,31.0,7.6,18,2.38,17,0,0,1,0,0,4,0.53,3,0,0,1,0,0
Andrés Guardado,mx MEX,MF,36.0,5.0,15,3.02,12,3,0,0,0,0,0,0.0,0,0,0,0,0,0
Borja Iglesias,es ESP,FW,30.0,4.5,20,4.42,17,0,0,3,0,0,1,0.22,1,0,0,0,0,0
Luiz Felipe,it ITA,DF,26.0,4.0,2,0.5,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ezequiel Ávila,ar ARG,FW,29.0,3.3,9,2.72,3,0,2,2,2,0,1,0.3,0,0,0,0,1,0
Fran Vieites,es ESP,GK,24.0,3.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Marc Bartra,es ESP,DF,32.0,2.5,3,1.2,2,0,0,1,0,0,1,0.4,0,0,0,1,0,0
Cédric Bakambu,cd COD,FW,32.0,2.2,5,2.32,3,0,0,1,1,0,0,0.0,0,0,0,0,0,0
Ricardo Visus,es ESP,DF,22.0,1.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Juan Cruz,es ESP,FW,23.0,0.8,5,5.92,3,0,2,0,0,0,0,0.0,0,0,0,0,0,0
Pablo Busto,es ESP,DF,17.0,0.5,1,2.05,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Paul Akouokou,ci CIV,MF,25.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,27.8,38.0,870,22.89,632,75,52,62,34,15,78,2.05,57,3,5,7,3,3
Opponent Total,,,27.0,38.0,786,20.68,537,83,52,56,48,10,74,1.95,46,3,6,8,10,1
