Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Diego Llorente,es ESP,DF,30.0,28.0,1595,1533,59,53,0,11,1,5,0,0,0,0,1383,3,9
Johnny Cardoso,us USA,MF,22.0,23.8,1109,1083,24,23,2,10,3,1,0,0,0,0,950,2,21
Natan,br BRA,DF,23.0,24.2,1265,1197,64,48,0,11,2,11,0,0,0,0,1122,4,0
Marc Bartra,es ESP,DF,33.0,23.3,1163,1093,63,50,3,19,1,5,0,0,0,0,945,7,8
Abde Ezzalzouli,ma MAR,"FW,MF",22.0,22.0,757,732,23,6,2,4,49,15,1,0,0,0,542,2,27
Romain Perraud,fr FRA,DF,26.0,22.2,1157,916,236,31,0,5,71,205,0,0,0,0,921,5,45
Sergi Altimira,es ESP,MF,22.0,21.9,1258,1231,26,22,4,16,5,3,0,0,0,0,1123,1,17
Pablo Fornals,es ESP,"MF,FW",28.0,20.3,1109,1051,55,20,10,10,54,12,23,7,6,0,887,3,26
Youssouf Sabaly,sn SEN,DF,31.0,17.6,994,798,196,20,2,3,31,176,0,0,0,0,862,0,20
Adrián,es ESP,GK,37.0,19.0,619,453,163,54,0,0,0,0,0,0,0,0,474,3,4
Isco,es ESP,MF,32.0,17.2,1173,1027,143,60,6,27,92,5,72,28,28,0,957,3,24
Giovani Lo Celso,ar ARG,"MF,FW",28.0,16.2,970,812,157,73,15,8,95,11,67,36,22,0,766,1,21
Antony,br BRA,FW,24.0,15.1,768,722,45,11,7,5,40,20,14,4,4,0,622,1,18
Rui Silva,pt POR,GK,30.0,15.0,524,404,118,42,0,0,0,0,0,0,0,0,412,2,0
Ricardo Rodríguez,ch SUI,DF,31.0,14.2,744,611,130,17,0,3,15,113,0,0,0,0,610,3,8
Jesus Rodríguez,es ESP,FW,18.0,12.3,331,322,8,1,0,0,18,4,3,0,1,0,241,1,16
Vitor Roque,br BRA,FW,19.0,13.7,195,163,32,0,1,0,6,1,1,0,0,0,142,0,7
Cucho,co COL,FW,25.0,12.7,310,281,28,0,1,5,12,1,0,0,0,0,223,1,10
Aitor Ruibal,es ESP,"DF,FW",28.0,14.6,612,516,91,5,1,1,32,81,2,1,1,0,495,5,14
Marc Roca,es ESP,MF,27.0,10.1,538,510,26,24,0,4,10,0,1,0,1,0,465,2,10
Cédric Bakambu,cd COD,FW,33.0,7.9,126,120,5,0,1,0,2,0,0,0,0,0,84,1,7
Ezequiel Ávila,ar ARG,FW,30.0,7.5,238,215,21,3,0,2,29,10,2,1,1,0,166,2,9
Héctor Bellerín,es ESP,DF,29.0,6.4,328,277,51,6,2,0,10,45,0,0,0,0,270,0,6
William Carvalho,pt POR,MF,32.0,5.4,395,383,10,10,0,4,2,0,0,0,0,0,343,2,8
Fran Vieites,es ESP,GK,25.0,4.0,119,71,48,19,0,1,0,0,0,0,0,0,76,0,0
Ángel Ortíz,es ESP,DF,20.0,3.9,225,186,38,3,0,0,19,35,0,0,0,0,167,1,10
Iker Losada,es ESP,"MF,FW",22.0,3.7,142,141,1,1,2,1,4,0,0,0,0,0,107,0,6
Assane Diao,sn SEN,FW,18.0,3.1,66,61,5,0,0,0,4,2,0,0,0,0,49,0,4
Juanmi,es ESP,"FW,MF",31.0,2.7,70,67,3,1,0,0,1,2,0,0,0,0,58,0,5
Nabil Fekir,fr FRA,MF,31.0,2.0,82,71,11,3,1,1,10,0,8,3,3,0,67,0,4
Carlos Guirao,es ESP,MF,21.0,1.2,46,43,3,2,0,0,0,1,0,0,0,0,36,0,4
Mateo Flores,es ESP,MF,20.0,1.7,69,67,2,2,0,0,1,0,0,0,0,0,56,0,2
Rodri,es ESP,FW,24.0,1.3,66,61,5,1,0,1,6,1,3,2,1,0,56,0,3
Nobel Mendy,fr FRA,DF,19.0,1.2,53,51,2,1,0,0,0,0,0,0,0,0,46,0,0
Sergio Arribas,es ESP,DF,21.0,1.0,54,40,13,1,0,0,0,12,0,0,0,0,37,1,2
Pablo Garcia,es ESP,FW,17.0,0.4,14,13,1,0,0,1,2,1,0,0,0,0,10,0,1
Squad Total,,,27.5,38.0,19284,17322,1906,613,60,153,627,778,197,82,68,0,15770,56,376
Opponent Total,,,27.0,38.0,17627,15754,1781,466,51,107,683,756,162,73,62,3,13910,92,339
