Player,Nation,Pos,Age,90s,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Diego Llorente,es ESP,DF,30.0,28.0,1915,235,1048,825,48,22,1915,9,6,66.7,2,22.2,1127,5465,3118,7,8,1,11,4,1243,3
Johnny Cardoso,us USA,MF,22.0,23.8,1427,91,397,846,201,26,1427,42,26,61.9,15,35.7,752,3374,1557,19,16,1,36,23,890,28
Natan,br BRA,DF,23.0,24.2,1514,197,813,671,42,19,1514,3,2,66.7,0,0.0,929,4788,2750,12,5,0,15,8,994,6
Marc Bartra,es ESP,DF,33.0,23.3,1483,219,862,561,70,18,1483,15,7,46.7,8,53.3,804,3902,2534,7,15,1,12,5,903,1
Abde Ezzalzouli,ma MAR,"FW,MF",22.0,22.0,1081,10,120,407,585,151,1080,103,46,44.7,37,35.9,706,5210,3025,117,75,58,64,50,797,215
Romain Perraud,fr FRA,DF,26.0,22.2,1419,62,442,565,423,28,1419,35,11,31.4,18,51.4,766,3846,1881,51,25,10,33,14,842,106
Sergi Altimira,es ESP,MF,22.0,21.9,1521,53,321,940,272,18,1521,24,16,66.7,7,29.2,908,3871,1635,25,14,1,27,21,1064,30
Pablo Fornals,es ESP,"MF,FW",28.0,20.3,1272,20,171,684,428,36,1272,28,8,28.6,20,71.4,777,3245,1523,32,34,7,24,16,911,85
Youssouf Sabaly,sn SEN,DF,31.0,17.6,1170,43,351,591,236,26,1170,20,8,40.0,10,50.0,620,2245,1145,25,12,4,27,12,680,63
Adrián,es ESP,GK,37.0,19.0,658,568,657,1,0,0,658,0,0,,0,,390,1788,1161,0,0,0,1,0,299,0
Isco,es ESP,MF,32.0,17.2,1381,9,96,663,638,68,1375,59,27,45.8,28,47.5,893,4677,2047,38,54,5,54,27,1059,112
Giovani Lo Celso,ar ARG,"MF,FW",28.0,16.2,1167,7,114,558,506,53,1164,55,21,38.2,27,49.1,702,3247,1450,26,31,9,38,31,832,66
Antony,br BRA,FW,24.0,15.1,982,9,100,315,585,63,982,63,24,38.1,33,52.4,663,4570,2729,94,77,30,53,20,751,157
Rui Silva,pt POR,GK,30.0,15.0,553,412,552,1,0,0,553,0,0,,0,,334,1482,710,0,0,0,1,0,277,0
Ricardo Rodríguez,ch SUI,DF,31.0,14.2,866,39,253,437,181,7,866,7,4,57.1,3,42.9,434,2005,1105,19,23,1,4,3,498,32
Jesus Rodríguez,es ESP,FW,18.0,12.3,532,5,47,212,284,69,532,84,30,35.7,46,54.8,361,2868,1506,53,36,39,38,20,381,99
Vitor Roque,br BRA,FW,19.0,13.7,365,3,27,167,179,57,365,39,10,25.6,25,64.1,213,1250,554,24,14,16,41,35,239,57
Cucho,co COL,FW,25.0,12.7,467,5,23,210,237,61,467,26,17,65.4,9,34.6,250,1318,507,27,9,14,46,14,318,82
Aitor Ruibal,es ESP,"DF,FW",28.0,14.6,790,45,231,321,248,33,790,27,14,51.9,13,48.1,398,1795,938,21,25,7,27,16,459,64
Marc Roca,es ESP,MF,27.0,10.1,632,27,154,374,108,19,632,5,4,80.0,1,20.0,385,2069,1037,11,14,0,9,7,427,13
