Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
Guido Rodríguez,ar ARG,MF,28.0,34,33,2872.0,31.9,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,1.2,1.2,0.3,1.6,11.0,123.0,18.0,0.03,0.0,0.03,0.03,0.03,0.04,0.01,0.05,0.04,0.05
William Carvalho,pt POR,MF,30.0,33,31,2438.0,27.1,3.0,1.0,4.0,3.0,0.0,0.0,6.0,1.0,3.1,3.1,1.6,4.7,46.0,203.0,52.0,0.11,0.04,0.15,0.11,0.15,0.11,0.06,0.17,0.11,0.17
Germán Pezzella,ar ARG,DF,31.0,31,29,2511.0,27.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.9,0.9,0.2,1.1,8.0,54.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04
Borja Iglesias,es ESP,FW,29.0,35,29,2365.0,26.3,15.0,3.0,18.0,10.0,5.0,6.0,2.0,1.0,14.9,10.2,2.8,13.0,20.0,33.0,147.0,0.57,0.11,0.68,0.38,0.49,0.57,0.11,0.67,0.39,0.49
Sergio Canales,es ESP,"FW,MF",31.0,31,28,2402.0,26.7,4.0,3.0,7.0,3.0,1.0,1.0,4.0,2.0,4.3,3.5,5.6,9.1,82.0,143.0,150.0,0.15,0.11,0.26,0.11,0.22,0.16,0.21,0.37,0.13,0.34
Rui Silva,pt POR,GK,28.0,26,26,2340.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luiz Felipe,it ITA,DF,25.0,23,22,1763.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.2,0.2,0.3,0.5,1.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03
Luiz Henrique,br BRA,FW,21.0,33,21,1807.0,20.1,1.0,3.0,4.0,1.0,0.0,0.0,6.0,0.0,2.9,2.9,2.9,5.8,61.0,26.0,137.0,0.05,0.15,0.2,0.05,0.2,0.15,0.14,0.29,0.15,0.29
Youssouf Sabaly,sn SEN,DF,29.0,23,19,1680.0,18.7,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.5,0.5,0.7,1.2,41.0,72.0,64.0,0.05,0.05,0.11,0.05,0.11,0.02,0.04,0.06,0.02,0.06
Rodri,es ESP,"FW,MF",22.0,30,19,1601.0,17.8,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,1.4,1.4,2.2,3.6,57.0,102.0,104.0,0.11,0.17,0.28,0.11,0.28,0.08,0.12,0.2,0.08,0.2
Édgar González,es ESP,DF,25.0,25,18,1772.0,19.7,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.2,1.2,0.8,2.0,7.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.1,0.06,0.1
Ayoze Pérez,es ESP,"FW,MF",29.0,19,17,1386.0,15.4,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,4.6,4.6,2.0,6.6,51.0,39.0,102.0,0.19,0.06,0.26,0.19,0.26,0.3,0.13,0.43,0.3,0.43
Juan Miranda,es ESP,DF,22.0,21,16,1472.0,16.4,3.0,2.0,5.0,3.0,0.0,0.0,1.0,1.0,2.4,2.4,2.9,5.3,26.0,73.0,87.0,0.18,0.12,0.31,0.18,0.31,0.14,0.18,0.32,0.14,0.32
Andrés Guardado,mx MEX,MF,35.0,26,16,1373.0,15.3,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.3,0.3,1.1,1.4,14.0,72.0,13.0,0.07,0.07,0.13,0.07,0.13,0.02,0.07,0.09,0.02,0.09
Aitor Ruibal,es ESP,"DF,FW",26.0,26,15,1454.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.8,0.8,2.1,3.0,39.0,62.0,70.0,0.0,0.0,0.0,0.0,0.0,0.05,0.13,0.18,0.05,0.18
Álex Moreno,es ESP,DF,29.0,15,15,1350.0,15.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.3,1.3,1.5,2.7,49.0,44.0,76.0,0.0,0.2,0.2,0.0,0.2,0.08,0.1,0.18,0.08,0.18
Claudio Bravo,cl CHI,GK,39.0,12,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nabil Fekir,fr FRA,MF,29.0,15,12,961.0,10.7,2.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,2.4,1.6,2.7,4.4,42.0,41.0,76.0,0.19,0.19,0.37,0.09,0.28,0.23,0.26,0.48,0.15,0.41
Juanmi,es ESP,FW,29.0,22,9,925.0,10.3,4.0,0.0,4.0,4.0,0.0,0.0,3.0,0.0,3.7,3.7,0.9,4.5,10.0,15.0,37.0,0.39,0.0,0.39,0.39,0.39,0.36,0.08,0.44,0.36,0.44
Abner,br BRA,DF,22.0,13,7,607.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.7,1.7,0.1,1.8,8.0,16.0,25.0,0.0,0.0,0.0,0.0,0.0,0.25,0.02,0.27,0.25,0.27
Willian José,br BRA,FW,30.0,28,6,731.0,8.1,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,2.9,2.2,1.3,3.5,6.0,14.0,27.0,0.25,0.12,0.37,0.12,0.25,0.36,0.17,0.53,0.27,0.43
Martín Montoya,es ESP,DF,31.0,6,6,453.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.7,6.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.01,0.14,0.15,0.01,0.15
Víctor Ruiz,es ESP,DF,33.0,10,5,560.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05
Paul Akouokou,ci CIV,"MF,DF",24.0,12,3,447.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.0,0.2,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
Joaquín,es ESP,"MF,FW",41.0,22,2,496.0,5.5,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,1.8,2.5,23.0,26.0,37.0,0.0,0.36,0.36,0.0,0.36,0.13,0.33,0.46,0.13,0.46
Juan Cruz,es ESP,FW,22.0,6,1,178.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.1,0.6,7.0,1.0,15.0,0.51,0.0,0.51,0.51,0.51,0.23,0.07,0.3,0.23,0.3
Felix Garreta,es ESP,DF,18.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roberto González,es ESP,"FW,MF",21.0,2,0,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.48,0.0,0.48
Loren Morón,es ESP,FW,28.0,2,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fran Delgado,es ESP,DF,21.0,1,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
José Alonso Lara,es ESP,MF,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Martín,es ESP,GK,24.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fran Vieites,es ESP,GK,23.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricardo Visus,es ESP,DF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squad Total,,,28.6,38,418,3420.0,38.0,43.0,26.0,69.0,35.0,8.0,9.0,83.0,15.0,51.3,44.3,34.6,78.9,621.0,1272.0,1259.0,1.13,0.68,1.82,0.92,1.61,1.35,0.91,2.26,1.17,2.08
Opponent Total,,,27.3,38,418,3420.0,38.0,40.0,28.0,68.0,37.0,3.0,3.0,99.0,8.0,50.0,47.7,37.0,84.7,749.0,1571.0,1553.0,1.05,0.74,1.79,0.97,1.71,1.32,0.97,2.29,1.26,2.23
