Player,Season,Nation,Nationality,Pos,Position,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def_Pen,Att_Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,MarketValueEuro,Current club
Abde Ezzalzouli,2324,ma MAR,Morocco,FW,Left Winger,21,26,6,865.0,9.6,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,2.2,0.3,2.5,57.0,25.0,89.0,0.1,0.0,0.1,0.1,0.1,0.31,0.03,0.34,0.23,0.26,33.0,8.0,24.2,3.43,0.83,0.03,0.13,17.8,0.0,0.07,-2.0,-1.2,232.0,353.0,65.7,2777.0,769.0,159.0,204.0,77.9,51.0,77.0,66.2,5.0,17.0,29.4,0.5,-0.3,4.0,11.0,9.0,1.0,340.0,11.0,3.0,2.0,33.0,5.0,3.0,1.0,1.0,0.0,2.0,20.0,20.0,2.08,12.0,1.0,3.0,3.0,0.0,2.0,0.21,1.0,1.0,0.0,0.0,0.0,0.0,17.0,14.0,7.0,5.0,5.0,4.0,28.6,10.0,10.0,5.0,22.0,5.0,0.0,518.0,7.0,60.0,21.0,42.0,23.0,46.0,300.0,35.0,29.0,31.0,377.0,9000000.0,Real Betis
Abde Ezzalzouli,2425,ma MAR,Morocco,"FW,MF",Left Winger,22,32,23,1984.0,22.0,2.0,2.0,4.0,2.0,0.0,1.0,2.0,0.0,8.0,7.2,2.0,9.3,117.0,68.0,215.0,0.09,0.09,0.18,0.09,0.18,0.36,0.09,0.46,0.33,0.42,61.0,25.0,41.0,2.77,1.13,0.03,0.08,15.6,1.0,0.12,-6.0,-5.2,542.0,757.0,71.6,6695.0,1928.0,373.0,454.0,82.2,131.0,191.0,68.6,11.0,37.0,29.7,2.1,0.0,27.0,42.0,19.0,2.0,732.0,23.0,2.0,4.0,49.0,15.0,1.0,0.0,0.0,0.0,2.0,27.0,66.0,2.99,43.0,0.0,10.0,4.0,1.0,7.0,0.32,4.0,0.0,0.0,2.0,1.0,0.0,37.0,25.0,17.0,16.0,4.0,15.0,55.6,12.0,19.0,7.0,44.0,19.0,0.0,1081.0,10.0,151.0,46.0,44.7,37.0,35.9,706.0,58.0,64.0,50.0,797.0,12000000.0,Real Betis
Abner,2223,br BRA,Brazil,DF,Left-Back,22,13,7,607.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.7,1.7,0.1,1.8,8.0,16.0,25.0,0.0,0.0,0.0,0.0,0.0,0.25,0.02,0.27,0.25,0.27,5.0,1.0,20.0,0.74,0.15,0.0,0.0,13.6,0.0,0.34,-1.7,-1.7,252.0,351.0,71.8,3886.0,1578.0,130.0,149.0,87.2,94.0,134.0,70.1,16.0,42.0,38.1,0.5,-0.1,2.0,18.0,3.0,1.0,275.0,75.0,0.0,2.0,13.0,74.0,0.0,0.0,0.0,0.0,1.0,15.0,8.0,1.18,5.0,1.0,1.0,0.0,0.0,1.0,0.15,1.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,9.0,2.0,1.0,7.0,43.8,9.0,6.0,8.0,20.0,24.0,0.0,425.0,25.0,11.0,3.0,30.0,7.0,70.0,203.0,4.0,10.0,4.0,232.0,7000000.0,Real Betis
Abner,2324,br BRA,Brazil,DF,Left-Back,23,23,15,1400.0,15.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,1.0,1.1,14.0,33.0,58.0,0.0,0.06,0.06,0.0,0.06,0.01,0.06,0.07,0.01,0.07,4.0,0.0,0.0,0.26,0.0,0.0,,15.4,0.0,0.03,-0.1,-0.1,615.0,797.0,77.2,9211.0,4552.0,351.0,394.0,89.1,203.0,265.0,76.6,37.0,79.0,46.8,1.0,0.0,8.0,20.0,7.0,2.0,628.0,165.0,0.0,3.0,26.0,158.0,0.0,0.0,0.0,0.0,4.0,23.0,14.0,0.9,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,19.0,15.0,9.0,1.0,17.0,50.0,17.0,18.0,15.0,40.0,62.0,0.0,966.0,72.0,28.0,7.0,53.8,5.0,38.5,447.0,5.0,18.0,11.0,502.0,7000000.0,Real Betis
Adrián,2425,es ESP,Spain,GK,Goalkeeper,37,19,19,1710.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,474.0,619.0,76.6,12206.0,8309.0,74.0,76.0,97.4,265.0,268.0,98.9,134.0,269.0,49.8,0.0,0.0,0.0,4.0,0.0,0.0,453.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,14.0,3.0,658.0,568.0,0.0,0.0,,0.0,,390.0,0.0,1.0,0.0,299.0,500000.0,Real Betis
Aitor Ruibal,2223,es ESP,Spain,"DF,FW",Right-Back,26,26,15,1454.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.8,0.8,2.1,3.0,39.0,62.0,70.0,0.0,0.0,0.0,0.0,0.0,0.05,0.13,0.18,0.05,0.18,15.0,6.0,40.0,0.93,0.37,0.0,0.0,19.8,0.0,0.06,-0.8,-0.8,647.0,841.0,76.9,10213.0,3689.0,356.0,394.0,90.4,212.0,281.0,75.4,51.0,100.0,51.0,1.1,-2.1,15.0,51.0,12.0,5.0,691.0,148.0,1.0,10.0,31.0,130.0,0.0,0.0,0.0,0.0,2.0,22.0,37.0,2.29,26.0,0.0,5.0,1.0,1.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,47.0,29.0,35.0,9.0,3.0,31.0,53.4,27.0,15.0,24.0,71.0,41.0,0.0,1061.0,44.0,24.0,35.0,52.2,31.0,46.3,559.0,8.0,24.0,13.0,597.0,5000000.0,Real Betis
Aitor Ruibal,2324,es ESP,Spain,"DF,FW",Right-Back,27,18,11,1017.0,11.3,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,0.8,0.8,1.3,2.1,22.0,54.0,50.0,0.18,0.09,0.27,0.18,0.27,0.07,0.11,0.19,0.07,0.19,13.0,2.0,15.4,1.15,0.18,0.15,1.0,22.1,0.0,0.06,1.2,1.2,445.0,586.0,75.9,7163.0,2899.0,252.0,280.0,90.0,148.0,190.0,77.9,37.0,79.0,46.8,0.8,-0.3,11.0,37.0,14.0,3.0,490.0,95.0,0.0,4.0,28.0,84.0,0.0,0.0,0.0,0.0,1.0,27.0,33.0,2.92,27.0,1.0,2.0,1.0,1.0,3.0,0.27,3.0,0.0,0.0,0.0,0.0,0.0,46.0,27.0,28.0,13.0,5.0,32.0,54.2,27.0,11.0,14.0,60.0,33.0,1.0,744.0,36.0,25.0,27.0,60.0,14.0,31.1,380.0,9.0,19.0,9.0,409.0,3500000.0,Real Betis
Aitor Ruibal,2425,es ESP,Spain,"DF,FW",Right-Back,28,29,13,1313.0,14.6,1.0,3.0,4.0,1.0,0.0,0.0,5.0,0.0,0.9,0.9,2.4,3.3,21.0,50.0,64.0,0.07,0.21,0.27,0.07,0.27,0.06,0.17,0.23,0.06,0.23,16.0,4.0,25.0,1.1,0.27,0.06,0.25,19.0,0.0,0.06,0.1,0.1,495.0,612.0,80.9,7589.0,3113.0,259.0,277.0,93.5,183.0,221.0,82.8,34.0,72.0,47.2,1.9,0.6,20.0,36.0,12.0,6.0,516.0,91.0,1.0,1.0,32.0,81.0,2.0,1.0,1.0,0.0,5.0,14.0,36.0,2.46,31.0,2.0,1.0,1.0,0.0,4.0,0.27,4.0,0.0,0.0,0.0,0.0,0.0,32.0,23.0,22.0,4.0,6.0,25.0,53.2,22.0,15.0,14.0,46.0,40.0,1.0,790.0,45.0,33.0,14.0,51.9,13.0,48.1,398.0,7.0,27.0,16.0,459.0,3500000.0,Real Betis
Alcázar,2425,es ESP,,DF,,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrés Guardado,2223,mx MEX,Mexico,MF,Central Midfield,35,26,16,1373.0,15.3,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.3,0.3,1.1,1.4,14.0,72.0,13.0,0.07,0.07,0.13,0.07,0.13,0.02,0.07,0.09,0.02,0.09,8.0,3.0,37.5,0.52,0.2,0.13,0.33,23.2,1.0,0.04,0.7,0.7,739.0,870.0,84.9,13792.0,3995.0,341.0,363.0,93.9,292.0,333.0,87.7,95.0,137.0,69.3,1.0,-0.1,12.0,70.0,5.0,0.0,806.0,63.0,3.0,14.0,9.0,11.0,7.0,1.0,5.0,0.0,1.0,14.0,32.0,2.1,26.0,3.0,0.0,1.0,0.0,5.0,0.33,4.0,0.0,0.0,1.0,0.0,0.0,41.0,25.0,17.0,20.0,4.0,18.0,41.9,25.0,9.0,23.0,64.0,29.0,0.0,1022.0,34.0,6.0,5.0,50.0,4.0,40.0,590.0,0.0,18.0,6.0,659.0,1500000.0,Real Betis
