Name,Position,Age,Nationality,Current club,Season,MarketValueEuro,PrimaryNationality
Joel Robles,Goalkeeper,31,Spain,Real Betis,2020,4000000.0,Spain
Dani Martín,Goalkeeper,22,Spain,Real Betis,2020,3000000.0,Spain
Claudio Bravo,Goalkeeper,38,Chile,Real Betis,2020,1000000.0,Chile
Dani Rebollo,Goalkeeper,21,Spain,Real Betis,2020,100000.0,Spain
Carlos Marín,Goalkeeper,24,Spain,Real Betis,2020,100000.0,Spain
Marc Bartra,Centre-Back,30,Spain,Real Betis,2020,10000000.0,Spain
Aïssa Mandi,Centre-Back,29,Algeria,Real Betis,2020,8000000.0,Algeria
Sidnei,Centre-Back,31,Brazil,Real Betis,2020,2500000.0,Brazil
Víctor Ruiz,Centre-Back,32,Spain,Real Betis,2020,2200000.0,Spain
Geovanni Barba,Centre-Back,20,Spain,Real Betis,2020,50000.0,Spain
Juan Miranda,Left-Back,21,Spain,Real Betis,2020,7000000.0,Spain
Álex Moreno,Left-Back,28,Spain,Real Betis,2020,6000000.0,Spain
José Calderón,Left-Back,21,Spain,Real Betis,2020,50000.0,Spain
Emerson Royal,Right-Back,22,Brazil,Real Betis,2020,25000000.0,Brazil
Martín Montoya,Right-Back,30,Spain,Real Betis,2020,2000000.0,Spain
Aitor Ruibal,Right-Back,25,Spain,Real Betis,2020,2000000.0,Spain
Fran Delgado,Right-Back,19,Spain,Real Betis,2020,400000.0,Spain
Guido Rodríguez,Defensive Midfield,27,Argentina,Real Betis,2020,22000000.0,Argentina
William Carvalho,Defensive Midfield,29,Portugal,Real Betis,2020,15000000.0,Portugal
Paul Akouokou,Defensive Midfield,23,Cote d'Ivoire,Real Betis,2020,1500000.0,Cote d'Ivoire
Víctor Camarasa,Central Midfield,27,Spain,Real Betis,2020,1500000.0,Spain
Andrés Guardado,Central Midfield,34,Mexico,Real Betis,2020,1500000.0,Mexico
Nabil Fekir,Attacking Midfield,27,France,Real Betis,2020,25000000.0,France
Sergio Canales,Attacking Midfield,30,Spain,Real Betis,2020,20000000.0,Spain
Yassin Fekir,Attacking Midfield,24,France,Real Betis,2020,300000.0,France
Cristian Tello,Left Winger,29,Spain,Real Betis,2020,7500000.0,Spain
Juanmi,Left Winger,28,Spain,Real Betis,2020,2500000.0,Spain
Diego Lainez,Right Winger,21,Mexico,Real Betis,2020,8000000.0,Mexico
Joaquín,Right Winger,39,Spain,Real Betis,2020,1500000.0,Spain
Rodri Sánchez,Right Winger,21,Spain,Real Betis,2020,1500000.0,Spain
Borja Iglesias,Centre-Forward,28,Spain,Real Betis,2020,10000000.0,Spain
Loren Morón,Centre-Forward,27,Spain,Real Betis,2020,9000000.0,Spain
Antonio Sanabria,Centre-Forward,25,Paraguay,Real Betis,2020,7500000.0,Paraguay
Rui Silva,Goalkeeper,28,Portugal,Real Betis,2021,15000000.0,Portugal
Joel Robles,Goalkeeper,32,Spain,Real Betis,2021,1500000.0,Spain
Claudio Bravo,Goalkeeper,39,Chile,Real Betis,2021,1000000.0,Chile
Dani Rebollo,Goalkeeper,22,Spain,Real Betis,2021,100000.0,Spain
Edgar González,Centre-Back,25,Spain,Real Betis,2021,6000000.0,Spain
Marc Bartra,Centre-Back,31,Spain,Real Betis,2021,6000000.0,Spain
