Player,Nation,Pos,Age,90s,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Vinicius Júnior,br BRA,FW,22.0,31.4,30,21,10,12,8,14,39,35.9,25,24,1,23,6,36,1,0
Thibaut Courtois,be BEL,GK,30.0,31.0,1,0,1,0,0,1,1,100.0,0,0,0,0,3,4,7,1
Éder Militão,br BRA,DF,24.0,30.0,46,32,25,18,3,26,33,78.8,7,67,39,28,42,88,104,2
Federico Valverde,uy URU,"MF,FW",24.0,27.8,31,20,14,11,6,13,26,50.0,13,31,4,27,17,48,15,0
Antonio Rüdiger,de GER,DF,29.0,26.8,18,16,12,5,1,14,23,60.9,9,23,13,10,19,37,74,0
Rodrygo,br BRA,"FW,MF",21.0,26.4,17,10,3,7,7,4,23,17.4,19,23,0,23,8,25,5,0
Toni Kroos,de GER,MF,32.0,23.9,51,32,16,33,2,23,69,33.3,46,23,4,19,24,75,11,0
Aurélien Tchouaméni,fr FRA,MF,22.0,23.5,64,40,23,36,5,23,38,60.5,15,20,6,14,49,113,50,0
Karim Benzema,fr FRA,FW,34.0,22.6,9,5,2,4,3,2,11,18.2,9,11,0,11,2,11,5,0
Eduardo Camavinga,fr FRA,"MF,DF",19.0,22.3,68,48,32,21,15,24,64,37.5,40,24,5,19,17,85,25,0
David Alaba,at AUT,DF,30.0,20.4,15,11,8,4,3,9,15,60.0,6,18,9,9,14,29,37,1
Dani Carvajal,es ESP,DF,30.0,19.8,32,18,15,12,5,18,35,51.4,17,24,6,18,15,47,49,0
Luka Modrić,hr CRO,MF,36.0,19.4,19,9,6,6,7,10,25,40.0,15,15,5,10,10,29,7,0
Dani Ceballos,es ESP,MF,25.0,17.4,43,29,13,15,15,25,64,39.1,39,23,2,21,25,68,6,1
Nacho,es ESP,DF,32.0,18.2,24,16,17,5,2,12,29,41.4,17,11,6,5,18,42,37,0
Ferland Mendy,fr FRA,DF,27.0,15.0,21,12,14,6,1,12,20,60.0,8,7,2,5,14,35,16,0
Marco Asensio,es ESP,"FW,MF",26.0,16.0,16,10,8,6,2,8,19,42.1,11,8,3,5,5,21,4,0
Lucas Vázquez,es ESP,DF,31.0,12.7,34,23,22,10,2,20,28,71.4,8,10,0,10,7,41,13,0
Andriy Lunin,ua UKR,GK,23.0,7.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Eden Hazard,be BEL,FW,31.0,2.2,0,0,0,0,0,0,2,0.0,2,1,0,1,1,1,0,0
Mariano,do DOM,FW,28.0,1.7,1,0,0,1,0,0,0,,0,1,0,1,0,1,0,0
Álvaro Rodríguez,uy URU,FW,18.0,0.9,2,1,1,0,1,1,1,100.0,0,0,0,0,0,2,1,0
Álvaro Odriozola,es ESP,DF,26.0,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jesús Vallejo,es ESP,DF,25.0,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Sergio Arribas,es ESP,"MF,FW",20.0,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Casemiro,br BRA,MF,30.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Squad Total,,,27.4,38.0,542,353,242,212,88,259,565,45.8,306,365,105,260,296,838,469,5
Opponent Total,,,27.3,38.0,676,407,377,218,81,379,854,44.4,475,492,175,317,331,1007,678,8
