Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
Federico Valverde,uy URU,"MF,DF",26.0,33.7,87,2.58,81,1,1,4,0,0,13,0.39,12,0,0,1,0,0
Kylian Mbappé,fr FRA,FW,25.0,32.3,133,4.12,83,2,23,17,8,0,15,0.46,8,1,2,3,1,0
Aurélien Tchouaméni,fr FRA,"DF,MF",24.0,29.9,34,1.14,33,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Thibaut Courtois,be BEL,GK,32.0,30.0,4,0.13,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Jude Bellingham,eng ENG,MF,21.0,27.6,105,3.8,85,1,5,8,3,3,13,0.47,11,0,0,1,1,0
Antonio Rüdiger,de GER,DF,31.0,25.5,28,1.1,19,0,0,6,3,0,2,0.08,1,0,0,0,1,0
Lucas Vázquez,es ESP,DF,33.0,24.3,65,2.67,54,5,1,2,2,1,8,0.33,8,0,0,0,0,0
Vinicius Júnior,br BRA,FW,24.0,25.0,135,5.39,80,1,29,11,11,3,18,0.72,11,0,5,0,2,0
Fran Garcia,es ESP,DF,24.0,24.1,56,2.32,50,0,1,3,0,2,3,0.12,3,0,0,0,0,0
Rodrygo,br BRA,"FW,MF",23.0,21.4,106,4.95,66,18,13,3,5,1,9,0.42,7,0,1,0,1,0
Raúl Asencio,es ESP,DF,21.0,18.6,12,0.65,11,0,1,0,0,0,1,0.05,1,0,0,0,0,0
Luka Modrić,hr CRO,MF,38.0,20.3,122,6.01,84,33,0,4,0,1,15,0.74,12,3,0,0,0,0
Brahim Díaz,ma MAR,"FW,MF",24.0,15.4,56,3.64,43,0,6,5,1,1,12,0.78,7,0,1,3,0,1
Dani Ceballos,es ESP,MF,27.0,13.5,57,4.22,50,5,1,0,1,0,5,0.37,4,1,0,0,0,0
Arda Güler,tr TUR,"MF,FW",19.0,13.9,79,5.69,52,13,8,4,1,1,11,0.79,4,3,1,2,1,0
Ferland Mendy,fr FRA,DF,29.0,11.2,5,0.45,4,0,0,0,0,1,1,0.09,1,0,0,0,0,0
Eduardo Camavinga,fr FRA,"MF,DF",21.0,12.2,31,2.54,25,1,2,0,3,0,2,0.16,2,0,0,0,0,0
Éder Militão,br BRA,DF,26.0,10.4,12,1.15,9,0,0,2,0,1,1,0.1,1,0,0,0,0,0
Andriy Lunin,ua UKR,GK,25.0,7.0,1,0.14,1,0,0,0,0,0,1,0.14,1,0,0,0,0,0
Dani Carvajal,es ESP,DF,32.0,6.8,12,1.77,10,2,0,0,0,0,2,0.3,1,1,0,0,0,0
David Alaba,at AUT,DF,32.0,3.5,2,0.57,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Endrick,br BRA,FW,18.0,4.0,8,1.96,6,0,1,0,1,0,2,0.49,0,0,1,0,1,0
Jacobo Ramón,es ESP,DF,19.0,2.3,4,1.76,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Jesús Vallejo,es ESP,DF,27.0,1.5,3,1.96,3,0,0,0,0,0,1,0.65,1,0,0,0,0,0
Fran,es ESP,GK,19.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Gonzalo García,es ESP,"FW,DF",20.0,0.6,2,3.21,2,0,0,0,0,0,1,1.61,1,0,0,0,0,0
Víctor Muñoz,es ESP,"FW,DF",21.0,0.4,1,2.5,1,0,0,0,0,0,1,2.5,1,0,0,0,0,0
Chema,es ESP,MF,19.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Lorenzo Aguado,es ESP,DF,21.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Daniel Yáñez,es ESP,FW,17.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,26.6,38.0,1160,30.53,860,84,92,70,39,15,137,3.61,98,9,11,10,8,1
Opponent Total,,,26.7,38.0,717,18.87,549,53,32,44,28,11,64,1.68,46,6,3,6,3,0
