Player,Nation,Pos,Age,90s,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Vinicius Júnior,br BRA,FW,22.0,31.4,1708,3,95,444,1190,260,1708,306,112,36.6,153,50.0,1357,10776,5663,221,98,140,103,61,1460,495
Thibaut Courtois,be BEL,GK,30.0,31.0,1209,1020,1205,5,0,0,1209,2,2,100.0,0,0.0,824,4223,2619,0,0,0,2,0,704,0
Éder Militão,br BRA,DF,24.0,30.0,2216,314,1088,984,157,31,2216,19,11,57.9,6,31.6,1378,7011,3877,28,20,1,16,6,1505,16
Federico Valverde,uy URU,"MF,FW",24.0,27.8,1870,35,229,857,800,54,1870,44,31,70.5,10,22.7,1190,6633,3349,70,68,8,21,7,1485,135
Antonio Rüdiger,de GER,DF,29.0,26.8,1814,194,907,840,79,25,1814,4,3,75.0,1,25.0,1216,5991,3731,21,11,0,8,2,1339,10
Rodrygo,br BRA,"FW,MF",21.0,26.4,1399,3,56,537,822,204,1398,169,81,47.9,68,40.2,1035,6613,3658,146,81,79,64,30,1198,268
Toni Kroos,de GER,MF,32.0,23.9,2633,58,531,1618,506,18,2633,26,9,34.6,10,38.5,1796,8015,4384,51,41,3,10,12,2106,38
Aurélien Tchouaméni,fr FRA,MF,22.0,23.5,1990,94,470,1234,298,29,1990,39,28,71.8,8,20.5,1291,6841,3344,41,43,4,24,12,1533,23
Karim Benzema,fr FRA,FW,34.0,22.6,1284,7,56,457,776,175,1276,44,20,45.5,22,50.0,797,3737,1900,72,43,31,32,28,1092,157
Eduardo Camavinga,fr FRA,"MF,DF",19.0,22.3,1770,51,372,942,485,39,1770,71,38,53.5,25,35.2,1162,6589,3684,69,77,12,39,28,1326,99
David Alaba,at AUT,DF,30.0,20.4,1293,137,531,530,240,22,1293,4,3,75.0,1,25.0,779,3566,2070,16,24,2,7,5,938,60
Dani Carvajal,es ESP,DF,30.0,19.8,1512,85,412,580,526,39,1512,17,9,52.9,5,29.4,864,3105,1547,22,30,3,23,7,1049,147
Luka Modrić,hr CRO,MF,36.0,19.4,1681,19,213,885,592,47,1680,47,19,40.4,21,44.7,1132,5681,2532,50,49,14,31,19,1361,87
Dani Ceballos,es ESP,MF,25.0,17.4,1690,29,258,986,465,34,1690,66,40,60.6,22,33.3,1243,6885,3318,60,52,7,19,26,1366,60
Nacho,es ESP,DF,32.0,18.2,1327,95,503,629,205,19,1327,17,11,64.7,4,23.5,762,3224,1899,18,10,4,15,9,937,34
Ferland Mendy,fr FRA,DF,27.0,15.0,971,42,265,426,287,8,971,29,19,65.5,8,27.6,591,3059,1427,23,25,2,20,17,697,73
Marco Asensio,es ESP,"FW,MF",26.0,16.0,951,11,66,375,517,71,950,33,23,69.7,7,21.2,609,3688,1856,56,39,11,19,13,725,108
Lucas Vázquez,es ESP,DF,31.0,12.7,1059,25,263,422,377,46,1059,25,14,56.0,5,20.0,672,3060,1598,31,13,16,20,7,771,145
Andriy Lunin,ua UKR,GK,23.0,7.0,234,186,232,2,0,0,234,0,0,,0,,144,645,257,0,0,0,0,0,142,0
Eden Hazard,be BEL,FW,31.0,2.2,128,0,5,44,82,13,127,6,2,33.3,2,33.3,95,516,268,6,8,1,9,2,112,25
Mariano,do DOM,FW,28.0,1.7,52,0,3,21,29,8,52,1,0,0.0,1,100.0,31,186,94,3,2,0,2,3,42,12
Álvaro Rodríguez,uy URU,FW,18.0,0.9,23,1,2,9,12,4,23,0,0,,0,,17,47,6,0,0,0,5,3,17,3
Álvaro Odriozola,es ESP,DF,26.0,0.4,32,0,7,15,10,2,32,2,0,0.0,0,0.0,20,142,74,4,0,0,0,0,25,5
Jesús Vallejo,es ESP,DF,25.0,0.2,14,4,9,3,2,2,14,0,0,,0,,10,27,13,0,0,0,0,0,11,0
Sergio Arribas,es ESP,"MF,FW",20.0,0.2,13,1,1,6,6,1,13,0,0,,0,,4,26,17,0,0,0,0,0,8,0
Casemiro,br BRA,MF,30.0,0.1,11,1,3,8,0,0,11,0,0,,0,,7,20,6,0,0,0,1,0,7,0
Squad Total,,,27.4,38.0,28884,2415,7782,12859,8463,1151,28872,971,475,48.9,379,39.0,19026,100306,53191,1008,734,338,490,297,21956,2000
Opponent Total,,,27.3,38.0,19963,2604,6935,8542,4678,640,19958,617,306,49.6,259,42.0,11794,62135,32008,631,505,140,470,283,12901,1178
