Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Federico Valverde,uy URU,"MF,DF",26.0,33.7,6,57,22,38.6,1.69,0.65,0.11,0.27,26.8,5,0,0,2.7,2.7,0.05,3.3,3.3
Kylian Mbappé,fr FRA,FW,25.0,32.3,31,152,75,49.3,4.71,2.32,0.16,0.32,17.3,3,7,9,25.9,18.6,0.12,5.1,5.4
Aurélien Tchouaméni,fr FRA,"DF,MF",24.0,29.9,0,19,3,15.8,0.64,0.1,0.0,0.0,17.1,0,0,0,1.7,1.7,0.09,-1.7,-1.7
Thibaut Courtois,be BEL,GK,32.0,30.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Jude Bellingham,eng ENG,MF,21.0,27.6,9,60,22,36.7,2.17,0.8,0.13,0.36,15.6,0,1,2,11.4,9.9,0.17,-2.4,-1.9
Antonio Rüdiger,de GER,DF,31.0,25.5,0,24,4,16.7,0.94,0.16,0.0,0.0,18.0,0,0,0,1.7,1.7,0.07,-1.7,-1.7
Lucas Vázquez,es ESP,DF,33.0,24.3,1,15,3,20.0,0.62,0.12,0.07,0.33,17.0,1,0,0,1.4,1.4,0.1,-0.4,-0.4
Vinicius Júnior,br BRA,FW,24.0,25.0,11,78,24,30.8,3.12,0.96,0.12,0.38,17.5,0,2,3,10.4,8.2,0.11,0.6,0.8
Fran Garcia,es ESP,DF,24.0,24.1,0,14,3,21.4,0.58,0.12,0.0,0.0,19.4,0,0,0,0.9,0.9,0.06,-0.9,-0.9
Rodrygo,br BRA,"FW,MF",23.0,21.4,6,54,20,37.0,2.52,0.93,0.11,0.3,16.4,3,0,0,4.0,3.9,0.07,2.0,2.1
Raúl Asencio,es ESP,DF,21.0,18.6,0,3,1,33.3,0.16,0.05,0.0,0.0,21.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Luka Modrić,hr CRO,MF,38.0,20.3,2,22,6,27.3,1.08,0.3,0.09,0.33,23.1,1,0,0,1.6,1.6,0.07,0.4,0.4
Brahim Díaz,ma MAR,"FW,MF",24.0,15.4,4,28,15,53.6,1.82,0.97,0.14,0.27,12.6,0,0,0,5.3,5.3,0.19,-1.3,-1.3
Dani Ceballos,es ESP,MF,27.0,13.5,0,7,2,28.6,0.52,0.15,0.0,0.0,22.5,0,0,0,0.4,0.4,0.05,-0.4,-0.4
Arda Güler,tr TUR,"MF,FW",19.0,13.9,3,39,16,41.0,2.81,1.15,0.08,0.19,20.0,2,0,0,3.3,3.3,0.08,-0.3,-0.3
Ferland Mendy,fr FRA,DF,29.0,11.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Eduardo Camavinga,fr FRA,"MF,DF",21.0,12.2,1,8,2,25.0,0.65,0.16,0.13,0.5,18.5,0,0,0,0.4,0.4,0.05,0.6,0.6
Éder Militão,br BRA,DF,26.0,10.4,1,10,3,30.0,0.96,0.29,0.1,0.33,17.3,0,0,0,0.6,0.6,0.06,0.4,0.4
Andriy Lunin,ua UKR,GK,25.0,7.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Dani Carvajal,es ESP,DF,32.0,6.8,1,3,1,33.3,0.44,0.15,0.33,1.0,3.4,0,0,0,1.3,1.3,0.44,-0.3,-0.3
David Alaba,at AUT,DF,32.0,3.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Endrick,br BRA,FW,18.0,4.0,1,24,6,25.0,5.95,1.49,0.04,0.17,16.4,0,0,0,2.5,2.5,0.1,-1.5,-1.5
Jacobo Ramón,es ESP,DF,19.0,2.3,1,2,1,50.0,0.88,0.44,0.5,1.0,9.5,0,0,0,0.2,0.2,0.08,0.8,0.8
Jesús Vallejo,es ESP,DF,27.0,1.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Fran,es ESP,GK,19.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Gonzalo García,es ESP,"FW,DF",20.0,0.6,0,1,0,0.0,1.61,0.0,0.0,,4.8,0,0,0,0.5,0.5,0.49,-0.5,-0.5
Víctor Muñoz,es ESP,"FW,DF",21.0,0.4,0,1,0,0.0,2.5,0.0,0.0,,15.3,0,0,0,0.5,0.5,0.49,-0.5,-0.5
Chema,es ESP,MF,19.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Lorenzo Aguado,es ESP,DF,21.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Daniel Yáñez,es ESP,FW,17.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Squad Total,,,26.6,38.0,78,621,229,36.9,16.34,6.03,0.11,0.3,18.1,15,10,14,75.3,64.5,0.11,2.7,3.5
Opponent Total,,,26.7,38.0,37,402,123,30.6,10.58,3.24,0.08,0.28,18.1,9,3,3,42.8,40.8,0.11,-5.8,-6.8
