Player,Season,Nation,Nationality,Pos,Position,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def_Pen,Att_Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,MarketValueEuro,Current club
Andriy Lunin,2223,ua UKR,Ukraine,GK,Goalkeeper,23,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,205.0,227.0,90.3,4750.0,3000.0,45.0,45.0,100.0,117.0,120.0,97.5,43.0,61.0,70.5,0.0,0.0,0.0,0.0,0.0,0.0,186.0,41.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,234.0,186.0,0.0,0.0,,0.0,,144.0,0.0,0.0,0.0,142.0,5000000.0,Real Madrid CF
Andriy Lunin,2324,ua UKR,Ukraine,GK,Goalkeeper,24,21,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,580.0,666.0,87.1,12727.0,7874.0,147.0,148.0,99.3,330.0,335.0,98.5,100.0,176.0,56.8,0.0,-0.3,1.0,6.0,0.0,0.0,531.0,133.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,713.0,613.0,0.0,0.0,,0.0,,399.0,0.0,0.0,0.0,400.0,25000000.0,Real Madrid CF
Andriy Lunin,2425,ua UKR,Ukraine,GK,Goalkeeper,25,7,7,630,7.0,0,1,1,0,0,0,0,0,0.0,0.0,0.9,0.9,0,0,0,0.00,0.14,0.14,0.00,0.14,0.00,0.13,0.13,0.00,0.13,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,174.0,202.0,86.1,4252.0,2741.0,46.0,47.0,97.9,82.0,82.0,100.0,45.0,70.0,64.3,0.0,0.1,1.0,1.0,0.0,0.0,147.0,53.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.14,1.0,0.0,0.0,0.0,0.0,1.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,3.0,0.0,209.0,178.0,0.0,0.0,,0.0,,116.0,0.0,0.0,0.0,109.0,18000000.0,Real Madrid CF
Antonio Rüdiger,2223,de GER,Germany,DF,Centre-Back,29,33,26,2415.0,26.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.8,1.8,0.1,1.9,21.0,59.0,10.0,0.04,0.0,0.04,0.04,0.04,0.07,0.0,0.07,0.07,0.07,22.0,4.0,18.2,0.82,0.15,0.05,0.25,14.8,0.0,0.08,-0.8,-0.8,1486.0,1617.0,91.9,26566.0,8924.0,595.0,621.0,95.8,768.0,807.0,95.2,109.0,153.0,71.2,0.9,-0.1,2.0,75.0,6.0,0.0,1562.0,55.0,3.0,16.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,14.0,18.0,0.67,16.0,0.0,0.0,1.0,0.0,1.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0,18.0,16.0,12.0,5.0,1.0,14.0,60.9,9.0,10.0,19.0,37.0,74.0,0.0,1814.0,194.0,25.0,3.0,75.0,1.0,25.0,1216.0,0.0,8.0,2.0,1339.0,32000000.0,Real Madrid CF
Antonio Rüdiger,2324,de GER,Germany,DF,Centre-Back,30,33,30,2709.0,30.1,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,1.5,1.5,1.2,2.6,17.0,88.0,1.0,0.03,0.0,0.03,0.03,0.03,0.05,0.04,0.09,0.05,0.09,19.0,2.0,10.5,0.63,0.07,0.05,0.5,16.0,0.0,0.08,-0.5,-0.5,1630.0,1815.0,89.8,30058.0,11111.0,625.0,654.0,95.6,860.0,908.0,94.7,130.0,219.0,59.4,1.0,-1.2,5.0,90.0,11.0,2.0,1761.0,50.0,3.0,10.0,4.0,9.0,0.0,0.0,0.0,0.0,4.0,9.0,21.0,0.7,16.0,0.0,0.0,0.0,0.0,5.0,0.17,4.0,0.0,0.0,1.0,0.0,0.0,26.0,15.0,18.0,4.0,4.0,16.0,80.0,4.0,7.0,11.0,37.0,89.0,0.0,2022.0,275.0,25.0,1.0,33.3,2.0,66.7,1337.0,1.0,4.0,2.0,1525.0,25000000.0,Real Madrid CF
Antonio Rüdiger,2425,de GER,Germany,DF,Centre-Back,31,29,26,2291,25.5,0,0,0,0,0,0,3,0,1.7,1.7,0.5,2.3,20,94,4,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,24.0,4.0,16.7,0.94,0.16,0.0,0.0,18.0,0.0,0.07,-1.7,-1.7,1706.0,1858.0,91.8,32076.0,10610.0,644.0,666.0,96.7,875.0,919.0,95.2,168.0,239.0,70.3,0.9,-0.5,7.0,117.0,6.0,1.0,1780.0,72.0,3.0,18.0,4.0,9.0,0.0,0.0,0.0,0.0,6.0,5.0,28.0,1.1,19.0,0.0,0.0,3.0,0.0,2.0,0.08,1.0,0.0,0.0,0.0,1.0,0.0,20.0,13.0,14.0,6.0,0.0,11.0,73.3,4.0,8.0,9.0,29.0,96.0,1.0,2069.0,233.0,23.0,3.0,42.9,2.0,28.6,1373.0,2.0,7.0,2.0,1584.0,20000000.0,Real Madrid CF
Arda Güler,2324,tr TUR,Türkiye,"FW,MF",Right Winger,18,10,4,377.0,4.2,6.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,1.4,1.4,0.1,1.6,16.0,17.0,25.0,1.43,0.0,1.43,1.43,1.43,0.34,0.03,0.37,0.34,0.37,15.0,6.0,40.0,3.58,1.43,0.4,1.0,21.9,1.0,0.1,4.6,4.6,183.0,218.0,83.9,2640.0,611.0,115.0,121.0,95.0,50.0,61.0,82.0,10.0,21.0,47.6,0.5,-0.1,2.0,8.0,6.0,0.0,205.0,13.0,0.0,3.0,13.0,2.0,6.0,5.0,0.0,0.0,0.0,4.0,18.0,4.3,11.0,1.0,2.0,2.0,0.0,2.0,0.48,1.0,0.0,1.0,0.0,0.0,0.0,6.0,4.0,1.0,3.0,2.0,5.0,62.5,3.0,0.0,2.0,8.0,5.0,0.0,273.0,7.0,19.0,11.0,50.0,9.0,40.9,172.0,6.0,7.0,5.0,205.0,30000000.0,Real Madrid CF
Arda Güler,2425,tr TUR,Türkiye,"MF,FW",Right Winger,19,28,14,1250,13.9,3,4,7,3,0,0,1,0,3.3,3.3,4.5,7.7,34,93,86,0.22,0.29,0.50,0.22,0.50,0.24,0.32,0.56,0.24,0.56,39.0,16.0,41.0,2.81,1.15,0.08,0.19,20.0,2.0,0.08,-0.3,-0.3,763.0,886.0,86.1,12391.0,3189.0,414.0,441.0,93.9,265.0,299.0,88.6,67.0,112.0,59.8,4.4,-0.5,40.0,82.0,31.0,5.0,805.0,80.0,10.0,8.0,57.0,13.0,47.0,30.0,7.0,0.0,1.0,13.0,79.0,5.69,52.0,13.0,8.0,1.0,1.0,11.0,0.79,4.0,3.0,1.0,2.0,1.0,0.0,30.0,16.0,11.0,8.0,11.0,9.0,40.9,13.0,18.0,7.0,37.0,8.0,0.0,1058.0,14.0,50.0,20.0,44.4,20.0,44.4,696.0,10.0,23.0,9.0,808.0,45000000.0,Real Madrid CF
Aurélien Tchouaméni,2223,fr FRA,France,MF,Defensive Midfield,22,33,24,2119.0,23.5,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,1.8,1.8,2.2,4.0,41.0,142.0,23.0,0.0,0.17,0.17,0.0,0.17,0.08,0.09,0.17,0.08,0.17,38.0,6.0,15.8,1.61,0.25,0.0,0.0,22.1,0.0,0.05,-1.8,-1.8,1578.0,1700.0,92.8,25016.0,7823.0,807.0,851.0,94.8,646.0,686.0,94.2,88.0,106.0,83.0,2.1,1.8,22.0,159.0,11.0,0.0,1657.0,41.0,7.0,7.0,12.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,63.0,2.67,53.0,1.0,2.0,3.0,1.0,12.0,0.51,11.0,0.0,0.0,0.0,1.0,0.0,64.0,40.0,23.0,36.0,5.0,23.0,60.5,15.0,14.0,49.0,113.0,50.0,0.0,1990.0,94.0,29.0,28.0,71.8,8.0,20.5,1291.0,4.0,24.0,12.0,1533.0,85000000.0,Real Madrid CF
Aurélien Tchouaméni,2324,fr FRA,France,"MF,DF",Defensive Midfield,23,27,22,1987.0,22.1,3.0,1.0,4.0,3.0,0.0,0.0,7.0,0.0,1.3,1.3,0.9,2.1,28.0,111.0,15.0,0.14,0.05,0.18,0.14,0.18,0.06,0.04,0.1,0.06,0.1,27.0,7.0,25.9,1.22,0.32,0.11,0.43,22.2,0.0,0.05,1.7,1.7,1377.0,1520.0,90.6,22672.0,7487.0,688.0,729.0,94.4,592.0,639.0,92.6,82.0,113.0,72.6,1.4,0.1,11.0,154.0,13.0,4.0,1461.0,53.0,1.0,4.0,22.0,2.0,0.0,0.0,0.0,0.0,6.0,9.0,35.0,1.58,30.0,0.0,1.0,0.0,1.0,11.0,0.5,10.0,0.0,0.0,1.0,0.0,0.0,38.0,23.0,19.0,17.0,2.0,9.0,50.0,9.0,8.0,28.0,66.0,52.0,1.0,1722.0,132.0,20.0,6.0,46.2,3.0,23.1,1152.0,1.0,13.0,12.0,1296.0,100000000.0,Real Madrid CF
