Name,Position,Age,Nationality,Current club,Season,MarketValueEuro,PrimaryNationality
Thibaut Courtois,Goalkeeper,29,Belgium,Real Madrid CF,2020,60000000.0,Belgium
Andriy Lunin,Goalkeeper,22,Ukraine,Real Madrid CF,2020,3000000.0,Ukraine
Diego Altube,Goalkeeper,21,Spain,Real Madrid CF,2020,500000.0,Spain
Luis López,Goalkeeper,20,Spain,Real Madrid CF,2020,150000.0,Spain
Raphaël Varane,Centre-Back,28,France,Real Madrid CF,2020,70000000.0,France
Éder Militão,Centre-Back,23,Brazil,Real Madrid CF,2020,40000000.0,Brazil
Sergio Ramos,Centre-Back,35,Spain,Real Madrid CF,2020,10000000.0,Spain
Nacho Fernández,Centre-Back,31,Spain,Real Madrid CF,2020,10000000.0,Spain
Víctor Chust,Centre-Back,21,Spain,Real Madrid CF,2020,400000.0,Spain
Pablo Ramón,Centre-Back,20,Spain,Real Madrid CF,2020,50000.0,Spain
Ferland Mendy,Left-Back,26,France,Real Madrid CF,2020,50000000.0,France
Marcelo,Left-Back,33,Brazil,Real Madrid CF,2020,7500000.0,Brazil
Miguel Gutiérrez,Left-Back,19,Spain,Real Madrid CF,2020,5000000.0,Spain
Daniel Carvajal,Right-Back,29,Spain,Real Madrid CF,2020,30000000.0,Spain
Lucas Vázquez,Right-Back,29,Spain,Real Madrid CF,2020,15000000.0,Spain
Álvaro Odriozola,Right-Back,25,Spain,Real Madrid CF,2020,10000000.0,Spain
Marvin Park,Right-Back,20,Spain,Real Madrid CF,2020,500000.0,Spain
Sergio Santos,Right-Back,20,Spain,Real Madrid CF,2020,200000.0,Spain
Casemiro,Defensive Midfield,29,Brazil,Real Madrid CF,2020,70000000.0,Brazil
Antonio Blanco,Defensive Midfield,20,Spain,Real Madrid CF,2020,5000000.0,Spain
Federico Valverde,Central Midfield,22,Uruguay,Real Madrid CF,2020,65000000.0,Uruguay
Toni Kroos,Central Midfield,31,Germany,Real Madrid CF,2020,40000000.0,Germany
Luka Modrić,Central Midfield,35,Croatia,Real Madrid CF,2020,10000000.0,Croatia
Martin Ødegaard,Attacking Midfield,22,Norway,Real Madrid CF,2020,40000000.0,Norway
Marco Asensio,Attacking Midfield,25,Spain,Real Madrid CF,2020,35000000.0,Spain
Isco,Attacking Midfield,29,Spain,Real Madrid CF,2020,18000000.0,Spain
Sergio Arribas,Attacking Midfield,19,Spain,Real Madrid CF,2020,3000000.0,Spain
Eden Hazard,Left Winger,30,Belgium,Real Madrid CF,2020,40000000.0,Belgium
Vinicius Junior,Left Winger,20,Brazil,Real Madrid CF,2020,40000000.0,Brazil
Rodrygo,Right Winger,20,Brazil,Real Madrid CF,2020,35000000.0,Brazil
Karim Benzema,Centre-Forward,33,France,Real Madrid CF,2020,25000000.0,France
Luka Jović,Centre-Forward,23,Serbia,Real Madrid CF,2020,20000000.0,Serbia
Borja Mayoral,Centre-Forward,24,Spain,Real Madrid CF,2020,14000000.0,Spain
Mariano Díaz,Centre-Forward,27,Dominican Republic,Real Madrid CF,2020,10000000.0,Dominican Republic
Hugo Duro,Centre-Forward,21,Spain,Real Madrid CF,2020,5000000.0,Spain
Thibaut Courtois,Goalkeeper,30,Belgium,Real Madrid CF,2021,60000000.0,Belgium
Andriy Lunin,Goalkeeper,23,Ukraine,Real Madrid CF,2021,2500000.0,Ukraine
Luis López,Goalkeeper,21,Spain,Real Madrid CF,2021,300000.0,Spain
Toni Fuidias,Goalkeeper,21,Spain,Real Madrid CF,2021,300000.0,Spain
Éder Militão,Centre-Back,24,Brazil,Real Madrid CF,2021,60000000.0,Brazil
David Alaba,Centre-Back,30,Austria,Real Madrid CF,2021,55000000.0,Austria
Nacho Fernández,Centre-Back,32,Spain,Real Madrid CF,2021,7000000.0,Spain
Jesús Vallejo,Centre-Back,25,Spain,Real Madrid CF,2021,3000000.0,Spain
Mario Gila,Centre-Back,21,Spain,Real Madrid CF,2021,500000.0,Spain
Rafa Marín,Centre-Back,20,Spain,Real Madrid CF,2021,400000.0,Spain
Ferland Mendy,Left-Back,27,France,Real Madrid CF,2021,40000000.0,France
Miguel Gutiérrez,Left-Back,20,Spain,Real Madrid CF,2021,6000000.0,Spain
Marcelo,Left-Back,34,Brazil,Real Madrid CF,2021,3000000.0,Brazil
Daniel Carvajal,Right-Back,30,Spain,Real Madrid CF,2021,18000000.0,Spain
Lucas Vázquez,Right-Back,30,Spain,Real Madrid CF,2021,12000000.0,Spain
Álvaro Odriozola,Right-Back,26,Spain,Real Madrid CF,2021,12000000.0,Spain
Sergio Santos,Right-Back,21,Spain,Real Madrid CF,2021,250000.0,Spain
Casemiro,Defensive Midfield,30,Brazil,Real Madrid CF,2021,40000000.0,Brazil
Antonio Blanco,Defensive Midfield,21,Spain,Real Madrid CF,2021,5000000.0,Spain
Federico Valverde,Central Midfield,23,Uruguay,Real Madrid CF,2021,70000000.0,Uruguay
Eduardo Camavinga,Central Midfield,19,France,Real Madrid CF,2021,55000000.0,France
Toni Kroos,Central Midfield,32,Germany,Real Madrid CF,2021,20000000.0,Germany
Dani Ceballos,Central Midfield,25,Spain,Real Madrid CF,2021,14000000.0,Spain
Luka Modrić,Central Midfield,36,Croatia,Real Madrid CF,2021,10000000.0,Croatia
Marco Asensio,Attacking Midfield,26,Spain,Real Madrid CF,2021,40000000.0,Spain
Isco,Attacking Midfield,30,Spain,Real Madrid CF,2021,7500000.0,Spain
Vinicius Junior,Left Winger,21,Brazil,Real Madrid CF,2021,100000000.0,Brazil
Eden Hazard,Left Winger,31,Belgium,Real Madrid CF,2021,12000000.0,Belgium
Rodrygo,Right Winger,21,Brazil,Real Madrid CF,2021,60000000.0,Brazil
Gareth Bale,Right Winger,32,Wales,Real Madrid CF,2021,3000000.0,Wales
Peter Federico,Right Winger,19,Dominican Republic,Real Madrid CF,2021,1000000.0,Dominican Republic
Karim Benzema,Centre-Forward,34,France,Real Madrid CF,2021,30000000.0,France
Luka Jović,Centre-Forward,24,Serbia,Real Madrid CF,2021,16000000.0,Serbia
Mariano Díaz,Centre-Forward,28,Dominican Republic,Real Madrid CF,2021,6000000.0,Dominican Republic
Juanmi Latasa,Centre-Forward,21,Spain,Real Madrid CF,2021,1000000.0,Spain
Thibaut Courtois,Goalkeeper,31,Belgium,Real Madrid CF,2022,45000000.0,Belgium
Andriy Lunin,Goalkeeper,24,Ukraine,Real Madrid CF,2022,5000000.0,Ukraine
Mario de Luis,Goalkeeper,21,Spain,Real Madrid CF,2022,500000.0,Spain
Luis López,Goalkeeper,22,Spain,Real Madrid CF,2022,300000.0,Spain
Lucas Cañizares,Goalkeeper,21,Spain,Real Madrid CF,2022,200000.0,Spain
Éder Militão,Centre-Back,25,Brazil,Real Madrid CF,2022,70000000.0,Brazil
David Alaba,Centre-Back,31,Austria,Real Madrid CF,2022,40000000.0,Austria
Antonio Rüdiger,Centre-Back,30,Germany,Real Madrid CF,2022,32000000.0,Germany
Nacho Fernández,Centre-Back,33,Spain,Real Madrid CF,2022,6000000.0,Spain
Jesús Vallejo,Centre-Back,26,Spain,Real Madrid CF,2022,2000000.0,Spain
Marvel,Centre-Back,20,Spain,Real Madrid CF,2022,1000000.0,Spain
Ferland Mendy,Left-Back,28,France,Real Madrid CF,2022,25000000.0,France
Daniel Carvajal,Right-Back,31,Spain,Real Madrid CF,2022,12000000.0,Spain
Lucas Vázquez,Right-Back,31,Spain,Real Madrid CF,2022,8000000.0,Spain
Álvaro Odriozola,Right-Back,27,Spain,Real Madrid CF,2022,5000000.0,Spain
Vinícius Tobias,Right-Back,19,Brazil,Real Madrid CF,2022,3000000.0,Brazil
Aurélien Tchouaméni,Defensive Midfield,23,France,Real Madrid CF,2022,85000000.0,France
Casemiro,Defensive Midfield,31,Brazil,Real Madrid CF,2022,40000000.0,Brazil
Mario Martín,Defensive Midfield,19,Spain,Real Madrid CF,2022,250000.0,Spain
Federico Valverde,Central Midfield,24,Uruguay,Real Madrid CF,2022,100000000.0,Uruguay
Eduardo Camavinga,Central Midfield,20,France,Real Madrid CF,2022,85000000.0,France
Toni Kroos,Central Midfield,33,Germany,Real Madrid CF,2022,15000000.0,Germany
Dani Ceballos,Central Midfield,26,Spain,Real Madrid CF,2022,12000000.0,Spain
Luka Modrić,Central Midfield,37,Croatia,Real Madrid CF,2022,10000000.0,Croatia
Carlos Dotor,Central Midfield,22,Spain,Real Madrid CF,2022,700000.0,Spain
Marco Asensio,Attacking Midfield,27,Spain,Real Madrid CF,2022,25000000.0,Spain
Sergio Arribas,Attacking Midfield,21,Spain,Real Madrid CF,2022,5000000.0,Spain
Nico Paz,Attacking Midfield,18,Argentina,Real Madrid CF,2022,2000000.0,Argentina
Vinicius Junior,Left Winger,22,Brazil,Real Madrid CF,2022,150000000.0,Brazil
Eden Hazard,Left Winger,32,Belgium,Real Madrid CF,2022,5000000.0,Belgium
Rodrygo,Right Winger,22,Brazil,Real Madrid CF,2022,100000000.0,Brazil
Karim Benzema,Centre-Forward,35,France,Real Madrid CF,2022,25000000.0,France
Álvaro Rodríguez,Centre-Forward,18,Uruguay,Real Madrid CF,2022,6000000.0,Uruguay
Mariano Díaz,Centre-Forward,29,Dominican Republic,Real Madrid CF,2022,2500000.0,Dominican Republic
Thibaut Courtois,Goalkeeper,32,Belgium,Real Madrid CF,2023,28000000.0,Belgium
Andriy Lunin,Goalkeeper,25,Ukraine,Real Madrid CF,2023,25000000.0,Ukraine
Kepa Arrizabalaga,Goalkeeper,29,Spain,Real Madrid CF,2023,12000000.0,Spain
Lucas Cañizares,Goalkeeper,22,Spain,Real Madrid CF,2023,400000.0,Spain
Mario de Luis,Goalkeeper,22,Spain,Real Madrid CF,2023,400000.0,Spain
Diego Piñeiro,Goalkeeper,20,Spain,Real Madrid CF,2023,50000.0,Spain
Éder Militão,Centre-Back,26,Brazil,Real Madrid CF,2023,60000000.0,Brazil
Antonio Rüdiger,Centre-Back,31,Germany,Real Madrid CF,2023,25000000.0,Germany
David Alaba,Centre-Back,32,Austria,Real Madrid CF,2023,20000000.0,Austria
Nacho Fernández,Centre-Back,34,Spain,Real Madrid CF,2023,3000000.0,Spain
Álvaro Carrillo,Centre-Back,22,Spain,Real Madrid CF,2023,300000.0,Spain
Edgar Pujol,Centre-Back,19,Dominican Republic,Real Madrid CF,2023,250000.0,Dominican Republic
Jacobo Ramón,Centre-Back,19,Spain,Real Madrid CF,2023,100000.0,Spain
Ferland Mendy,Left-Back,29,France,Real Madrid CF,2023,22000000.0,France
Fran García,Left-Back,24,Spain,Real Madrid CF,2023,15000000.0,Spain
Daniel Carvajal,Right-Back,32,Spain,Real Madrid CF,2023,12000000.0,Spain
Lucas Vázquez,Right-Back,32,Spain,Real Madrid CF,2023,4000000.0,Spain
Vinícius Tobias,Right-Back,20,Brazil,Real Madrid CF,2023,3000000.0,Brazil
Álvaro Odriozola,Right-Back,28,Spain,Real Madrid CF,2023,2500000.0,Spain
Aurélien Tchouaméni,Defensive Midfield,24,France,Real Madrid CF,2023,100000000.0,France
Mario Martín,Defensive Midfield,20,Spain,Real Madrid CF,2023,300000.0,Spain
Federico Valverde,Central Midfield,25,Uruguay,Real Madrid CF,2023,120000000.0,Uruguay
Eduardo Camavinga,Central Midfield,21,France,Real Madrid CF,2023,100000000.0,France
Toni Kroos,Central Midfield,34,Germany,Real Madrid CF,2023,10000000.0,Germany
Luka Modrić,Central Midfield,38,Croatia,Real Madrid CF,2023,6000000.0,Croatia
Dani Ceballos,Central Midfield,27,Spain,Real Madrid CF,2023,6000000.0,Spain
Théo Zidane,Central Midfield,22,France,Real Madrid CF,2023,300000.0,France
Jude Bellingham,Attacking Midfield,21,England,Real Madrid CF,2023,180000000.0,England
Nico Paz,Attacking Midfield,19,Argentina,Real Madrid CF,2023,10000000.0,Argentina
Vinicius Junior,Left Winger,23,Brazil,Real Madrid CF,2023,180000000.0,Brazil
Rodrygo,Right Winger,23,Brazil,Real Madrid CF,2023,110000000.0,Brazil
Brahim Díaz,Right Winger,24,Morocco,Real Madrid CF,2023,40000000.0,Morocco
Arda Güler,Right Winger,19,Türkiye,Real Madrid CF,2023,30000000.0,Türkiye
Kylian Mbappé,Centre-Forward,25,France,Real Madrid CF,2023,180000000.0,France
Joselu,Centre-Forward,34,Spain,Real Madrid CF,2023,5000000.0,Spain
Álvaro Rodríguez,Centre-Forward,19,Uruguay,Real Madrid CF,2023,3500000.0,Uruguay
Gonzalo García,Centre-Forward,20,Spain,Real Madrid CF,2023,1000000.0,Spain
Thibaut Courtois,Goalkeeper,33,Belgium,Real Madrid CF,2024,20000000.0,Belgium
Andriy Lunin,Goalkeeper,26,Ukraine,Real Madrid CF,2024,18000000.0,Ukraine
Fran González,Goalkeeper,20,Spain,Real Madrid CF,2024,400000.0,Spain
Dean Huijsen,Centre-Back,20,Spain,Real Madrid CF,2024,60000000.0,Spain
Raúl Asencio,Centre-Back,22,Spain,Real Madrid CF,2024,40000000.0,Spain
Éder Militão,Centre-Back,27,Brazil,Real Madrid CF,2024,30000000.0,Brazil
Antonio Rüdiger,Centre-Back,32,Germany,Real Madrid CF,2024,20000000.0,Germany
David Alaba,Centre-Back,33,Austria,Real Madrid CF,2024,6000000.0,Austria
Jesús Vallejo,Centre-Back,28,Spain,Real Madrid CF,2024,1000000.0,Spain
Fran García,Left-Back,25,Spain,Real Madrid CF,2024,18000000.0,Spain
Ferland Mendy,Left-Back,30,France,Real Madrid CF,2024,14000000.0,France
Trent Alexander-Arnold,Right-Back,26,England,Real Madrid CF,2024,75000000.0,England
Daniel Carvajal,Right-Back,33,Spain,Real Madrid CF,2024,8000000.0,Spain
Lucas Vázquez,Right-Back,33,Spain,Real Madrid CF,2024,3000000.0,Spain
Aurélien Tchouaméni,Defensive Midfield,25,France,Real Madrid CF,2024,75000000.0,France
Mario Martín,Defensive Midfield,21,Spain,Real Madrid CF,2024,1500000.0,Spain
Federico Valverde,Central Midfield,26,Uruguay,Real Madrid CF,2024,130000000.0,Uruguay
Eduardo Camavinga,Central Midfield,22,France,Real Madrid CF,2024,60000000.0,France
Dani Ceballos,Central Midfield,28,Spain,Real Madrid CF,2024,10000000.0,Spain
Luka Modrić,Central Midfield,39,Croatia,Real Madrid CF,2024,4000000.0,Croatia
Jude Bellingham,Attacking Midfield,22,England,Real Madrid CF,2024,180000000.0,England
Reinier,Attacking Midfield,23,Brazil,Real Madrid CF,2024,1500000.0,Brazil
Vinicius Junior,Left Winger,24,Brazil,Real Madrid CF,2024,170000000.0,Brazil
Rodrygo,Right Winger,24,Brazil,Real Madrid CF,2024,90000000.0,Brazil
Arda Güler,Right Winger,20,Türkiye,Real Madrid CF,2024,45000000.0,Türkiye
Brahim Díaz,Right Winger,25,Morocco,Real Madrid CF,2024,40000000.0,Morocco
Kylian Mbappé,Centre-Forward,26,France,Real Madrid CF,2024,180000000.0,France
Endrick,Centre-Forward,18,Brazil,Real Madrid CF,2024,35000000.0,Brazil
Álvaro Rodríguez,Centre-Forward,20,Uruguay,Real Madrid CF,2024,2500000.0,Uruguay
