Player,Nation,Pos,Age,90s,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Álex Remiro,es ESP,GK,28.0,36.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,24,2
Martín Zubimendi,es ESP,MF,24.0,29.5,49,27,18,29,2,23,42,54.8,19,33,9,24,37,86,54,0
Igor Zubeldia,es ESP,DF,26.0,28.0,32,25,20,10,2,19,26,73.1,7,28,19,9,32,64,97,3
Robin Le Normand,es ESP,DF,26.0,27.4,31,22,16,15,0,17,30,56.7,13,26,15,11,28,59,96,1
Mikel Merino,es ESP,MF,27.0,27.6,77,43,25,34,18,22,48,45.8,26,36,11,25,16,93,55,3
Brais Méndez,es ESP,"MF,FW",26.0,26.8,42,28,13,20,9,15,43,34.9,28,23,4,19,12,54,21,0
Hamari Traoré,ml MLI,DF,31.0,25.5,44,19,24,17,3,25,43,58.1,18,27,8,19,24,68,59,2
Takefusa Kubo,jp JPN,"FW,MF",22.0,23.9,26,17,15,6,5,9,23,39.1,14,21,2,19,11,37,8,1
Mikel Oyarzabal,es ESP,"FW,MF",26.0,24.0,23,18,7,11,5,7,21,33.3,14,25,4,21,4,27,12,0
Ander Barrenetxea,es ESP,"FW,MF",21.0,15.9,32,21,7,16,9,10,26,38.5,16,18,1,17,6,38,5,0
Beñat Turrientes,es ESP,MF,21.0,18.7,31,17,6,20,5,13,30,43.3,17,19,8,11,6,37,17,0
Jon Pacheco,es ESP,DF,22.0,17.0,25,15,21,4,0,14,22,63.6,8,17,6,11,10,35,53,1
Arsen Zakharyan,ru RUS,"MF,FW",20.0,13.6,22,15,8,11,3,9,22,40.9,13,16,0,16,4,26,10,0
Kieran Tierney,sct SCO,DF,26.0,13.8,37,24,16,18,3,18,27,66.7,9,22,8,14,10,47,45,0
Javi Galán,es ESP,DF,28.0,11.9,38,22,15,19,4,15,30,50.0,15,24,1,23,14,52,17,1
Umar Sadiq,ng NGA,FW,26.0,12.0,15,10,2,8,5,4,8,50.0,4,9,0,9,0,15,10,0
Aihen Muñoz,es ESP,DF,25.0,12.5,36,21,20,10,6,24,35,68.6,11,16,8,8,9,45,33,0
André Silva,pt POR,FW,27.0,8.1,2,2,0,0,2,0,4,0.0,4,3,0,3,1,3,3,0
Sheraldo Becker,sr SUR,"FW,MF",28.0,8.6,2,2,0,2,0,0,1,0.0,1,3,0,3,1,3,0,0
Aritz Elustondo,es ESP,DF,29.0,9.0,11,7,5,4,2,6,14,42.9,8,12,10,2,7,18,26,0
Álvaro Odriozola,es ESP,DF,27.0,4.4,9,7,7,1,1,5,5,100.0,0,2,1,1,8,17,7,0
Jon Aramburu,ve VEN,DF,21.0,6.0,24,15,12,10,2,15,25,60.0,10,8,3,5,7,31,17,0
Carlos Fernández,es ESP,FW,27.0,4.5,11,7,3,6,2,0,2,0.0,2,4,0,4,0,11,5,0
Olasagasti,es ESP,MF,22.0,4.0,16,13,4,7,5,5,8,62.5,3,2,0,2,3,19,5,1
Urko González,es ESP,MF,22.0,1.7,4,1,0,3,1,2,2,100.0,0,1,0,1,1,5,6,0
Mohamed Ali Cho,fr FRA,"FW,MF",19.0,2.8,4,3,3,1,0,2,7,28.6,5,6,0,6,1,5,1,0
Unai Marrero,es ESP,GK,21.0,1.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jon Magunazelaia,es ESP,"FW,MF",22.0,1.3,5,3,2,3,0,4,8,50.0,4,3,0,3,0,5,2,0
Alex Sola,es ESP,"DF,MF",24.0,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0
Alberto Dadie,es ESP,MF,21.0,0.3,2,1,2,0,0,0,0,,0,1,0,1,0,2,0,0
Jon Martin,es ESP,DF,17.0,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
Squad Total,,,25.8,38.0,650,405,271,285,94,283,552,51.3,269,405,118,287,253,903,693,15
Opponent Total,,,27.2,38.0,635,368,305,268,62,284,605,46.9,321,402,112,290,278,913,803,9
