Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
Álex Remiro,es ESP,GK,27.0,38.0,6,0.16,3,3,0,0,0,0,0,0.0,0,0,0,0,0,0
Martín Zubimendi,es ESP,MF,23.0,34.5,52,1.51,47,0,0,1,3,1,6,0.17,6,0,0,0,0,0
Robin Le Normand,es ESP,DF,25.0,31.1,15,0.48,13,0,0,2,0,0,1,0.03,1,0,0,0,0,0
Igor Zubeldia,es ESP,DF,25.0,28.2,11,0.39,9,1,0,0,0,1,2,0.07,2,0,0,0,0,0
Takefusa Kubo,jp JPN,"FW,MF",21.0,27.1,96,3.55,63,10,7,5,10,1,11,0.41,6,0,2,0,2,1
Mikel Merino,es ESP,MF,26.0,27.7,93,3.36,81,1,1,3,2,5,13,0.47,11,0,0,1,0,1
Brais Méndez,es ESP,MF,25.0,26.7,98,3.67,54,30,6,3,5,0,11,0.41,6,2,1,2,0,0
Alexander Sørloth,no NOR,FW,26.0,26.5,58,2.19,41,0,8,6,2,1,5,0.19,4,0,1,0,0,0
David Silva,es ESP,MF,36.0,21.5,77,3.58,67,0,3,4,1,2,14,0.65,13,0,0,0,0,1
Aihen Muñoz,es ESP,DF,24.0,19.5,36,1.84,25,2,5,3,1,0,2,0.1,2,0,0,0,0,0
Andoni Gorosabel,es ESP,DF,25.0,19.0,30,1.58,22,6,0,0,1,1,1,0.05,1,0,0,0,0,0
Diego Rico,es ESP,DF,29.0,18.3,33,1.81,26,2,1,1,1,2,1,0.05,1,0,0,0,0,0
Aritz Elustondo,es ESP,DF,28.0,16.1,9,0.56,5,2,0,2,0,0,2,0.12,0,1,0,1,0,0
Mikel Oyarzabal,es ESP,"FW,MF",25.0,13.5,31,2.3,25,2,0,1,3,0,3,0.22,3,0,0,0,0,0
Asier Illarramendi,es ESP,MF,32.0,12.0,27,2.26,22,3,0,0,1,1,2,0.17,2,0,0,0,0,0
Jon Pacheco,es ESP,DF,21.0,13.3,4,0.3,3,1,0,0,0,0,1,0.08,1,0,0,0,0,0
Ander Barrenetxea,es ESP,"FW,DF",20.0,9.8,28,2.87,22,0,2,2,2,0,2,0.21,1,0,1,0,0,0
Carlos Fernández,es ESP,FW,26.0,7.0,16,2.27,12,0,1,1,2,0,1,0.14,1,0,0,0,0,0
Mohamed Ali Cho,fr FRA,"FW,MF",18.0,6.5,19,2.9,12,1,2,2,1,1,2,0.31,2,0,0,0,0,0
Pablo Marín,es ESP,"MF,FW",19.0,4.0,11,2.75,9,0,2,0,0,0,0,0.0,0,0,0,0,0,0
Alex Sola,es ESP,DF,23.0,3.9,6,1.54,3,2,0,0,1,0,2,0.51,1,0,0,0,1,0
Ander Guevara,es ESP,MF,25.0,2.5,7,2.85,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Alexander Isak,se SWE,FW,22.0,1.7,2,1.18,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Roberto Navarro,es ESP,"MF,FW",20.0,3.9,19,4.87,10,4,2,2,1,0,0,0.0,0,0,0,0,0,0
Beñat Turrientes,es ESP,"MF,FW",20.0,1.2,4,3.4,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Umar Sadiq,ng NGA,FW,25.0,0.9,1,1.1,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Jon Karrikaburu,es ESP,FW,19.0,1.0,2,1.96,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jon Magunazelaia,es ESP,"MF,FW",21.0,0.7,4,5.54,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Olasagasti,es ESP,"MF,DF",21.0,0.7,1,1.36,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0
Ander Martin,es ESP,"MF,FW",21.0,0.5,4,8.57,3,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,25.9,38.0,800,21.05,594,71,41,39,38,17,82,2.16,64,3,5,4,3,3
Opponent Total,,,27.5,38.0,705,18.55,515,60,45,35,38,12,55,1.45,41,2,5,3,3,1
