Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Álex Remiro,es ESP,GK,27.0,38.0,941,1313,71.7,28583,21541,142,143,99.3,442,458,96.5,357,704,50.7,0,0.0,0.1,0.0,1,28,0,0,1
Martín Zubimendi,es ESP,MF,23.0,34.5,1545,1812,85.3,26783,8092,692,784,88.3,702,770,91.2,125,188,66.5,3,2.0,2.2,1.0,20,175,23,1,184
Robin Le Normand,es ESP,DF,25.0,31.1,1533,1740,88.1,30128,8968,485,542,89.5,862,926,93.1,171,240,71.3,0,0.1,0.6,-0.1,3,93,2,0,122
Igor Zubeldia,es ESP,DF,25.0,28.2,1329,1557,85.4,26531,9705,422,474,89.0,753,824,91.4,149,231,64.5,1,0.4,0.6,0.6,3,79,8,1,128
Takefusa Kubo,jp JPN,"FW,MF",21.0,27.1,621,875,71.0,8389,2340,382,454,84.1,174,249,69.9,29,65,44.6,4,6.0,5.4,-2.0,39,33,34,4,81
Mikel Merino,es ESP,MF,26.0,27.7,1145,1502,76.2,18019,6014,607,715,84.9,408,517,78.9,83,161,51.6,9,5.7,5.0,3.3,44,154,36,5,172
Brais Méndez,es ESP,MF,25.0,26.7,1010,1312,77.0,16082,4201,546,618,88.3,303,383,79.1,110,206,53.4,4,3.7,4.8,0.3,48,92,29,3,137
Alexander Sørloth,no NOR,FW,26.0,26.5,329,481,68.4,4213,567,210,269,78.1,88,132,66.7,9,16,56.3,3,4.2,1.9,-1.2,31,11,10,2,20
David Silva,es ESP,MF,36.0,21.5,983,1165,84.4,15023,3274,514,573,89.7,352,411,85.6,68,93,73.1,5,3.6,3.0,1.4,35,93,37,2,162
Aihen Muñoz,es ESP,DF,24.0,19.5,781,1027,76.0,13080,5178,389,436,89.2,323,403,80.1,60,132,45.5,1,0.9,1.1,0.1,14,48,18,11,57
Andoni Gorosabel,es ESP,DF,25.0,19.0,888,1049,84.7,13271,4844,512,561,91.3,297,344,86.3,50,83,60.2,0,1.0,1.7,-1.0,13,42,22,12,68
Diego Rico,es ESP,DF,29.0,18.3,746,985,75.7,12521,5657,371,425,87.3,306,394,77.7,53,120,44.2,0,1.5,1.7,-1.5,10,57,19,10,64
Aritz Elustondo,es ESP,DF,28.0,16.1,653,809,80.7,10994,4008,302,337,89.6,296,359,82.5,42,81,51.9,1,1.1,0.4,-0.1,4,39,7,2,52
Mikel Oyarzabal,es ESP,"FW,MF",25.0,13.5,285,392,72.7,4018,796,179,205,87.3,76,103,73.8,17,39,43.6,1,2.2,1.9,-1.2,14,14,9,2,29
Asier Illarramendi,es ESP,MF,32.0,12.0,545,640,85.2,8295,2035,297,329,90.3,198,220,90.0,32,49,65.3,0,0.4,0.4,-0.4,10,53,3,1,48
Jon Pacheco,es ESP,DF,21.0,13.3,812,907,89.5,15784,4590,262,280,93.6,464,490,94.7,78,117,66.7,1,0.1,0.1,0.9,1,51,0,0,48
Ander Barrenetxea,es ESP,"FW,DF",20.0,9.8,288,376,76.6,4302,1117,162,187,86.6,95,113,84.1,19,33,57.6,1,1.2,1.1,-0.2,9,14,9,1,27
Carlos Fernández,es ESP,FW,26.0,7.0,96,148,64.9,1274,273,51,78,65.4,35,48,72.9,0,3,0.0,0,0.6,0.3,-0.6,7,4,4,0,13
Mohamed Ali Cho,fr FRA,"FW,MF",18.0,6.5,108,165,65.5,1506,407,72,82,87.8,27,53,50.9,5,17,29.4,2,1.7,1.6,0.3,7,6,10,7,8
Pablo Marín,es ESP,"MF,FW",19.0,4.0,128,168,76.2,1809,362,78,92,84.8,36,48,75.0,9,12,75.0,0,0.8,0.4,-0.8,6,9,2,0,15
Alex Sola,es ESP,DF,23.0,3.9,158,198,79.8,2779,704,60,68,88.2,78,91,85.7,15,28,53.6,0,0.1,0.1,-0.1,2,6,1,1,4
Ander Guevara,es ESP,MF,25.0,2.5,161,179,89.9,2454,585,85,88,96.6,66,71,93.0,5,8,62.5,0,0.7,0.3,-0.7,4,23,1,0,15
Alexander Isak,se SWE,FW,22.0,1.7,17,30,56.7,236,60,11,14,78.6,6,9,66.7,0,2,0.0,0,0.1,0.0,-0.1,2,0,1,0,3
Roberto Navarro,es ESP,"MF,FW",20.0,3.9,99,138,71.7,1345,382,60,73,82.2,22,35,62.9,8,13,61.5,0,1.2,1.1,-1.2,12,8,3,0,13
