Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Álex Remiro,es ESP,GK,29.0,36.0,1291,946,341,107,0,3,0,0,0,0,0,0,955,4,1
Martín Zubimendi,es ESP,MF,25.0,32.9,1772,1708,57,55,2,11,12,1,1,0,0,0,1482,7,24
Sergio Gómez,es ESP,"MF,DF",23.0,30.4,1439,1186,244,58,1,9,231,46,133,47,67,0,1076,9,47
Jon Aramburu,ve VEN,DF,22.0,27.3,1518,1211,305,37,0,3,45,268,0,0,0,0,1190,2,37
Mikel Oyarzabal,es ESP,FW,27.0,25.0,505,468,36,0,2,3,10,4,0,0,0,0,371,1,17
Takefusa Kubo,jp JPN,"MF,FW",23.0,26.4,962,907,48,11,7,2,85,8,28,13,8,0,694,7,43
Igor Zubeldia,es ESP,DF,27.0,25.2,1483,1431,44,41,3,12,1,1,0,0,0,0,1281,8,5
Javi López,es ESP,DF,22.0,21.5,1038,783,254,21,0,8,60,233,0,0,0,0,814,1,27
Luka Sučić,hr CRO,MF,21.0,19.9,882,852,24,7,5,7,18,1,1,0,1,0,727,6,15
Nayef Aguerd,ma MAR,DF,28.0,19.6,1389,1330,53,38,0,34,2,3,0,0,0,0,1213,6,10
Brais Méndez,es ESP,MF,27.0,17.0,810,730,73,32,3,12,52,7,29,8,16,0,631,7,22
Aritz Elustondo,es ESP,DF,30.0,16.2,907,844,59,29,3,5,4,28,0,0,0,0,775,4,9
Ander Barrenetxea,es ESP,"MF,FW",22.0,14.0,529,506,19,1,1,11,54,11,7,4,0,0,375,4,27
Pablo Marín,es ESP,MF,21.0,13.8,467,453,12,3,2,0,12,0,0,0,0,0,374,2,11
Aihen Muñoz,es ESP,DF,26.0,12.2,631,490,137,5,0,1,35,132,0,0,0,0,448,4,17
Sheraldo Becker,sr SUR,"FW,MF",29.0,11.1,313,304,8,0,0,1,64,4,2,0,0,0,200,1,14
Beñat Turrientes,es ESP,MF,22.0,10.5,452,423,29,17,0,6,19,1,10,5,1,0,405,0,2
Orri Steinn Óskarsson,is ISL,FW,19.0,10.5,197,188,4,0,0,0,7,0,0,0,0,0,104,5,9
Jon Pacheco,es ESP,DF,23.0,9.5,494,467,26,19,1,9,0,1,0,0,0,0,411,1,5
Hamari Traoré,ml MLI,DF,32.0,7.8,460,371,89,12,0,1,9,77,0,0,0,0,381,0,8
Olasagasti,es ESP,MF,23.0,9.5,407,393,13,3,0,5,10,1,4,0,2,0,314,1,7
Jon Martin,es ESP,DF,18.0,10.0,539,527,12,12,0,1,0,0,0,0,0,0,468,0,3
Umar Sadiq,ng NGA,FW,27.0,2.5,48,46,1,0,0,0,2,0,0,0,0,0,25,1,2
Unai Marrero,es ESP,GK,22.0,2.0,57,37,19,4,0,0,0,0,0,0,0,0,46,1,0
Arkaitz Mariezkurrena,es ESP,"FW,MF",19.0,2.7,68,65,3,1,0,0,5,0,0,0,0,0,47,0,5
Arsen Zakharyan,ru RUS,"MF,FW",21.0,0.8,33,32,1,0,2,1,1,0,1,1,0,0,28,0,0
Urko González,es ESP,MF,23.0,0.5,17,17,0,0,0,1,1,0,0,0,0,0,10,0,1
Álvaro Odriozola,es ESP,DF,28.0,0.5,30,25,5,0,0,0,1,5,0,0,0,0,22,0,0
Daniel Díaz,es ESP,MF,18.0,0.1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
Luken Beitia,es ESP,DF,20.0,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
Jon Magunazelaia,es ESP,MF,23.0,0.1,13,13,0,0,1,0,0,0,0,0,0,0,7,0,1
Squad Total,,,25.2,38.0,18759,16761,1916,513,33,146,740,832,216,78,95,0,14880,82,369
Opponent Total,,,26.8,38.0,16415,14418,1912,550,54,115,610,808,179,69,58,3,12635,85,345
