Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
Álex Remiro,es ESP,GK,29.0,36,36,3240.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martín Zubimendi,es ESP,MF,25.0,36,33,2962.0,32.9,2.0,1.0,3.0,2.0,0.0,0.0,6.0,0.0,2.6,2.6,1.1,3.7,38.0,195.0,43.0,0.06,0.03,0.09,0.06,0.09,0.08,0.03,0.11,0.08,0.11
Sergio Gómez,es ESP,"MF,DF",23.0,37,31,2738.0,30.4,2.0,5.0,7.0,2.0,0.0,0.0,4.0,0.0,1.9,1.9,8.9,10.8,43.0,93.0,154.0,0.07,0.16,0.23,0.07,0.23,0.06,0.29,0.35,0.06,0.35
Jon Aramburu,ve VEN,DF,22.0,35,28,2460.0,27.3,1.0,1.0,2.0,1.0,0.0,0.0,8.0,0.0,0.4,0.4,1.1,1.6,26.0,97.0,53.0,0.04,0.04,0.07,0.04,0.07,0.02,0.04,0.06,0.02,0.06
Mikel Oyarzabal,es ESP,FW,27.0,35,28,2250.0,25.0,9.0,3.0,12.0,5.0,4.0,4.0,4.0,1.0,9.9,6.8,2.4,9.2,31.0,28.0,133.0,0.36,0.12,0.48,0.2,0.32,0.4,0.1,0.5,0.27,0.37
Takefusa Kubo,jp JPN,"MF,FW",23.0,36,27,2372.0,26.4,5.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,3.6,3.6,4.5,8.0,133.0,110.0,218.0,0.19,0.0,0.19,0.19,0.19,0.14,0.17,0.31,0.14,0.31
Igor Zubeldia,es ESP,DF,27.0,28,27,2269.0,25.2,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.6,0.6,0.4,1.1,22.0,101.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04
Javi López,es ESP,DF,22.0,29,21,1936.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.4,0.5,36.0,73.0,64.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03
Luka Sučić,hr CRO,MF,21.0,29,21,1792.0,19.9,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,3.3,3.3,2.6,5.9,30.0,79.0,56.0,0.05,0.05,0.1,0.05,0.1,0.17,0.13,0.3,0.17,0.3
Nayef Aguerd,ma MAR,DF,28.0,21,21,1760.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.4,2.4,0.1,2.5,26.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12,0.01,0.13,0.12,0.13
