Player,Season,Nation,Nationality,Pos,Position,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def_Pen,Att_Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,MarketValueEuro,Current club
Aihen Muñoz,2223,es ESP,Spain,DF,Left-Back,24,23,20,1756.0,19.5,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.9,1.1,37.0,57.0,87.0,0.0,0.05,0.05,0.0,0.05,0.01,0.05,0.06,0.01,0.06,6.0,2.0,33.3,0.31,0.1,0.0,0.0,24.8,0.0,0.03,-0.2,-0.2,781.0,1027.0,76.0,13080.0,5178.0,389.0,436.0,89.2,323.0,403.0,80.1,60.0,132.0,45.5,1.1,0.1,14.0,48.0,18.0,11.0,824.0,196.0,0.0,3.0,54.0,180.0,0.0,0.0,0.0,0.0,7.0,29.0,36.0,1.84,25.0,2.0,5.0,1.0,0.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,38.0,23.0,17.0,17.0,4.0,22.0,46.8,25.0,21.0,9.0,47.0,38.0,0.0,1226.0,39.0,9.0,19.0,47.5,18.0,45.0,624.0,2.0,25.0,18.0,704.0,6000000.0,Real Sociedad
Aihen Muñoz,2324,es ESP,,DF,,25,21,11,1127.0,12.5,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,2.0,2.2,24.0,39.0,23.0,0.0,0.16,0.16,0.0,0.16,0.02,0.16,0.18,0.02,0.18,7.0,2.0,28.6,0.56,0.16,0.0,0.0,24.2,0.0,0.04,-0.3,-0.3,504.0,702.0,71.8,9001.0,4109.0,216.0,240.0,90.0,234.0,315.0,74.3,48.0,112.0,42.9,0.9,0.0,12.0,35.0,11.0,10.0,524.0,175.0,0.0,1.0,29.0,164.0,0.0,0.0,0.0,0.0,3.0,19.0,24.0,1.91,19.0,1.0,2.0,0.0,0.0,3.0,0.24,2.0,0.0,0.0,1.0,0.0,0.0,36.0,21.0,20.0,10.0,6.0,24.0,68.6,11.0,8.0,9.0,45.0,33.0,0.0,838.0,44.0,6.0,10.0,52.6,7.0,36.8,372.0,1.0,14.0,8.0,429.0,,
Aihen Muñoz,2425,es ESP,,DF,,26,21,13,1098.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,0.3,0.4,26.0,38.0,28.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.01,0.04,6.0,0.0,0.0,0.49,0.0,0.0,,30.0,0.0,0.03,-0.2,-0.2,448.0,631.0,71.0,7078.0,2813.0,238.0,263.0,90.5,172.0,235.0,73.2,26.0,97.0,26.8,0.3,-0.3,3.0,38.0,3.0,2.0,490.0,137.0,0.0,1.0,35.0,132.0,0.0,0.0,0.0,0.0,4.0,17.0,10.0,0.82,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,12.0,14.0,8.0,2.0,14.0,50.0,14.0,5.0,14.0,38.0,47.0,0.0,763.0,44.0,4.0,7.0,58.3,4.0,33.3,356.0,3.0,10.0,3.0,404.0,,
Aitor Fraga,2324,es ESP,,GK,,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aitor Fraga,2425,es ESP,,GK,,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberto Dadie,2324,es ESP,,MF,,21,1,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,3.0,7.0,42.9,47.0,33.0,2.0,4.0,50.0,1.0,1.0,100.0,0.0,0.0,,0.1,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,,0.0,1.0,0.0,2.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,1.0,100.0,12.0,0.0,4.0,0.0,10.0,,
Alex Marchal,2425,es ESP,,MF,,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Sola,2223,es ESP,Spain,DF,Right Winger,23,10,3,349.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,8.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,4.0,1.0,25.0,1.03,0.26,0.0,0.0,26.4,0.0,0.02,-0.1,-0.1,158.0,198.0,79.8,2779.0,704.0,60.0,68.0,88.2,78.0,91.0,85.7,15.0,28.0,53.6,0.1,-0.1,2.0,6.0,1.0,1.0,150.0,48.0,0.0,0.0,12.0,44.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,1.54,3.0,2.0,0.0,1.0,0.0,2.0,0.51,1.0,0.0,0.0,0.0,1.0,0.0,18.0,9.0,14.0,3.0,1.0,7.0,70.0,3.0,5.0,7.0,25.0,10.0,0.0,252.0,12.0,6.0,7.0,43.8,5.0,31.3,116.0,1.0,2.0,6.0,131.0,3000000.0,Real Sociedad
Alex Sola,2324,es ESP,,"DF,MF",,24,2,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,12.0,16.0,75.0,196.0,75.0,5.0,5.0,100.0,7.0,10.0,70.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,2.0,0.0,21.0,2.0,0.0,0.0,,0.0,,11.0,0.0,0.0,1.0,10.0,,
Alexander Isak,2223,se SWE,Sweden,FW,Centre-Forward,22,2,2,152.0,1.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,3.0,3.0,11.0,0.59,0.0,0.59,0.59,0.59,0.12,0.06,0.18,0.12,0.18,3.0,1.0,33.3,1.78,0.59,0.33,1.0,12.0,0.0,0.07,0.8,0.8,17.0,30.0,56.7,236.0,60.0,11.0,14.0,78.6,6.0,9.0,66.7,0.0,2.0,0.0,0.0,-0.1,2.0,0.0,1.0,0.0,25.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.18,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,2.0,0.0,46.0,3.0,11.0,2.0,40.0,3.0,60.0,29.0,2.0,3.0,2.0,33.0,70000000.0,Real Sociedad
