Player,Season,Nation,Nationality,Pos,Position,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def_Pen,Att_Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,MarketValueEuro,Current club
Aihen Muñoz,2223,ESP,Spain,DF,Left-Back,24,23,20,1756.0,19.5,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.9,1.1,37.0,57.0,87.0,0.0,0.05,0.05,0.0,0.05,0.01,0.05,0.06,0.01,0.06,6.0,2.0,33.3,0.31,0.1,0.0,0.0,24.8,0.0,0.03,-0.2,-0.2,781.0,1027.0,76.0,13080.0,5178.0,389.0,436.0,89.2,323.0,403.0,80.1,60.0,132.0,45.5,1.1,0.1,14.0,48.0,18.0,11.0,824.0,196.0,0.0,3.0,54.0,180.0,0.0,0.0,0.0,0.0,7.0,29.0,36.0,1.84,25.0,2.0,5.0,1.0,0.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,38.0,23.0,17.0,17.0,4.0,22.0,46.8,25.0,21.0,9.0,47.0,38.0,0.0,1226.0,39.0,9.0,19.0,47.5,18.0,45.0,624.0,2.0,25.0,18.0,704.0,6000000.0,Real Sociedad
Alex Sola,2223,ESP,Spain,DF,Right Winger,23,10,3,349.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,8.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,4.0,1.0,25.0,1.03,0.26,0.0,0.0,26.4,0.0,0.02,-0.1,-0.1,158.0,198.0,79.8,2779.0,704.0,60.0,68.0,88.2,78.0,91.0,85.7,15.0,28.0,53.6,0.1,-0.1,2.0,6.0,1.0,1.0,150.0,48.0,0.0,0.0,12.0,44.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,1.54,3.0,2.0,0.0,1.0,0.0,2.0,0.51,1.0,0.0,0.0,0.0,1.0,0.0,18.0,9.0,14.0,3.0,1.0,7.0,70.0,3.0,5.0,7.0,25.0,10.0,0.0,252.0,12.0,6.0,7.0,43.8,5.0,31.3,116.0,1.0,2.0,6.0,131.0,3000000.0,Real Sociedad
Alexander Isak,2223,SWE,Sweden,FW,Centre-Forward,22,2,2,152.0,1.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,3.0,3.0,11.0,0.59,0.0,0.59,0.59,0.59,0.12,0.06,0.18,0.12,0.18,3.0,1.0,33.3,1.78,0.59,0.33,1.0,12.0,0.0,0.07,0.8,0.8,17.0,30.0,56.7,236.0,60.0,11.0,14.0,78.6,6.0,9.0,66.7,0.0,2.0,0.0,0.0,-0.1,2.0,0.0,1.0,0.0,25.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.18,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,2.0,0.0,46.0,3.0,11.0,2.0,40.0,3.0,60.0,29.0,2.0,3.0,2.0,33.0,70000000.0,Real Sociedad
Alexander Sørloth,2223,NOR,Norway,FW,Centre-Forward,26,34,28,2386.0,26.5,12.0,3.0,15.0,12.0,0.0,0.0,4.0,0.0,12.7,12.7,4.2,16.9,41.0,20.0,132.0,0.45,0.11,0.57,0.45,0.57,0.48,0.16,0.64,0.48,0.64,63.0,27.0,42.9,2.38,1.02,0.19,0.44,11.3,0.0,0.2,-0.7,-0.7,329.0,481.0,68.4,4213.0,567.0,210.0,269.0,78.1,88.0,132.0,66.7,9.0,16.0,56.3,1.9,-1.2,31.0,11.0,10.0,2.0,449.0,29.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,3.0,18.0,58.0,2.19,41.0,0.0,8.0,2.0,1.0,5.0,0.19,4.0,0.0,1.0,0.0,0.0,0.0,18.0,9.0,3.0,6.0,9.0,7.0,50.0,7.0,14.0,2.0,20.0,26.0,1.0,807.0,29.0,107.0,29.0,38.7,42.0,56.0,458.0,19.0,84.0,61.0,591.0,12000000.0,Real Sociedad
Ander Barrenetxea,2223,ESP,Spain,"FW,DF",Left Winger,20,23,9,878.0,9.8,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,3.0,3.0,1.2,4.2,36.0,27.0,72.0,0.31,0.1,0.41,0.31,0.41,0.31,0.12,0.43,0.31,0.43,18.0,12.0,66.7,1.85,1.23,0.17,0.25,14.9,2.0,0.17,0.0,0.0,288.0,376.0,76.6,4302.0,1117.0,162.0,187.0,86.6,95.0,113.0,84.1,19.0,33.0,57.6,1.1,-0.2,9.0,14.0,9.0,1.0,343.0,32.0,1.0,1.0,13.0,25.0,2.0,0.0,0.0,0.0,1.0,19.0,28.0,2.87,22.0,0.0,2.0,2.0,0.0,2.0,0.21,1.0,0.0,1.0,0.0,0.0,0.0,21.0,15.0,15.0,6.0,0.0,12.0,42.9,16.0,14.0,5.0,26.0,7.0,0.0,544.0,14.0,41.0,34.0,54.0,25.0,39.7,328.0,17.0,36.0,18.0,348.0,6000000.0,Real Sociedad
Ander Guevara,2223,ESP,Spain,MF,Central Midfield,25,8,2,221.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.7,0.7,4.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.28,0.29,0.01,0.29,1.0,0.0,0.0,0.41,0.0,0.0,,23.7,0.0,0.03,0.0,0.0,161.0,179.0,89.9,2454.0,585.0,85.0,88.0,96.6,66.0,71.0,93.0,5.0,8.0,62.5,0.3,-0.7,4.0,23.0,1.0,0.0,178.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,2.85,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,2.0,1.0,1.0,25.0,3.0,5.0,2.0,7.0,3.0,0.0,200.0,2.0,0.0,3.0,75.0,1.0,25.0,122.0,0.0,1.0,1.0,147.0,2500000.0,Real Sociedad
Ander Martin,2223,ESP,Spain,"MF,FW",Right Winger,21,3,0,41.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.26,0.0,0.26,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,12.0,24.0,50.0,175.0,71.0,7.0,9.0,77.8,4.0,9.0,44.4,0.0,1.0,0.0,0.0,-0.1,2.0,2.0,0.0,0.0,22.0,2.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,8.57,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,25.0,3.0,0.0,0.0,2.0,1.0,0.0,29.0,2.0,0.0,1.0,100.0,0.0,0.0,10.0,0.0,0.0,0.0,14.0,400000.0,Real Sociedad
Andoni Gorosabel,2223,ESP,Spain,DF,Right-Back,25,27,19,1708.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,1.0,1.6,42.0,68.0,75.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.08,0.03,0.08,14.0,1.0,7.1,0.74,0.05,0.0,0.0,21.7,0.0,0.04,-0.6,-0.6,888.0,1049.0,84.7,13271.0,4844.0,512.0,561.0,91.3,297.0,344.0,86.3,50.0,83.0,60.2,1.7,-1.0,13.0,42.0,22.0,12.0,834.0,213.0,0.0,2.0,41.0,184.0,0.0,0.0,0.0,0.0,2.0,20.0,30.0,1.58,22.0,6.0,0.0,1.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,41.0,25.0,23.0,9.0,9.0,26.0,60.5,17.0,19.0,17.0,58.0,23.0,0.0,1205.0,35.0,17.0,9.0,47.4,6.0,31.6,599.0,1.0,14.0,8.0,705.0,9000000.0,Real Sociedad
Andoni Zubiaurre,2223,ESP,Spain,GK,Goalkeeper,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000.0,Real Sociedad
Aritz Elustondo,2223,ESP,Spain,DF,Centre-Back,28,25,16,1449.0,16.1,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.7,0.7,1.1,1.8,21.0,52.0,19.0,0.0,0.06,0.06,0.0,0.06,0.04,0.07,0.11,0.04,0.11,8.0,0.0,0.0,0.5,0.0,0.0,,21.5,0.0,0.09,-0.7,-0.7,653.0,809.0,80.7,10994.0,4008.0,302.0,337.0,89.6,296.0,359.0,82.5,42.0,81.0,51.9,0.4,-0.1,4.0,39.0,7.0,2.0,680.0,125.0,0.0,1.0,9.0,111.0,0.0,0.0,0.0,0.0,4.0,9.0,9.0,0.56,5.0,2.0,0.0,0.0,0.0,2.0,0.12,0.0,1.0,0.0,1.0,0.0,0.0,26.0,17.0,15.0,10.0,1.0,14.0,53.8,12.0,9.0,20.0,46.0,43.0,1.0,952.0,68.0,14.0,5.0,62.5,3.0,37.5,470.0,1.0,13.0,7.0,547.0,14000000.0,Real Sociedad
