Name,Position,Age,Nationality,Current club,Season,MarketValueEuro,PrimaryNationality
Álex Remiro,Goalkeeper,26,Spain,Real Sociedad,2020,20000000.0,Spain
Miguel Ángel Moyá,Goalkeeper,37,Spain,Real Sociedad,2020,800000.0,Spain
Andoni Zubiaurre,Goalkeeper,24,Spain,Real Sociedad,2020,300000.0,Spain
Gaizka Ayesa,Goalkeeper,20,Spain,Real Sociedad,2020,200000.0,Spain
Robin Le Normand,Centre-Back,24,Spain,Real Sociedad,2020,22000000.0,Spain
Diego Llorente,Centre-Back,27,Spain,Real Sociedad,2020,20000000.0,Spain
Igor Zubeldia,Centre-Back,24,Spain,Real Sociedad,2020,20000000.0,Spain
Aritz Elustondo,Centre-Back,27,Spain,Real Sociedad,2020,15000000.0,Spain
Modibo Sagnan,Centre-Back,22,Mali,Real Sociedad,2020,3000000.0,Mali
Jon Pacheco,Centre-Back,20,Spain,Real Sociedad,2020,200000.0,Spain
Jérémy Blasco,Centre-Back,22,France,Real Sociedad,2020,150000.0,France
Aritz Arambarri,Centre-Back,23,Spain,Real Sociedad,2020,150000.0,Spain
Aihen Muñoz,Left-Back,23,Spain,Real Sociedad,2020,6000000.0,Spain
Nacho Monreal,Left-Back,35,Spain,Real Sociedad,2020,1500000.0,Spain
Andoni Gorosabel,Right-Back,24,Spain,Real Sociedad,2020,10000000.0,Spain
Joseba Zaldua,Right-Back,29,Spain,Real Sociedad,2020,5000000.0,Spain
Martín Zubimendi,Defensive Midfield,22,Spain,Real Sociedad,2020,20000000.0,Spain
Asier Illarramendi,Defensive Midfield,31,Spain,Real Sociedad,2020,6000000.0,Spain
Urko González de Zárate,Defensive Midfield,20,Spain,Real Sociedad,2020,500000.0,Spain
Mikel Merino,Central Midfield,25,Spain,Real Sociedad,2020,40000000.0,Spain
Ander Guevara,Central Midfield,23,Spain,Real Sociedad,2020,7500000.0,Spain
Jon Guridi,Central Midfield,26,Spain,Real Sociedad,2020,1800000.0,Spain
Luca Sangalli,Central Midfield,26,Spain,Real Sociedad,2020,1500000.0,Spain
Beñat Turrientes,Central Midfield,19,Spain,Real Sociedad,2020,300000.0,Spain
Roberto López,Attacking Midfield,21,Spain,Real Sociedad,2020,8000000.0,Spain
