Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Dodi Lukebakio,be BEL,FW,26.0,34.4,780,1052,74.1,12204,2657,464,529,87.7,229,307,74.6,68,151,45.0,2,4.5,4.0,-2.5,54,50,24,6,93
Carmona,es ESP,DF,22.0,32.7,1448,1798,80.5,23524,8789,713,808,88.2,629,745,84.4,72,154,46.8,0,2.0,0.9,-2.0,19,99,14,6,109
Loïc Bade,fr FRA,DF,24.0,29.8,1562,1822,85.7,31207,11821,536,572,93.7,856,911,94.0,164,307,53.4,1,0.7,0.2,0.3,4,94,3,0,62
Ørjan Nyland,no NOR,GK,33.0,29.7,637,1007,63.3,17132,12890,154,155,99.4,294,304,96.7,188,541,34.8,0,0.3,0.1,-0.3,4,27,2,0,1
Nemanja Gudelj,rs SRB,"MF,DF",32.0,27.7,1192,1371,86.9,20321,6020,535,568,94.2,562,613,91.7,73,146,50.0,1,0.6,1.0,0.4,14,72,7,0,64
Adrià Pedrosa,es ESP,DF,26.0,25.5,886,1196,74.1,15011,5325,432,475,90.9,380,482,78.8,60,178,33.7,1,1.6,1.7,-0.6,20,66,22,10,79
Isaac Romero,es ESP,FW,24.0,24.0,310,441,70.3,4995,703,172,222,77.5,92,130,70.8,31,43,72.1,2,2.1,2.2,-0.1,20,20,11,4,29
Kike Salas,es ESP,DF,22.0,24.9,1109,1412,78.5,21141,7603,419,465,90.1,579,670,86.4,105,251,41.8,2,0.6,0.9,1.4,6,69,3,1,59
Lucien Agoume,fr FRA,MF,22.0,23.5,1007,1236,81.5,15958,5460,545,601,90.7,357,425,84.0,79,142,55.6,3,2.5,1.6,0.5,27,126,19,3,135
Djibril Sow,ch SUI,MF,27.0,22.9,883,994,88.8,14168,3459,441,482,91.5,366,397,92.2,54,71,76.1,1,1.6,1.0,-0.6,21,87,10,1,100
Juanlu Sánchez,es ESP,"MF,DF",20.0,19.1,568,697,81.5,8314,2421,333,371,89.8,221,258,85.7,9,27,33.3,4,2.8,1.7,1.2,24,51,14,5,68
Saúl Ñíguez,es ESP,MF,29.0,17.3,516,659,78.3,8573,2296,250,288,86.8,220,263,83.7,31,65,47.7,6,2.5,2.3,3.5,22,51,8,2,66
Albert Sambi Lokonga,be BEL,MF,24.0,16.3,799,894,89.4,13113,3894,414,440,94.1,313,342,91.5,57,85,67.1,2,1.0,0.9,1.0,19,81,8,0,93
Peque,es ESP,"MF,FW",21.0,12.6,279,349,79.9,4138,852,165,192,85.9,86,105,81.9,17,26,65.4,1,1.2,0.9,-0.2,12,25,6,1,35
Chidera Ejuke,ng NGA,FW,26.0,10.7,363,445,81.6,5949,1122,199,220,90.5,117,140,83.6,37,53,69.8,1,1.9,1.2,-0.9,21,18,20,5,38
Ruben Vargas,ch SUI,"FW,MF",25.0,7.5,166,247,67.2,2714,696,94,113,83.2,51,74,68.9,16,39,41.0,1,0.8,0.9,0.2,13,11,9,5,14
Álvaro Fernández,es ESP,GK,26.0,8.3,212,324,65.4,5528,3865,50,50,100.0,107,108,99.1,55,165,33.3,0,0.1,0.0,-0.1,1,6,0,0,0
Marcão,br BRA,DF,28.0,6.1,284,315,90.2,5073,2049,122,125,97.6,136,146,93.2,25,37,67.6,0,0.0,0.1,0.0,0,14,0,0,19
Tanguy Nianzou,fr FRA,DF,22.0,5.8,285,314,90.8,4654,1465,131,139,94.2,143,155,92.3,7,15,46.7,0,0.0,0.0,0.0,0,6,0,0,10
Kelechi Iheanacho,ng NGA,FW,27.0,4.4,60,80,75.0,831,125,36,44,81.8,15,25,60.0,4,5,80.0,0,0.3,0.2,-0.3,5,1,1,0,5
Suso,es ESP,"FW,MF",30.0,6.7,285,385,74.0,4789,1573,146,160,91.3,94,123,76.4,33,72,45.8,2,1.6,1.3,0.4,22,31,13,4,43
Álvaro Pascual,es ESP,FW,22.0,4.5,48,74,64.9,770,93,26,36,72.2,15,21,71.4,5,6,83.3,0,0.0,0.1,0.0,2,4,1,0,3
Jesús Navas,es ESP,"FW,MF",38.0,4.7,203,262,77.5,3443,816,105,117,89.7,71,88,80.7,22,38,57.9,0,0.5,0.6,-0.5,10,16,6,5,23
Valentín Barco,ar ARG,"DF,FW",20.0,3.2,139,191,72.8,2139,895,77,88,87.5,38,53,71.7,13,30,43.3,0,0.6,0.3,-0.6,6,12,3,0,13
Stanis Idumbo,be BEL,"FW,MF",19.0,3.2,63,76,82.9,1003,217,34,39,87.2,24,26,92.3,5,8,62.5,1,0.7,0.1,0.3,6,2,1,0,8
