Player,Nation,Pos,Age,90s,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Dodi Lukebakio,be BEL,FW,26.0,34.4,1494,11,147,552,818,145,1493,167,84,50.3,75,44.9,889,6488,3565,131,83,65,117,57,1110,247
Carmona,es ESP,DF,22.0,32.7,2192,111,726,1149,346,20,2192,50,19,38.0,25,50.0,894,4958,2754,45,25,8,37,18,1138,57
Loïc Bade,fr FRA,DF,24.0,29.8,2135,284,1298,799,54,20,2135,22,17,77.3,2,9.1,1173,5710,2853,11,10,1,17,8,1463,6
Ørjan Nyland,no NOR,GK,33.0,29.7,1068,904,1057,11,0,0,1068,0,0,,0,,591,2868,1535,0,0,0,0,0,566,0
Nemanja Gudelj,rs SRB,"MF,DF",32.0,27.7,1635,143,703,789,150,5,1634,9,6,66.7,2,22.2,736,3114,1401,14,8,0,19,3,1007,5
Adrià Pedrosa,es ESP,DF,26.0,25.5,1526,90,533,634,373,21,1526,37,17,45.9,18,48.6,617,3350,1832,41,49,6,37,15,826,96
Isaac Romero,es ESP,FW,24.0,24.0,751,21,69,340,349,89,750,65,21,32.3,36,55.4,382,1633,576,21,10,14,79,61,520,95
Kike Salas,es ESP,DF,22.0,24.9,1710,177,883,707,129,27,1710,5,3,60.0,2,40.0,717,2745,1430,7,3,0,11,2,1022,18
Lucien Agoume,fr FRA,MF,22.0,23.5,1481,65,386,867,248,19,1481,30,22,73.3,7,23.3,689,3227,1597,29,23,2,26,13,928,23
Djibril Sow,ch SUI,MF,27.0,22.9,1197,35,277,709,219,32,1197,25,10,40.0,11,44.0,604,3061,1370,23,16,3,36,9,827,50
Juanlu Sánchez,es ESP,"MF,DF",20.0,19.1,884,22,204,413,279,31,884,28,11,39.3,16,57.1,427,2330,1394,44,23,8,24,12,558,83
Saúl Ñíguez,es ESP,MF,29.0,17.3,904,35,206,482,226,49,904,28,12,42.9,13,46.4,386,1971,829,13,15,3,26,13,536,39
Albert Sambi Lokonga,be BEL,MF,24.0,16.3,1018,42,262,596,162,17,1018,10,4,40.0,4,40.0,533,2948,1640,24,14,1,19,13,746,20
Peque,es ESP,"MF,FW",21.0,12.6,485,3,51,253,186,35,485,26,11,42.3,12,46.2,266,1161,556,14,12,1,23,26,346,44
Chidera Ejuke,ng NGA,FW,26.0,10.7,612,6,66,272,292,43,612,85,47,55.3,33,38.8,416,3355,1898,75,35,26,35,22,443,101
Ruben Vargas,ch SUI,"FW,MF",25.0,7.5,362,8,50,144,173,30,362,33,12,36.4,16,48.5,186,1260,676,29,15,11,31,6,231,63
Álvaro Fernández,es ESP,GK,26.0,8.3,349,272,347,2,0,0,349,0,0,,0,,187,856,400,0,0,0,0,0,196,0
Marcão,br BRA,DF,28.0,6.1,382,58,234,143,6,3,382,5,2,40.0,1,20.0,216,987,415,0,0,0,4,3,247,1
Tanguy Nianzou,fr FRA,DF,22.0,5.8,376,49,205,162,11,6,376,3,3,100.0,0,0.0,207,924,408,4,3,0,3,0,263,0
Kelechi Iheanacho,ng NGA,FW,27.0,4.4,108,2,9,50,49,14,108,4,2,50.0,2,50.0,60,236,126,6,3,2,10,4,81,17
Suso,es ESP,"FW,MF",30.0,6.7,463,1,53,159,257,15,463,32,14,43.8,16,50.0,280,1526,769,20,22,2,9,15,334,74
Álvaro Pascual,es ESP,FW,22.0,4.5,132,9,18,47,70,20,132,2,1,50.0,1,50.0,67,282,79,4,3,3,22,5,84,27
Jesús Navas,es ESP,"FW,MF",38.0,4.7,295,6,40,124,131,5,295,6,4,66.7,2,33.3,150,837,453,13,7,1,5,4,219,48
Valentín Barco,ar ARG,"DF,FW",20.0,3.2,236,4,45,92,100,3,236,13,3,23.1,9,69.2,124,546,254,4,4,0,6,4,142,13
Stanis Idumbo,be BEL,"FW,MF",19.0,3.2,130,6,26,54,55,6,130,19,9,47.4,9,47.4,88,704,332,10,5,4,12,11,91,20
Ramón Martínez,es ESP,DF,21.0,2.9,167,26,83,75,9,3,167,1,1,100.0,0,0.0,85,384,204,1,1,0,1,1,108,2
Lucas Ocampos,ar ARG,FW,30.0,1.9,115,1,11,60,45,5,115,8,2,25.0,5,62.5,63,377,183,5,4,0,5,3,84,20
Manu Bueno,es ESP,"MF,FW",20.0,1.6,91,2,15,43,33,2,91,2,1,50.0,1,50.0,56,277,121,2,3,0,2,2,74,5
