Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
Lucas Ocampos,ar ARG,"FW,MF",29.0,35,34,2871.0,31.9,4.0,3.0,7.0,3.0,1.0,1.0,8.0,0.0,5.4,4.6,4.5,9.1,117.0,124.0,265.0,0.13,0.09,0.22,0.09,0.19,0.17,0.14,0.31,0.14,0.29
Youssef En-Nesyri,ma MAR,FW,26.0,33,28,2570.0,28.6,16.0,2.0,18.0,15.0,1.0,1.0,4.0,0.0,10.8,10.0,1.3,11.3,17.0,17.0,81.0,0.56,0.07,0.63,0.53,0.6,0.38,0.04,0.42,0.35,0.4
Sergio Ramos,es ESP,DF,37.0,28,28,2517.0,28.0,3.0,0.0,3.0,3.0,0.0,0.0,7.0,1.0,1.9,1.9,0.1,2.0,11.0,81.0,5.0,0.11,0.0,0.11,0.11,0.11,0.07,0.0,0.07,0.07,0.07
Loïc Bade,fr FRA,DF,23.0,28,27,2277.0,25.3,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.9,0.9,0.5,1.3,15.0,76.0,3.0,0.0,0.04,0.04,0.0,0.04,0.04,0.02,0.05,0.04,0.05
Boubakary Soumaré,fr FRA,MF,24.0,28,26,2286.0,25.4,0.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.9,1.0,29.0,102.0,22.0,0.0,0.04,0.04,0.0,0.04,0.0,0.04,0.04,0.0,0.04
Jesús Navas,es ESP,DF,37.0,29,25,2003.0,22.3,0.0,2.0,2.0,0.0,0.0,0.0,6.0,1.0,0.1,0.1,1.9,2.1,54.0,103.0,141.0,0.0,0.09,0.09,0.0,0.09,0.01,0.09,0.09,0.01,0.09
Ørjan Nyland,no NOR,GK,32.0,24,24,2160.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
Nemanja Gudelj,rs SRB,"DF,MF",31.0,22,20,1742.0,19.4,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.8,0.8,0.4,1.2,23.0,73.0,5.0,0.05,0.05,0.1,0.05,0.1,0.04,0.02,0.06,0.04,0.06
Kike Salas,es ESP,DF,21.0,23,19,1605.0,17.8,3.0,0.0,3.0,3.0,0.0,0.0,10.0,0.0,0.8,0.8,0.5,1.4,11.0,61.0,16.0,0.17,0.0,0.17,0.17,0.17,0.05,0.03,0.08,0.05,0.08
Óliver Torres,es ESP,MF,28.0,27,18,1616.0,18.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,2.2,2.7,40.0,96.0,110.0,0.0,0.06,0.06,0.0,0.06,0.03,0.12,0.15,0.03,0.15
