Player,Season,Nation,Nationality,Pos,Position,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def_Pen,Att_Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,MarketValueEuro,Current club
Adnan Januzaj,2223,be BEL,Belgium,FW,Right Winger,27,2,1,47.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,15.0,24.0,62.5,229.0,35.0,10.0,12.0,83.3,4.0,5.0,80.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,30.0,0.0,1.0,4.0,50.0,3.0,37.5,19.0,0.0,1.0,1.0,22.0,6000000.0,Sevilla FC
Adnan Januzaj,2324,be BEL,Belgium,"FW,MF",Right Winger,28,8,0,193.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,1.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.28,0.02,0.3,0.28,0.3,6.0,1.0,16.7,2.8,0.47,0.0,0.0,16.8,0.0,0.1,-0.6,-0.6,70.0,88.0,79.5,1250.0,244.0,35.0,38.0,92.1,23.0,28.0,82.1,10.0,18.0,55.6,0.2,0.0,2.0,6.0,1.0,1.0,80.0,8.0,0.0,3.0,8.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,6.0,2.8,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,119.0,1.0,5.0,5.0,45.5,4.0,36.4,79.0,0.0,10.0,1.0,92.0,2000000.0,Sevilla FC
Adrià Pedrosa,2324,es ESP,Spain,DF,Left-Back,25,31,15,1753.0,19.5,1.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,3.2,3.9,46.0,61.0,109.0,0.05,0.21,0.26,0.05,0.26,0.04,0.16,0.2,0.04,0.2,16.0,4.0,25.0,0.82,0.21,0.06,0.25,22.0,0.0,0.04,0.3,0.3,681.0,931.0,73.1,10819.0,3651.0,385.0,442.0,87.1,240.0,315.0,76.2,47.0,122.0,38.5,2.0,0.8,27.0,42.0,18.0,13.0,747.0,179.0,2.0,3.0,111.0,151.0,10.0,6.0,1.0,0.0,5.0,28.0,52.0,2.67,38.0,6.0,1.0,4.0,1.0,4.0,0.21,4.0,0.0,0.0,0.0,0.0,0.0,46.0,26.0,28.0,14.0,4.0,23.0,67.6,11.0,20.0,15.0,61.0,54.0,0.0,1178.0,57.0,22.0,12.0,31.6,18.0,47.4,575.0,9.0,35.0,23.0,667.0,6000000.0,Sevilla FC
Adrià Pedrosa,2425,es ESP,Spain,DF,Left-Back,26,31,27,2298.0,25.5,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.9,0.9,1.6,2.5,41.0,79.0,96.0,0.04,0.04,0.08,0.04,0.08,0.04,0.06,0.1,0.04,0.1,24.0,7.0,29.2,0.94,0.27,0.04,0.14,24.5,0.0,0.04,0.1,0.1,886.0,1196.0,74.1,15011.0,5325.0,432.0,475.0,90.9,380.0,482.0,78.8,60.0,178.0,33.7,1.7,-0.6,20.0,66.0,22.0,10.0,940.0,250.0,1.0,9.0,97.0,203.0,10.0,6.0,3.0,0.0,6.0,34.0,47.0,1.84,31.0,8.0,4.0,1.0,0.0,4.0,0.16,4.0,0.0,0.0,0.0,0.0,0.0,56.0,32.0,34.0,16.0,6.0,31.0,57.4,23.0,32.0,24.0,80.0,85.0,0.0,1526.0,90.0,21.0,17.0,45.9,18.0,48.6,617.0,6.0,37.0,15.0,826.0,7000000.0,Sevilla FC
Akor Adams,2425,ng NGA,Nigeria,FW,Centre-Forward,24,4,1,134.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.29,0.29,0.29,2.0,1.0,50.0,1.34,0.67,0.0,0.0,22.2,0.0,0.22,-0.4,-0.4,20.0,27.0,74.1,334.0,48.0,9.0,12.0,75.0,7.0,9.0,77.8,3.0,5.0,60.0,0.0,0.0,0.0,3.0,1.0,0.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,34.0,1.0,1.0,1.0,100.0,0.0,0.0,5.0,0.0,2.0,0.0,20.0,5000000.0,Sevilla FC
Albert Sambi Lokonga,2425,be BEL,,MF,,24,22,16,1471.0,16.3,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.9,0.9,1.0,1.9,24.0,93.0,20.0,0.0,0.12,0.12,0.0,0.12,0.06,0.06,0.12,0.06,0.12,13.0,5.0,38.5,0.8,0.31,0.0,0.0,19.8,0.0,0.07,-0.9,-0.9,799.0,894.0,89.4,13113.0,3894.0,414.0,440.0,94.1,313.0,342.0,91.5,57.0,85.0,67.1,0.9,1.0,19.0,81.0,8.0,0.0,867.0,26.0,5.0,10.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,5.0,35.0,2.14,32.0,0.0,0.0,0.0,1.0,3.0,0.18,3.0,0.0,0.0,0.0,0.0,0.0,22.0,15.0,10.0,9.0,3.0,10.0,71.4,4.0,12.0,9.0,31.0,24.0,3.0,1018.0,42.0,17.0,4.0,40.0,4.0,40.0,533.0,1.0,19.0,13.0,746.0,,
Alberto López,2223,es ESP,,GK,,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberto López,2324,es ESP,,GK,,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberto López,2425,es ESP,,GK,,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberto López,2425,es ESP,,MF,,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
