Name,Position,Age,Nationality,Current club,Season,MarketValueEuro,PrimaryNationality
Bono,Goalkeeper,30,Morocco,Sevilla FC,2020,18000000.0,Morocco
Tomáš Vaclík,Goalkeeper,32,Czech Republic,Sevilla FC,2020,4000000.0,Czech Republic
Javi Díaz,Goalkeeper,24,Spain,Sevilla FC,2020,400000.0,Spain
Alfonso Pastor,Goalkeeper,20,Spain,Sevilla FC,2020,250000.0,Spain
Adrián González,Goalkeeper,21,Spain,Sevilla FC,2020,50000.0,Spain
Diego Carlos,Centre-Back,28,Brazil,Sevilla FC,2020,45000000.0,Brazil
Sergi Gómez,Centre-Back,29,Spain,Sevilla FC,2020,3000000.0,Spain
Karim Rekik,Centre-Back,26,Netherlands,Sevilla FC,2020,3000000.0,Netherlands
Joris Gnagnon,Centre-Back,24,France,Sevilla FC,2020,1500000.0,France
Kike Ríos,Centre-Back,21,Spain,Sevilla FC,2020,50000.0,Spain
Marcos Acuña,Left-Back,29,Argentina,Sevilla FC,2020,15000000.0,Argentina
Sergio Escudero,Left-Back,31,Spain,Sevilla FC,2020,2500000.0,Spain
Javi Vázquez,Left-Back,20,Spain,Sevilla FC,2020,150000.0,Spain
Pablo Pérez,Left-Back,19,Spain,Sevilla FC,2020,100000.0,Spain
Jules Koundé,Right-Back,22,France,Sevilla FC,2020,60000000.0,France
Álex Pozo,Right-Back,22,Spain,Sevilla FC,2020,4000000.0,Spain
Jesús Navas,Right-Back,35,Spain,Sevilla FC,2020,3000000.0,Spain
Juanlu Sánchez,Right-Back,17,Spain,Sevilla FC,2020,400000.0,Spain
Nemanja Gudelj,Defensive Midfield,29,Serbia,Sevilla FC,2020,6000000.0,Serbia
Fernando,Defensive Midfield,33,Brazil,Sevilla FC,2020,4000000.0,Brazil
Joan Jordán,Central Midfield,26,Spain,Sevilla FC,2020,30000000.0,Spain
Óliver Torres,Central Midfield,26,Spain,Sevilla FC,2020,13000000.0,Spain
Ivan Rakitic,Central Midfield,33,Croatia,Sevilla FC,2020,10000000.0,Croatia
Óscar Rodríguez,Attacking Midfield,23,Spain,Sevilla FC,2020,12000000.0,Spain
Franco Vázquez,Attacking Midfield,32,Argentina,Sevilla FC,2020,4000000.0,Argentina
Lucas Ocampos,Left Winger,26,Argentina,Sevilla FC,2020,40000000.0,Argentina
Bryan Gil,Left Winger,20,Spain,Sevilla FC,2020,30000000.0,Spain
Papu Gómez,Left Winger,33,Argentina,Sevilla FC,2020,9000000.0,Argentina
Oussama Idrissi,Left Winger,25,Morocco,Sevilla FC,2020,8000000.0,Morocco
Suso,Right Winger,27,Spain,Sevilla FC,2020,20000000.0,Spain
Munir El Haddadi,Right Winger,25,Morocco,Sevilla FC,2020,10000000.0,Morocco
Aleix Vidal,Right Winger,31,Spain,Sevilla FC,2020,2000000.0,Spain
Carlos Álvarez,Right Winger,17,Spain,Sevilla FC,2020,300000.0,Spain
Antonio Zarzana,Right Winger,19,Spain,Sevilla FC,2020,50000.0,Spain
Youssef En-Nesyri,Centre-Forward,24,Morocco,Sevilla FC,2020,40000000.0,Morocco
Luuk de Jong,Centre-Forward,30,Netherlands,Sevilla FC,2020,10000000.0,Netherlands
Carlos Fernández,Centre-Forward,25,Spain,Sevilla FC,2020,9000000.0,Spain
Iván Romero,Centre-Forward,20,Spain,Sevilla FC,2020,500000.0,Spain
Bono,Goalkeeper,31,Morocco,Sevilla FC,2021,18000000.0,Morocco
Marko Dmitrovic,Goalkeeper,30,Serbia,Sevilla FC,2021,5000000.0,Serbia
Javi Díaz,Goalkeeper,25,Spain,Sevilla FC,2021,500000.0,Spain
Alfonso Pastor,Goalkeeper,21,Spain,Sevilla FC,2021,250000.0,Spain
Adrián González,Goalkeeper,22,Spain,Sevilla FC,2021,50000.0,Spain
Diego Carlos,Centre-Back,29,Brazil,Sevilla FC,2021,40000000.0,Brazil
