Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
Giorgi Mamardashvili,ge GEO,GK,21.0,38.0,4,0.11,1,3,0,0,0,0,1,0.03,0,1,0,0,0,0
Samuel Lino,br BRA,"FW,MF",22.0,32.1,99,3.09,63,1,16,7,11,1,14,0.44,8,0,1,3,2,0
José Luis Gayà,es ESP,DF,27.0,30.1,94,3.12,70,13,4,3,4,0,7,0.23,4,1,0,1,1,0
Domingos André Ribeiro Almeida,pt POR,MF,22.0,28.2,91,3.22,67,17,1,1,2,3,5,0.18,3,2,0,0,0,0
Mouctar Diakhaby,gn GUI,DF,25.0,27.2,15,0.55,13,0,0,2,0,0,1,0.04,1,0,0,0,0,0
Yunus Musah,us USA,MF,19.0,23.4,47,2.01,30,2,6,2,6,1,3,0.13,3,0,0,0,0,0
Thierry Correia,pt POR,DF,23.0,22.3,43,1.93,29,2,1,0,10,1,2,0.09,2,0,0,0,0,0
Edinson Cavani,uy URU,FW,35.0,16.1,24,1.49,19,1,0,4,0,0,4,0.25,4,0,0,0,0,0
Eray Cömert,ch SUI,DF,24.0,18.6,12,0.65,8,0,1,1,2,0,0,0.0,0,0,0,0,0,0
Hugo Guillamón,es ESP,MF,22.0,18.1,61,3.36,42,13,0,0,5,1,6,0.33,4,2,0,0,0,0
Gabriel Paulista,br BRA,DF,31.0,16.7,8,0.48,7,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Nicolás González,es ESP,MF,20.0,15.6,33,2.12,25,1,3,2,2,0,2,0.13,2,0,0,0,0,0
Dimitri Foulquier,fr FRA,DF,29.0,19.3,29,1.5,25,1,0,2,0,1,2,0.1,2,0,0,0,0,0
Samu Castillejo,es ESP,"FW,MF",27.0,15.1,63,4.16,38,11,8,4,0,2,1,0.07,0,0,0,1,0,0
Justin Kluivert,nl NED,"FW,MF",23.0,16.1,61,3.79,39,8,5,5,2,2,4,0.25,1,0,0,2,1,0
Cenk Özkacar,tr TUR,DF,21.0,15.2,18,1.19,15,0,0,3,0,0,0,0.0,0,0,0,0,0,0
Hugo Duro,es ESP,FW,22.0,15.4,22,1.43,17,0,2,0,3,0,2,0.13,1,0,0,0,1,0
Ilaix Moriba,gn GUI,MF,19.0,11.2,35,3.11,28,1,2,1,2,1,3,0.27,2,0,0,0,0,1
Toni Lato,es ESP,"DF,MF",24.0,10.2,28,2.76,20,5,1,0,1,1,3,0.3,1,0,1,0,1,0
Javier Guerra,es ESP,MF,19.0,6.7,18,2.68,12,0,4,1,0,1,0,0.0,0,0,0,0,0,0
Diego López,es ESP,"FW,MF",20.0,5.0,21,4.23,16,0,0,4,1,0,2,0.4,2,0,0,0,0,0
Marcos André,br BRA,"FW,MF",25.0,5.0,12,2.42,8,0,3,1,0,0,0,0.0,0,0,0,0,0,0
Jesus Vazquez,es ESP,"DF,MF",19.0,3.4,11,3.18,6,0,2,2,0,1,0,0.0,0,0,0,0,0,0
Carlos Soler,es ESP,MF,25.0,2.7,6,2.23,5,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Cristhian Mosquera,es ESP,DF,18.0,1.6,1,0.62,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Francisco Perez,es ESP,"FW,MF",19.0,1.6,1,0.64,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Maxi Gómez,uy URU,FW,25.0,1.2,2,1.65,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Alberto Marí,es ESP,"FW,MF",21.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,24.2,38.0,859,22.61,607,80,59,46,51,16,62,1.63,40,6,2,7,6,1
Opponent Total,,,27.5,38.0,683,17.97,458,88,45,43,41,8,78,2.05,53,8,6,5,4,2
