Name,Position,Age,Nationality,Current club,Season,MarketValueEuro,PrimaryNationality
Jasper Cillessen,Goalkeeper,32,Netherlands,Valencia CF,2020,5000000.0,Netherlands
Jaume Doménech,Goalkeeper,30,Spain,Valencia CF,2020,4000000.0,Spain
Cristian Rivero,Goalkeeper,23,Spain,Valencia CF,2020,300000.0,Spain
Unai Etxebarria,Goalkeeper,24,Spain,Valencia CF,2020,150000.0,Spain
Gabriel Paulista,Centre-Back,30,Brazil,Valencia CF,2020,15000000.0,Brazil
Mouctar Diakhaby,Centre-Back,24,Guinea,Valencia CF,2020,10000000.0,Guinea
Ferro,Centre-Back,24,Portugal,Valencia CF,2020,5000000.0,Portugal
Eliaquim Mangala,Centre-Back,30,France,Valencia CF,2020,2500000.0,France
Cristiano Piccini,Centre-Back,28,Italy,Valencia CF,2020,2200000.0,Italy
Guillem Molina,Centre-Back,21,Spain,Valencia CF,2020,600000.0,Spain
Kevin Sibille,Centre-Back,22,Argentina,Valencia CF,2020,250000.0,Argentina
José Gayà,Left-Back,26,Spain,Valencia CF,2020,35000000.0,Spain
Toni Lato,Left-Back,23,Spain,Valencia CF,2020,2500000.0,Spain
Álex Centelles,Left-Back,21,Spain,Valencia CF,2020,2000000.0,Spain
Jesús Vázquez,Left-Back,18,Spain,Valencia CF,2020,250000.0,Spain
Thierry Correia,Right-Back,22,Portugal,Valencia CF,2020,6000000.0,Portugal
Geoffrey Kondogbia,Defensive Midfield,28,Central African Republic,Valencia CF,2020,15000000.0,Central African Republic
Uroš Račić,Defensive Midfield,23,Serbia,Valencia CF,2020,10000000.0,Serbia
Hugo Guillamón,Defensive Midfield,21,Spain,Valencia CF,2020,7500000.0,Spain
Christian Oliva,Defensive Midfield,25,Uruguay,Valencia CF,2020,4000000.0,Uruguay
Carlos Soler,Central Midfield,24,Spain,Valencia CF,2020,40000000.0,Spain
Yunus Musah,Central Midfield,18,United States,Valencia CF,2020,15000000.0,United States
Daniel Wass,Central Midfield,32,Denmark,Valencia CF,2020,7000000.0,Denmark
Koba Koindredi,Central Midfield,19,France,Valencia CF,2020,600000.0,France
Vicente Esquerdo,Attacking Midfield,22,Spain,Valencia CF,2020,1000000.0,Spain
Gonçalo Guedes,Left Winger,24,Portugal,Valencia CF,2020,25000000.0,Portugal
Denis Cheryshev,Left Winger,30,Russia,Valencia CF,2020,3500000.0,Russia
Álex Blanco,Left Winger,22,Spain,Valencia CF,2020,1500000.0,Spain
Kang-in Lee,Right Winger,20,"Korea, South",Valencia CF,2020,10000000.0,"Korea, South"
Jason,Right Winger,26,Spain,Valencia CF,2020,2500000.0,Spain
Manu Vallejo,Second Striker,24,Spain,Valencia CF,2020,7000000.0,Spain
Maxi Gómez,Centre-Forward,24,Uruguay,Valencia CF,2020,25000000.0,Uruguay
Patrick Cutrone,Centre-Forward,23,Italy,Valencia CF,2020,9000000.0,Italy
Kévin Gameiro,Centre-Forward,34,France,Valencia CF,2020,3000000.0,France
Rubén Sobrino,Centre-Forward,29,Spain,Valencia CF,2020,1500000.0,Spain
Giorgi Mamardashvili,Goalkeeper,21,Georgia,Valencia CF,2021,10000000.0,Georgia
Jasper Cillessen,Goalkeeper,33,Netherlands,Valencia CF,2021,3000000.0,Netherlands
Jaume Doménech,Goalkeeper,31,Spain,Valencia CF,2021,2000000.0,Spain
Cristian Rivero,Goalkeeper,24,Spain,Valencia CF,2021,200000.0,Spain
Omar Alderete,Centre-Back,25,Paraguay,Valencia CF,2021,10000000.0,Paraguay
Gabriel Paulista,Centre-Back,31,Brazil,Valencia CF,2021,7000000.0,Brazil
Mouctar Diakhaby,Centre-Back,25,Guinea,Valencia CF,2021,7000000.0,Guinea
Eray Cömert,Centre-Back,24,Switzerland,Valencia CF,2021,1500000.0,Switzerland
Cristiano Piccini,Centre-Back,29,Italy,Valencia CF,2021,1200000.0,Italy
Cristhian Mosquera,Centre-Back,18,Spain,Valencia CF,2021,1000000.0,Spain
José Gayà,Left-Back,27,Spain,Valencia CF,2021,40000000.0,Spain
Jesús Vázquez,Left-Back,19,Spain,Valencia CF,2021,5000000.0,Spain
Toni Lato,Left-Back,24,Spain,Valencia CF,2021,1500000.0,Spain
Thierry Correia,Right-Back,23,Portugal,Valencia CF,2021,8000000.0,Portugal
Dimitri Foulquier,Right-Back,29,Guadeloupe,Valencia CF,2021,4000000.0,Guadeloupe
Joseda Menargues,Right-Back,20,Spain,Valencia CF,2021,200000.0,Spain
Hugo Guillamón,Defensive Midfield,22,Spain,Valencia CF,2021,20000000.0,Spain
