Player,Nation,Pos,Age,90s,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Daniel Parejo,es ESP,MF,33.0,36.5,71,40,32,23,16,30,75,40.0,45,40,12,28,29,100,31,2
Pau Torres,es ESP,DF,25.0,33.9,43,25,25,13,5,23,36,63.9,13,36,27,9,13,56,146,3
Yeremi Pino,es ESP,"FW,MF",19.0,27.2,62,38,25,20,17,21,56,37.5,35,41,4,37,15,77,36,0
Samuel Chukwueze,ng NGA,"FW,MF",23.0,26.0,14,7,7,2,5,7,23,30.4,16,13,0,13,12,26,16,0
Raúl Albiol,es ESP,DF,36.0,23.5,25,17,17,6,2,14,18,77.8,4,17,13,4,14,39,111,0
Pepe Reina,es ESP,GK,39.0,22.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,4,4
Juan Foyth,ar ARG,DF,24.0,21.8,73,48,49,22,2,41,57,71.9,16,32,11,21,20,93,68,0
Étienne Capoue,fr FRA,MF,34.0,21.7,21,12,6,13,2,10,18,55.6,8,12,5,7,19,40,20,1
Alfonso Pedraza,es ESP,DF,26.0,18.1,35,26,20,10,5,19,29,65.5,10,19,1,18,18,53,31,0
Alex Baena,es ESP,"MF,FW",21.0,21.6,30,17,9,15,6,15,45,33.3,30,15,3,12,7,37,16,0
Nicolas Jackson,sn SEN,FW,21.0,17.8,14,11,2,10,2,2,8,25.0,6,18,2,16,2,16,4,0
Aïssa Mandi,dz ALG,DF,30.0,16.2,18,10,14,3,1,6,12,50.0,6,19,14,5,21,39,58,0
Alberto Moreno,es ESP,DF,30.0,14.4,23,12,10,10,3,11,24,45.8,13,12,1,11,23,46,26,0
Gerónimo Rulli,ar ARG,GK,30.0,14.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,6,2
Gerard Moreno,es ESP,FW,30.0,13.7,11,6,0,6,5,3,6,50.0,3,6,2,4,5,16,10,0
Giovani Lo Celso,ar ARG,"MF,FW",26.0,12.5,32,28,7,15,10,12,21,57.1,9,14,2,12,6,38,5,0
Kiko Femenía,es ESP,DF,31.0,12.6,18,9,14,3,1,13,18,72.2,5,15,6,9,20,38,22,0
José Luis Morales,es ESP,"FW,MF",35.0,13.5,7,6,1,2,4,5,17,29.4,12,12,1,11,2,9,2,0
Ramón Terrats,es ESP,MF,21.0,9.1,15,10,3,8,4,9,17,52.9,8,11,4,7,8,23,6,2
Francis Coquelin,fr FRA,MF,31.0,8.3,18,13,7,9,2,7,7,100.0,0,8,2,6,9,27,7,0
Manu Trigueros,es ESP,MF,30.0,9.2,20,14,9,5,6,9,22,40.9,13,9,2,7,5,25,4,0
Arnaut Danjuma,nl NED,FW,25.0,5.3,3,3,1,0,2,1,2,50.0,1,0,0,0,0,3,1,1
Johan Mojica,co COL,DF,29.0,7.1,13,9,9,3,1,5,9,55.6,4,8,3,5,4,17,14,1
Jorge Cuenca,es ESP,DF,22.0,5.6,9,7,7,2,0,4,7,57.1,3,10,8,2,6,15,44,0
Filip Jørgensen,dk DEN,GK,20.0,2.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Manu Morlanes,es ESP,MF,23.0,1.8,3,2,2,1,0,3,3,100.0,0,3,2,1,1,4,2,0
Haissem Hassan,fr FRA,"FW,MF",20.0,0.6,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,0,0
Mamadou Fall,sn SEN,DF,19.0,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
Fernando Niño,es ESP,"MF,FW",21.0,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Pascu,es ESP,"DF,FW",19.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Diego Collado,es ESP,FW,21.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Alberto Del Moral,es ESP,MF,22.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Squad Total,,,28.4,38.0,578,370,276,201,101,270,534,50.6,264,372,125,247,262,840,691,16
Opponent Total,,,27.2,38.0,688,423,349,240,99,345,780,44.2,435,426,114,312,349,1037,618,16
