Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Sergi Cardona,es ESP,DF,25.0,32.7,1126,1457,77.3,18658,6599,549,632,86.9,486,593,82.0,74,159,46.5,7,5.8,4.6,1.2,45,62,46,26,77
Alex Baena,es ESP,"MF,FW",23.0,28.8,857,1287,66.6,17433,6579,314,394,79.7,393,535,73.5,138,278,49.6,9,11.7,12.6,-2.7,95,95,72,19,189
Santi Comesaña,es ESP,MF,27.0,28.4,1163,1374,84.6,19630,6350,541,605,89.4,505,562,89.9,89,137,65.0,2,2.0,2.6,0.0,27,143,30,3,154
Logan Costa,cv CPV,DF,23.0,28.7,1354,1544,87.7,26242,9795,501,529,94.7,673,721,93.3,164,268,61.2,1,0.6,0.5,0.4,4,107,6,0,116
Kiko Femenía,es ESP,DF,33.0,24.7,1339,1506,88.9,22076,7230,679,717,94.7,562,624,90.1,82,126,65.1,1,1.3,2.1,-0.3,16,108,24,14,112
Daniel Parejo,es ESP,MF,35.0,25.3,1354,1548,87.5,25577,7819,536,581,92.3,634,690,91.9,168,235,71.5,3,1.8,1.9,1.2,23,176,17,3,176
Pape Gueye,sn SEN,MF,25.0,24.7,911,1144,79.6,16801,5556,405,466,86.9,381,436,87.4,113,191,59.2,0,1.1,2.1,-1.1,17,118,23,2,156
Thierno Barry,fr FRA,FW,21.0,25.8,209,337,62.0,2946,546,118,172,68.6,70,116,60.3,9,19,47.4,4,2.9,2.0,1.1,23,14,12,1,27
Yeremi Pino,es ESP,"MF,FW",21.0,21.5,523,708,73.9,7895,2225,298,366,81.4,181,229,79.0,29,45,64.4,7,5.3,3.8,1.7,37,35,32,8,66
Ayoze Pérez,es ESP,FW,31.0,21.9,314,414,75.8,5024,1316,143,175,81.7,138,166,83.1,19,30,63.3,2,3.0,1.9,-1.0,32,37,21,5,73
Diego Conde,es ESP,GK,25.0,21.8,519,640,81.1,12478,8097,123,124,99.2,284,290,97.9,109,222,49.1,1,0.2,0.0,0.8,2,7,1,0,0
Juan Foyth,ar ARG,DF,26.0,16.9,838,963,87.0,15860,6523,299,320,93.4,436,476,91.6,88,139,63.3,0,0.3,0.9,-0.3,7,53,8,2,65
Luiz Lúcio Reis Júnior,br BRA,GK,23.0,16.2,359,491,73.1,9354,6717,92,93,98.9,160,164,97.6,100,226,44.2,0,0.0,0.0,0.0,0,6,0,0,0
Nicolas Pépé,ci CIV,"FW,MF",29.0,16.7,499,631,79.1,6872,1622,300,329,91.2,145,185,78.4,29,51,56.9,6,4.8,4.1,1.2,33,25,27,3,60
