Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Sergi Cardona,es ESP,DF,25.0,32.7,1457,1206,245,23,2,2,111,221,1,0,0,0,1126,6,39
Alex Baena,es ESP,"MF,FW",23.0,28.8,1287,1082,192,52,22,20,207,24,107,43,42,0,857,13,41
Santi Comesaña,es ESP,MF,27.0,28.4,1374,1340,26,22,7,10,14,2,0,0,0,0,1163,8,22
Logan Costa,cv CPV,DF,23.0,28.7,1544,1450,94,43,1,18,5,8,0,0,0,0,1354,0,8
Kiko Femenía,es ESP,DF,33.0,24.7,1506,1250,254,50,1,8,47,203,0,0,0,0,1339,2,14
Daniel Parejo,es ESP,MF,35.0,25.3,1548,1448,96,60,3,14,37,1,35,16,8,2,1354,4,12
Pape Gueye,sn SEN,MF,25.0,24.7,1144,1091,41,33,8,20,20,1,2,1,0,0,911,12,21
Thierno Barry,fr FRA,FW,21.0,25.8,337,328,9,0,4,1,5,0,0,0,0,0,209,0,8
Yeremi Pino,es ESP,"MF,FW",21.0,21.5,708,699,9,1,6,1,47,7,1,0,0,0,523,0,43
Ayoze Pérez,es ESP,FW,31.0,21.9,414,369,41,2,8,0,15,1,0,0,0,0,314,4,12
Diego Conde,es ESP,GK,25.0,21.8,640,500,139,32,0,0,0,0,0,0,0,0,519,1,0
Juan Foyth,ar ARG,DF,26.0,16.9,963,864,98,46,3,6,4,35,0,0,0,0,838,1,8
Luiz Lúcio Reis Júnior,br BRA,GK,23.0,16.2,491,352,139,40,0,1,0,0,0,0,0,0,359,0,1
Nicolas Pépé,ci CIV,"FW,MF",29.0,16.7,631,575,51,13,5,2,44,8,20,12,2,0,499,5,24
Raúl Albiol,es ESP,DF,38.0,13.2,813,778,33,25,1,4,0,0,0,0,0,0,727,2,3
Willy Kambwala,fr FRA,DF,19.0,12.4,594,538,52,24,0,2,0,13,0,0,0,0,521,4,5
Pau Navarro,es ESP,DF,19.0,10.2,577,497,78,19,0,2,2,59,0,0,0,0,517,2,2
Eric Bailly,ci CIV,DF,30.0,6.9,320,300,19,11,0,0,0,2,0,0,0,0,280,1,1
Denis Suárez,es ESP,MF,30.0,6.8,291,265,22,7,0,5,25,3,11,2,7,0,228,4,8
Ilias Akhomach,ma MAR,"MF,FW",20.0,6.5,185,177,7,2,1,2,18,2,3,2,0,0,136,1,7
Gerard Moreno,es ESP,FW,32.0,8.0,305,289,12,1,2,2,10,0,0,0,0,0,235,4,10
Alfonso Pedraza,es ESP,"DF,MF",28.0,5.1,213,187,26,3,2,1,26,23,0,0,0,0,157,0,13
Tajon Buchanan,ca CAN,MF,25.0,4.6,144,136,7,1,0,0,16,6,0,0,0,0,106,1,4
Arnaut Danjuma,nl NED,FW,27.0,2.2,30,28,2,0,0,1,0,0,0,0,0,0,23,0,1
Juan Bernat,es ESP,"DF,MF",31.0,2.4,130,110,18,2,0,0,9,14,2,1,1,0,101,2,4
Ramón Terrats,es ESP,"MF,FW",23.0,1.5,79,77,2,1,1,2,5,0,0,0,0,0,64,0,2
Pau Cabanes,es ESP,"MF,FW",19.0,1.8,84,83,1,0,1,0,6,0,1,0,0,0,60,0,4
Karl Etta,cm CMR,"MF,FW",20.0,0.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Arnau Solà,es ESP,MF,21.0,0.1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
Daniel Requena,es ESP,MF,20.0,0.1,5,5,0,0,0,0,0,0,0,0,0,0,4,0,1
Thiago Ojeda,ar ARG,MF,21.0,0.1,8,8,0,0,0,0,1,0,0,0,0,0,7,0,0
Squad Total,,,26.7,38.0,17825,16035,1713,513,78,124,674,633,183,77,60,2,14532,77,318
Opponent Total,,,26.8,38.0,19916,18105,1769,495,40,191,782,655,180,70,59,0,16617,42,377
