Player,Nation,Pos,Age,90s,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Daniel Parejo,es ESP,MF,33.0,36.5,2855,106,633,1565,683,14,2851,41,29,70.7,9,22.0,1600,6448,2988,26,47,0,31,35,1977,32
Pau Torres,es ESP,DF,25.0,33.9,2495,361,1186,1174,154,32,2495,35,26,74.3,7,20.0,1573,10882,7623,76,48,0,22,4,1708,12
Yeremi Pino,es ESP,"FW,MF",19.0,27.2,1173,37,172,392,627,149,1173,94,48,51.1,34,36.2,736,3905,1877,65,34,38,57,39,850,256
Samuel Chukwueze,ng NGA,"FW,MF",23.0,26.0,1241,15,131,437,696,143,1241,178,86,48.3,76,42.7,876,6197,3639,133,63,71,66,29,974,261
Raúl Albiol,es ESP,DF,36.0,23.5,1687,223,856,796,44,9,1687,7,4,57.1,3,42.9,1047,6910,4616,12,10,0,11,5,1152,3
Pepe Reina,es ESP,GK,39.0,22.0,900,744,892,8,0,0,900,1,1,100.0,0,0.0,541,2919,1834,0,0,0,0,0,455,0
Juan Foyth,ar ARG,DF,24.0,21.8,1545,109,516,783,264,21,1545,48,27,56.3,18,37.5,778,4537,2657,47,36,1,21,15,895,18
Étienne Capoue,fr FRA,MF,34.0,21.7,1212,40,199,726,302,24,1212,62,31,50.0,22,35.5,783,4143,2031,45,27,10,26,13,948,72
Alfonso Pedraza,es ESP,DF,26.0,18.1,1049,44,287,353,423,47,1049,59,21,35.6,32,54.2,555,4093,2265,68,46,14,30,14,607,145
Alex Baena,es ESP,"MF,FW",21.0,21.6,1103,28,152,512,454,66,1103,62,27,43.5,25,40.3,752,3962,1847,50,42,14,41,34,873,110
Nicolas Jackson,sn SEN,FW,21.0,17.8,524,9,35,210,290,93,524,37,23,62.2,11,29.7,347,2501,1231,49,26,19,55,39,376,117
Aïssa Mandi,dz ALG,DF,30.0,16.2,1051,143,573,429,51,6,1051,3,1,33.3,1,33.3,614,2874,1516,7,7,0,3,2,726,9
Alberto Moreno,es ESP,DF,30.0,14.4,872,27,247,298,331,28,872,16,6,37.5,8,50.0,490,2569,1333,41,32,7,17,6,549,97
Gerónimo Rulli,ar ARG,GK,30.0,14.0,579,476,577,3,0,0,579,0,0,,0,,335,1591,1061,0,0,0,0,0,283,0
Gerard Moreno,es ESP,FW,30.0,13.7,634,16,57,282,309,67,632,56,29,51.8,20,35.7,401,1986,828,21,20,11,32,19,508,108
Giovani Lo Celso,ar ARG,"MF,FW",26.0,12.5,854,10,113,367,388,42,854,47,22,46.8,15,31.9,555,3286,1600,35,28,10,31,23,651,70
Kiko Femenía,es ESP,DF,31.0,12.6,877,41,299,377,211,8,877,13,6,46.2,4,30.8,508,2763,1461,36,27,1,8,9,570,47
José Luis Morales,es ESP,"FW,MF",35.0,13.5,402,2,35,142,233,79,402,51,18,35.3,27,52.9,233,1565,769,40,22,26,24,11,283,92
Ramón Terrats,es ESP,MF,21.0,9.1,528,18,95,284,151,16,528,29,15,51.7,13,44.8,330,1561,826,21,12,2,23,11,399,32
Francis Coquelin,fr FRA,MF,31.0,8.3,391,17,63,224,107,18,391,6,2,33.3,2,33.3,200,885,399,11,11,1,18,14,286,27
Manu Trigueros,es ESP,MF,30.0,9.2,599,14,76,354,173,7,599,5,2,40.0,3,60.0,368,1430,637,12,10,0,7,9,487,22
Arnaut Danjuma,nl NED,FW,25.0,5.3,135,2,11,39,86,23,134,8,3,37.5,4,50.0,88,490,260,12,3,8,11,6,103,35
Johan Mojica,co COL,DF,29.0,7.1,458,17,137,174,151,9,458,14,6,42.9,6,42.9,286,1820,884,27,15,5,10,5,276,38
Jorge Cuenca,es ESP,DF,22.0,5.6,461,65,232,219,10,5,461,0,0,,0,,280,1455,1030,7,1,0,2,0,308,1
Filip Jørgensen,dk DEN,GK,20.0,2.0,56,49,56,0,0,0,56,0,0,,0,,35,131,79,0,0,0,0,0,30,0
Manu Morlanes,es ESP,MF,23.0,1.8,60,5,15,34,11,0,60,0,0,,0,,31,127,49,1,1,0,0,1,36,1
Haissem Hassan,fr FRA,"FW,MF",20.0,0.6,25,1,6,10,11,1,25,4,2,50.0,1,25.0,21,224,60,3,1,1,2,0,21,3
Mamadou Fall,sn SEN,DF,19.0,0.3,22,2,8,10,4,0,22,1,0,0.0,1,100.0,10,39,16,0,0,0,1,0,8,0
Fernando Niño,es ESP,"MF,FW",21.0,0.2,9,0,0,3,6,1,9,1,0,0.0,1,100.0,8,28,1,0,0,0,2,0,9,4
Pascu,es ESP,"DF,FW",19.0,0.1,12,0,0,7,5,2,12,2,0,0.0,2,100.0,8,51,31,1,1,0,1,0,8,2
Diego Collado,es ESP,FW,21.0,0.1,8,0,0,2,6,1,8,0,0,,0,,3,9,4,0,0,0,0,0,6,3
Alberto Del Moral,es ESP,MF,22.0,0.1,1,0,0,1,0,0,1,0,0,,0,,1,2,1,0,0,0,0,0,1,0
Squad Total,,,28.4,38.0,23818,2621,7659,10215,6181,911,23811,880,435,49.4,345,39.2,14393,81383,45453,846,570,239,552,343,16363,1617
Opponent Total,,,27.2,38.0,19276,2222,6362,8049,5094,744,19272,597,264,44.2,270,45.2,10572,57622,30004,640,480,170,513,308,11928,1226
