Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Sergi Cardona,es ESP,DF,25.0,32.7,1,20,6,30.0,0.61,0.18,0.05,0.17,13.7,0,0,0,2.4,2.4,0.12,-1.4,-1.4
Alex Baena,es ESP,"MF,FW",23.0,28.8,7,69,17,24.6,2.39,0.59,0.1,0.41,21.0,8,0,1,7.1,6.3,0.09,-0.1,0.7
Santi Comesaña,es ESP,MF,27.0,28.4,4,39,8,20.5,1.37,0.28,0.1,0.5,13.1,0,0,0,4.6,4.6,0.12,-0.6,-0.6
Logan Costa,cv CPV,DF,23.0,28.7,2,12,5,41.7,0.42,0.17,0.17,0.4,15.9,0,0,0,0.7,0.7,0.05,1.3,1.3
Kiko Femenía,es ESP,DF,33.0,24.7,0,3,0,0.0,0.12,0.0,0.0,,24.9,0,0,0,0.4,0.4,0.12,-0.4,-0.4
Daniel Parejo,es ESP,MF,35.0,25.3,3,12,2,16.7,0.48,0.08,0.17,1.0,22.8,0,1,2,2.5,0.8,0.07,0.5,1.2
Pape Gueye,sn SEN,MF,25.0,24.7,4,55,17,30.9,2.23,0.69,0.07,0.24,18.5,0,0,0,3.4,3.4,0.06,0.6,0.6
Thierno Barry,fr FRA,FW,21.0,25.8,11,71,24,33.8,2.75,0.93,0.14,0.42,12.0,0,1,1,12.5,11.7,0.17,-1.5,-1.7
Yeremi Pino,es ESP,"MF,FW",21.0,21.5,4,29,8,27.6,1.35,0.37,0.14,0.5,12.8,0,0,0,3.9,3.9,0.13,0.1,0.1
Ayoze Pérez,es ESP,FW,31.0,21.9,19,75,31,41.3,3.43,1.42,0.25,0.61,14.2,0,0,0,12.7,12.7,0.18,6.3,6.3
Diego Conde,es ESP,GK,25.0,21.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Juan Foyth,ar ARG,DF,26.0,16.9,1,17,5,29.4,1.01,0.3,0.06,0.2,11.8,0,0,0,2.4,2.4,0.14,-1.4,-1.4
Luiz Lúcio Reis Júnior,br BRA,GK,23.0,16.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Nicolas Pépé,ci CIV,"FW,MF",29.0,16.7,3,38,17,44.7,2.28,1.02,0.08,0.18,16.0,1,0,0,3.8,3.8,0.1,-0.8,-0.8
Raúl Albiol,es ESP,DF,38.0,13.2,0,2,0,0.0,0.15,0.0,0.0,,9.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Willy Kambwala,fr FRA,DF,19.0,12.4,0,4,1,25.0,0.32,0.08,0.0,0.0,11.1,0,0,0,0.3,0.3,0.08,-0.3,-0.3
Pau Navarro,es ESP,DF,19.0,10.2,0,1,0,0.0,0.1,0.0,0.0,,30.4,0,0,0,0.0,0.0,0.01,0.0,0.0
Eric Bailly,ci CIV,DF,30.0,6.9,0,4,0,0.0,0.58,0.0,0.0,,7.8,0,0,0,0.3,0.3,0.08,-0.3,-0.3
Denis Suárez,es ESP,MF,30.0,6.8,1,10,3,30.0,1.48,0.44,0.1,0.33,15.5,0,0,0,0.9,0.9,0.09,0.1,0.1
Ilias Akhomach,ma MAR,"MF,FW",20.0,6.5,1,17,6,35.3,2.62,0.92,0.06,0.17,23.3,0,0,0,0.6,0.6,0.03,0.4,0.4
Gerard Moreno,es ESP,FW,32.0,8.0,3,23,9,39.1,2.87,1.12,0.0,0.0,18.2,0,3,3,4.2,1.8,0.08,-1.2,-1.8
Alfonso Pedraza,es ESP,"DF,MF",28.0,5.1,0,5,2,40.0,0.98,0.39,0.0,0.0,13.9,0,0,0,0.5,0.5,0.09,-0.5,-0.5
Tajon Buchanan,ca CAN,MF,25.0,4.6,1,7,2,28.6,1.51,0.43,0.14,0.5,18.6,0,0,0,0.9,0.9,0.13,0.1,0.1
Arnaut Danjuma,nl NED,FW,27.0,2.2,2,6,3,50.0,2.7,1.35,0.33,0.67,13.9,0,0,0,0.8,0.8,0.14,1.2,1.2
Juan Bernat,es ESP,"DF,MF",31.0,2.4,0,2,1,50.0,0.85,0.42,0.0,0.0,17.6,0,0,0,0.3,0.3,0.14,-0.3,-0.3
Ramón Terrats,es ESP,"MF,FW",23.0,1.5,0,2,0,0.0,1.37,0.0,0.0,,21.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Pau Cabanes,es ESP,"MF,FW",19.0,1.8,1,4,2,50.0,2.21,1.1,0.25,0.5,14.2,0,0,0,0.5,0.5,0.12,0.5,0.5
Karl Etta,cm CMR,"MF,FW",20.0,0.4,1,2,2,100.0,4.86,4.86,0.5,0.5,16.3,0,0,0,0.4,0.4,0.18,0.6,0.6
Arnau Solà,es ESP,MF,21.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Daniel Requena,es ESP,MF,20.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Thiago Ojeda,ar ARG,MF,21.0,0.1,0,1,0,0.0,11.25,0.0,0.0,,31.3,0,0,0,0.0,0.0,0.01,0.0,0.0
Squad Total,,,26.7,38.0,69,530,171,32.3,13.95,4.5,0.12,0.37,16.0,9,5,7,64.8,59.1,0.12,4.2,4.9
Opponent Total,,,26.8,38.0,50,475,153,32.2,12.5,4.03,0.09,0.28,18.5,13,7,8,44.4,38.2,0.08,5.6,4.8
