Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
Sergi Cardona,es ESP,DF,25.0,35,34,2945.0,32.7,1.0,7.0,8.0,1.0,0.0,0.0,11.0,0.0,2.4,2.4,5.8,8.2,52.0,77.0,198.0,0.03,0.21,0.24,0.03,0.24,0.07,0.18,0.25,0.07,0.25
Alex Baena,es ESP,"MF,FW",23.0,32,30,2595.0,28.8,7.0,9.0,16.0,7.0,0.0,1.0,9.0,0.0,7.1,6.3,11.7,18.1,91.0,189.0,154.0,0.24,0.31,0.55,0.24,0.55,0.25,0.41,0.65,0.22,0.63
Santi Comesaña,es ESP,MF,27.0,35,30,2560.0,28.4,4.0,2.0,6.0,4.0,0.0,0.0,7.0,0.0,4.6,4.6,2.0,6.6,39.0,154.0,58.0,0.14,0.07,0.21,0.14,0.21,0.16,0.07,0.23,0.16,0.23
Logan Costa,cv CPV,DF,23.0,32,28,2587.0,28.7,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,0.7,0.7,0.6,1.3,25.0,116.0,10.0,0.07,0.03,0.1,0.07,0.1,0.02,0.02,0.05,0.02,0.05
Kiko Femenía,es ESP,DF,33.0,28,27,2227.0,24.7,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.4,0.4,1.3,1.7,52.0,112.0,44.0,0.0,0.04,0.04,0.0,0.04,0.01,0.05,0.07,0.01,0.07
Daniel Parejo,es ESP,MF,35.0,36,26,2273.0,25.3,3.0,3.0,6.0,2.0,1.0,2.0,8.0,0.0,2.5,0.8,1.8,2.7,19.0,176.0,26.0,0.12,0.12,0.24,0.08,0.2,0.1,0.07,0.17,0.03,0.11
Pape Gueye,sn SEN,MF,25.0,34,26,2224.0,24.7,4.0,0.0,4.0,4.0,0.0,0.0,6.0,2.0,3.4,3.4,1.1,4.5,36.0,156.0,69.0,0.16,0.0,0.16,0.16,0.16,0.14,0.04,0.18,0.14,0.18
Thierno Barry,fr FRA,FW,21.0,35,25,2323.0,25.8,11.0,4.0,15.0,10.0,1.0,1.0,4.0,0.0,12.5,11.7,2.9,14.6,44.0,27.0,124.0,0.43,0.15,0.58,0.39,0.54,0.48,0.11,0.6,0.45,0.57
Yeremi Pino,es ESP,"MF,FW",21.0,34,25,1934.0,21.5,4.0,7.0,11.0,4.0,0.0,0.0,11.0,0.0,3.9,3.9,5.3,9.2,42.0,66.0,213.0,0.19,0.33,0.51,0.19,0.51,0.18,0.25,0.43,0.18,0.43
Ayoze Pérez,es ESP,FW,31.0,30,22,1970.0,21.9,19.0,2.0,21.0,19.0,0.0,0.0,4.0,0.0,12.7,12.7,3.0,15.7,59.0,73.0,124.0,0.87,0.09,0.96,0.87,0.96,0.58,0.13,0.71,0.58,0.71
Diego Conde,es ESP,GK,25.0,22,22,1962.0,21.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,0.0,0.01,0.01,0.0,0.01
Juan Foyth,ar ARG,DF,26.0,19,17,1517.0,16.9,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,2.4,2.4,0.3,2.8,13.0,65.0,11.0,0.06,0.0,0.06,0.06,0.06,0.14,0.02,0.16,0.14,0.16
Luiz Lúcio Reis Júnior,br BRA,GK,23.0,17,16,1458.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicolas Pépé,ci CIV,"FW,MF",29.0,28,15,1500.0,16.7,3.0,6.0,9.0,3.0,0.0,0.0,3.0,0.0,3.8,3.8,4.8,8.6,76.0,60.0,159.0,0.18,0.36,0.54,0.18,0.54,0.23,0.29,0.52,0.23,0.52
Raúl Albiol,es ESP,DF,38.0,15,14,1188.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.1,0.1,0.0,0.1,3.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
Willy Kambwala,fr FRA,DF,19.0,19,12,1117.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3,0.3,0.1,0.5,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04
Pau Navarro,es ESP,DF,19.0,17,8,916.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,40.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric Bailly,ci CIV,DF,30.0,12,8,617.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.3,0.3,0.0,0.3,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05
Denis Suárez,es ESP,MF,30.0,21,7,608.0,6.8,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,1.5,2.4,27.0,35.0,24.0,0.15,0.15,0.3,0.15,0.3,0.14,0.22,0.36,0.14,0.36
Ilias Akhomach,ma MAR,"MF,FW",20.0,11,7,584.0,6.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,1.0,1.6,30.0,12.0,64.0,0.15,0.0,0.15,0.15,0.15,0.09,0.15,0.23,0.09,0.23
Gerard Moreno,es ESP,FW,32.0,17,6,721.0,8.0,3.0,2.0,5.0,0.0,3.0,3.0,0.0,0.0,4.2,1.8,3.6,5.5,19.0,53.0,60.0,0.37,0.25,0.62,0.0,0.25,0.53,0.45,0.98,0.23,0.69
Alfonso Pedraza,es ESP,"DF,MF",28.0,12,4,460.0,5.1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.4,1.9,21.0,9.0,43.0,0.0,0.39,0.39,0.0,0.39,0.09,0.27,0.37,0.09,0.37
Tajon Buchanan,ca CAN,MF,25.0,13,4,416.0,4.6,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.9,0.9,0.5,1.4,19.0,5.0,45.0,0.22,0.43,0.65,0.22,0.65,0.19,0.12,0.31,0.19,0.31
Arnaut Danjuma,nl NED,FW,27.0,3,3,200.0,2.2,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.8,0.8,0.0,0.8,4.0,1.0,17.0,0.9,0.0,0.9,0.9,0.9,0.37,0.01,0.38,0.37,0.38
Juan Bernat,es ESP,"DF,MF",31.0,10,1,212.0,2.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.4,0.7,4.0,8.0,23.0,0.0,0.42,0.42,0.0,0.42,0.12,0.17,0.29,0.12,0.29
Ramón Terrats,es ESP,"MF,FW",23.0,11,1,131.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.3,1.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.04,0.19,0.22,0.04,0.22
Pau Cabanes,es ESP,"MF,FW",19.0,10,0,163.0,1.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.4,0.9,10.0,11.0,33.0,0.55,0.0,0.55,0.55,0.55,0.26,0.22,0.47,0.26,0.47
Karl Etta,cm CMR,"MF,FW",20.0,4,0,37.0,0.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.0,0.0,0.0,2.43,0.0,2.43,2.43,2.43,0.88,0.0,0.88,0.88,0.88
Arnau Solà,es ESP,MF,21.0,1,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Requena,es ESP,MF,20.0,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thiago Ojeda,ar ARG,MF,21.0,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12
Iker Álvarez,ad AND,GK,23.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alassane Diatta,sn SEN,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Espigare,es ESP,DF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubén Gómez,es ESP,GK,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squad Total,,,26.7,38,418,3420.0,38.0,69.0,51.0,120.0,64.0,5.0,7.0,96.0,4.0,64.8,59.1,49.7,108.8,693.0,1522.0,1510.0,1.82,1.34,3.16,1.68,3.03,1.71,1.31,3.01,1.56,2.86
Opponent Total,,,26.8,38,418,3420.0,38.0,50.0,28.0,78.0,43.0,7.0,8.0,99.0,7.0,44.4,38.2,28.5,66.7,720.0,1597.0,1586.0,1.32,0.74,2.05,1.13,1.87,1.17,0.75,1.92,1.01,1.75
