Player,Season,Nation,Nationality,Pos,Position,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def_Pen,Att_Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,MarketValueEuro,Current club
Abraham Rando,2324,es ESP,,DF,,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrià Altimira,2324,es ESP,,"DF,MF",,22,11,10,775.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.1,10.0,29.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.02,1.0,0.0,0.0,0.12,0.0,0.0,,27.2,0.0,0.03,0.0,0.0,389.0,465.0,83.7,6578.0,2133.0,180.0,208.0,86.5,170.0,193.0,88.1,31.0,42.0,73.8,0.2,-0.1,2.0,25.0,5.0,2.0,400.0,65.0,0.0,1.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,0.7,6.0,0.0,0.0,0.0,0.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,16.0,7.0,9.0,6.0,1.0,9.0,37.5,15.0,13.0,5.0,21.0,18.0,0.0,552.0,38.0,2.0,11.0,68.8,4.0,25.0,257.0,0.0,7.0,5.0,329.0,,
Alassane Diatta,2425,sn SEN,,MF,,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberto Del Moral,2223,es ESP,Spain,MF,Central Midfield,22,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,1.0,1000000.0,Villarreal CF
Alberto Moreno,2223,es ESP,Spain,DF,Left-Back,30,24,14,1296.0,14.4,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.9,0.9,1.4,2.3,41.0,47.0,97.0,0.0,0.07,0.07,0.0,0.07,0.07,0.1,0.16,0.07,0.16,15.0,3.0,20.0,1.04,0.21,0.0,0.0,20.7,2.0,0.06,-0.9,-0.9,605.0,730.0,82.9,9845.0,2768.0,298.0,329.0,90.6,252.0,283.0,89.0,36.0,64.0,56.3,1.9,-0.4,12.0,18.0,24.0,6.0,617.0,107.0,1.0,4.0,36.0,85.0,7.0,3.0,3.0,0.0,6.0,13.0,28.0,1.94,24.0,2.0,1.0,0.0,0.0,2.0,0.14,2.0,0.0,0.0,0.0,0.0,0.0,23.0,12.0,10.0,10.0,3.0,11.0,45.8,13.0,11.0,23.0,46.0,26.0,0.0,872.0,27.0,28.0,6.0,37.5,8.0,50.0,490.0,7.0,17.0,6.0,549.0,3000000.0,Villarreal CF
Alberto Moreno,2324,es ESP,,DF,,31,27,17,1484.0,16.5,2.0,2.0,4.0,2.0,0.0,0.0,5.0,2.0,0.7,0.7,1.6,2.4,26.0,55.0,79.0,0.12,0.12,0.24,0.12,0.24,0.04,0.1,0.14,0.04,0.14,17.0,5.0,29.4,1.03,0.3,0.12,0.4,19.8,0.0,0.04,1.3,1.3,586.0,733.0,79.9,10373.0,3766.0,272.0,307.0,88.6,246.0,291.0,84.5,60.0,104.0,57.7,1.8,0.4,16.0,35.0,23.0,9.0,628.0,100.0,0.0,11.0,49.0,85.0,2.0,1.0,1.0,0.0,5.0,14.0,36.0,2.18,27.0,2.0,0.0,4.0,0.0,8.0,0.49,5.0,1.0,0.0,1.0,1.0,0.0,31.0,21.0,19.0,10.0,2.0,10.0,33.3,20.0,10.0,24.0,55.0,33.0,0.0,885.0,53.0,27.0,5.0,50.0,4.0,40.0,402.0,2.0,17.0,3.0,523.0,,
Alex Baena,2223,es ESP,,"MF,FW",,21,35,19,1947.0,21.6,6.0,2.0,8.0,6.0,0.0,0.0,13.0,1.0,3.9,3.9,5.2,9.1,50.0,124.0,110.0,0.28,0.09,0.37,0.28,0.37,0.18,0.24,0.42,0.18,0.42,62.0,22.0,35.5,2.87,1.02,0.1,0.27,22.6,3.0,0.06,2.1,2.1,681.0,859.0,79.3,11154.0,3034.0,340.0,380.0,89.5,257.0,301.0,85.4,59.0,100.0,59.0,3.8,-3.2,31.0,75.0,43.0,3.0,831.0,23.0,21.0,3.0,26.0,2.0,8.0,6.0,0.0,0.0,5.0,30.0,79.0,3.65,58.0,0.0,8.0,5.0,0.0,8.0,0.37,5.0,0.0,0.0,2.0,1.0,0.0,30.0,17.0,9.0,15.0,6.0,15.0,33.3,30.0,12.0,7.0,37.0,16.0,0.0,1103.0,28.0,66.0,27.0,43.5,25.0,40.3,752.0,14.0,41.0,34.0,873.0,,
Alex Baena,2324,es ESP,,"MF,FW",,22,34,33,2579.0,28.7,2.0,14.0,16.0,2.0,0.0,1.0,11.0,1.0,7.9,7.1,9.2,16.3,84.0,165.0,181.0,0.07,0.49,0.56,0.07,0.56,0.27,0.32,0.6,0.25,0.57,72.0,25.0,34.7,2.51,0.87,0.03,0.08,20.8,5.0,0.1,-5.9,-5.1,893.0,1255.0,71.2,16899.0,5861.0,394.0,460.0,85.7,351.0,467.0,75.2,129.0,244.0,52.9,9.5,4.8,83.0,95.0,59.0,15.0,1087.0,153.0,28.0,15.0,175.0,15.0,95.0,44.0,37.0,1.0,15.0,32.0,151.0,5.27,93.0,34.0,10.0,2.0,3.0,22.0,0.77,14.0,5.0,0.0,2.0,0.0,1.0,34.0,21.0,10.0,16.0,8.0,20.0,42.6,27.0,21.0,13.0,47.0,17.0,1.0,1550.0,29.0,102.0,26.0,49.1,24.0,45.3,908.0,23.0,66.0,33.0,1120.0,,
Alex Baena,2425,es ESP,,"MF,FW",,23,32,30,2595.0,28.8,7.0,9.0,16.0,7.0,0.0,1.0,9.0,0.0,7.1,6.3,11.7,18.1,91.0,189.0,154.0,0.24,0.31,0.55,0.24,0.55,0.25,0.41,0.65,0.22,0.63,69.0,17.0,24.6,2.39,0.59,0.1,0.41,21.0,8.0,0.09,-0.1,0.7,857.0,1287.0,66.6,17433.0,6579.0,314.0,394.0,79.7,393.0,535.0,73.5,138.0,278.0,49.6,12.6,-2.7,95.0,95.0,72.0,19.0,1082.0,192.0,22.0,20.0,207.0,24.0,107.0,43.0,42.0,0.0,13.0,41.0,169.0,5.86,108.0,41.0,4.0,4.0,1.0,21.0,0.73,17.0,2.0,1.0,0.0,1.0,0.0,28.0,15.0,6.0,14.0,8.0,10.0,25.6,29.0,27.0,22.0,50.0,22.0,2.0,1569.0,23.0,89.0,21.0,37.5,27.0,48.2,895.0,15.0,42.0,32.0,1044.0,,
Alexander Sørloth,2324,no NOR,,FW,,27,34,30,2489.0,27.7,23.0,6.0,29.0,23.0,0.0,0.0,3.0,0.0,12.3,12.3,4.4,16.7,48.0,40.0,159.0,0.83,0.22,1.05,0.83,1.05,0.44,0.16,0.6,0.44,0.6,78.0,36.0,46.2,2.82,1.3,0.29,0.64,12.1,0.0,0.16,10.7,10.7,357.0,476.0,75.0,4827.0,666.0,228.0,271.0,84.1,107.0,142.0,75.4,11.0,20.0,55.0,3.0,1.6,34.0,19.0,15.0,1.0,448.0,22.0,2.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,6.0,15.0,68.0,2.46,51.0,0.0,6.0,2.0,1.0,17.0,0.61,8.0,0.0,2.0,5.0,2.0,0.0,6.0,3.0,1.0,2.0,3.0,2.0,33.3,4.0,5.0,0.0,6.0,26.0,0.0,797.0,33.0,150.0,30.0,41.7,40.0,55.6,474.0,29.0,97.0,61.0,638.0,,
