Player,Season,Nation,Nationality,Pos,Position,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def_Pen,Att_Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,MarketValueEuro,Current club
Alberto Del Moral,2223,ESP,Spain,MF,Central Midfield,22,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,1.0,1000000.0,Villarreal CF
Alberto Moreno,2223,ESP,Spain,DF,Left-Back,30,24,14,1296.0,14.4,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.9,0.9,1.4,2.3,41.0,47.0,97.0,0.0,0.07,0.07,0.0,0.07,0.07,0.1,0.16,0.07,0.16,15.0,3.0,20.0,1.04,0.21,0.0,0.0,20.7,2.0,0.06,-0.9,-0.9,605.0,730.0,82.9,9845.0,2768.0,298.0,329.0,90.6,252.0,283.0,89.0,36.0,64.0,56.3,1.9,-0.4,12.0,18.0,24.0,6.0,617.0,107.0,1.0,4.0,36.0,85.0,7.0,3.0,3.0,0.0,6.0,13.0,28.0,1.94,24.0,2.0,1.0,0.0,0.0,2.0,0.14,2.0,0.0,0.0,0.0,0.0,0.0,23.0,12.0,10.0,10.0,3.0,11.0,45.8,13.0,11.0,23.0,46.0,26.0,0.0,872.0,27.0,28.0,6.0,37.5,8.0,50.0,490.0,7.0,17.0,6.0,549.0,3000000.0,Villarreal CF
Alfonso Pedraza,2223,ESP,Spain,DF,Left-Back,26,26,20,1633.0,18.1,0.0,3.0,3.0,0.0,0.0,0.0,5.0,0.0,1.2,1.2,2.0,3.2,68.0,31.0,145.0,0.0,0.17,0.17,0.0,0.17,0.07,0.11,0.18,0.07,0.18,26.0,10.0,38.5,1.43,0.55,0.0,0.0,18.4,0.0,0.05,-1.2,-1.2,641.0,832.0,77.0,9606.0,2553.0,366.0,401.0,91.3,221.0,283.0,78.1,35.0,80.0,43.8,1.3,1.0,18.0,22.0,19.0,9.0,673.0,158.0,0.0,2.0,76.0,148.0,2.0,1.0,0.0,0.0,1.0,32.0,39.0,2.15,30.0,0.0,5.0,0.0,1.0,5.0,0.28,4.0,0.0,1.0,0.0,0.0,0.0,35.0,26.0,20.0,10.0,5.0,19.0,65.5,10.0,18.0,18.0,53.0,31.0,0.0,1049.0,44.0,47.0,21.0,35.6,32.0,54.2,555.0,14.0,30.0,14.0,607.0,15000000.0,Villarreal CF
Alfonso Pedraza,2425,ESP,Spain,"DF,MF",Left-Back,28,12,4,460.0,5.1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.4,1.9,21.0,9.0,43.0,0.0,0.39,0.39,0.0,0.39,0.09,0.27,0.37,0.09,0.37,5.0,2.0,40.0,0.98,0.39,0.0,0.0,13.9,0.0,0.09,-0.5,-0.5,157.0,213.0,73.7,2500.0,918.0,81.0,84.0,96.4,59.0,78.0,75.6,10.0,26.0,38.5,1.4,0.6,9.0,7.0,8.0,6.0,187.0,26.0,2.0,1.0,26.0,23.0,0.0,0.0,0.0,0.0,0.0,13.0,17.0,3.33,12.0,1.0,2.0,0.0,0.0,3.0,0.59,2.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,2.0,50.0,2.0,2.0,6.0,9.0,16.0,0.0,274.0,17.0,16.0,9.0,47.4,9.0,47.4,155.0,6.0,5.0,2.0,165.0,2500000.0,Villarreal CF
Arnaut Danjuma,2223,NED,Netherlands,FW,Left Winger,25,10,6,479.0,5.3,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.7,1.9,0.4,2.3,12.0,2.0,35.0,0.38,0.0,0.38,0.19,0.19,0.5,0.07,0.58,0.36,0.43,11.0,4.0,36.4,2.07,0.75,0.09,0.25,16.7,0.0,0.17,-0.7,-0.9,70.0,95.0,73.7,999.0,169.0,44.0,61.0,72.1,20.0,26.0,76.9,2.0,3.0,66.7,0.3,-0.4,5.0,3.0,3.0,2.0,83.0,12.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,13.0,2.44,7.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0,1.0,50.0,1.0,0.0,0.0,3.0,1.0,1.0,135.0,2.0,23.0,3.0,37.5,4.0,50.0,88.0,8.0,11.0,6.0,103.0,25000000.0,Villarreal CF
Arnaut Danjuma,2425,NED,Netherlands,FW,Left Winger,27,3,3,200.0,2.2,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.8,0.8,0.0,0.8,4.0,1.0,17.0,0.9,0.0,0.9,0.9,0.9,0.37,0.01,0.38,0.37,0.38,6.0,3.0,50.0,2.7,1.35,0.33,0.67,13.9,0.0,0.14,1.2,1.2,23.0,30.0,76.7,359.0,40.0,11.0,15.0,73.3,10.0,12.0,83.3,1.0,2.0,50.0,0.0,0.0,1.0,1.0,0.0,0.0,28.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,48.0,0.0,8.0,0.0,0.0,4.0,100.0,25.0,2.0,3.0,0.0,36.0,4000000.0,Villarreal CF
Ayoze Pérez,2425,ESP,Spain,FW,Centre-Forward,31,30,22,1970.0,21.9,19.0,2.0,21.0,19.0,0.0,0.0,4.0,0.0,12.7,12.7,3.0,15.7,59.0,73.0,124.0,0.87,0.09,0.96,0.87,0.96,0.58,0.13,0.71,0.58,0.71,75.0,31.0,41.3,3.43,1.42,0.25,0.61,14.2,0.0,0.18,6.3,6.3,314.0,414.0,75.8,5024.0,1316.0,143.0,175.0,81.7,138.0,166.0,83.1,19.0,30.0,63.3,1.9,-1.0,32.0,37.0,21.0,5.0,369.0,41.0,8.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,4.0,12.0,72.0,3.26,50.0,0.0,9.0,4.0,2.0,5.0,0.23,2.0,0.0,2.0,1.0,0.0,0.0,27.0,14.0,5.0,18.0,4.0,6.0,25.0,18.0,17.0,8.0,35.0,15.0,0.0,705.0,7.0,136.0,34.0,43.6,36.0,46.2,429.0,33.0,62.0,34.0,514.0,10000000.0,Villarreal CF
Aïssa Mandi,2223,ALG,Algeria,DF,Centre-Back,30,21,16,1461.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.4,7.0,36.0,9.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,2.0,2.0,100.0,0.12,0.12,0.0,0.0,19.9,0.0,0.05,-0.1,-0.1,826.0,911.0,90.7,16064.0,5793.0,288.0,303.0,95.0,427.0,462.0,92.4,98.0,120.0,81.7,0.4,-0.3,4.0,30.0,3.0,0.0,857.0,52.0,1.0,12.0,2.0,24.0,0.0,0.0,0.0,0.0,2.0,4.0,9.0,0.55,8.0,1.0,0.0,0.0,0.0,2.0,0.12,2.0,0.0,0.0,0.0,0.0,0.0,18.0,10.0,14.0,3.0,1.0,6.0,50.0,6.0,5.0,21.0,39.0,58.0,0.0,1051.0,143.0,6.0,1.0,33.3,1.0,33.3,614.0,0.0,3.0,2.0,726.0,3000000.0,Villarreal CF
Carlos Romero,2223,ESP,Spain,DF,Left-Back,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000.0,Villarreal CF
Daniel Parejo,2223,ESP,Spain,MF,Central Midfield,33,37,37,3285.0,36.5,3.0,4.0,7.0,1.0,2.0,4.0,6.0,0.0,4.7,1.3,4.1,5.4,26.0,250.0,32.0,0.08,0.11,0.19,0.03,0.14,0.13,0.11,0.24,0.04,0.15,26.0,8.0,30.8,0.71,0.22,0.04,0.13,27.9,12.0,0.05,-1.7,-0.3,2224.0,2569.0,86.6,40111.0,13261.0,1001.0,1069.0,93.6,915.0,1001.0,91.4,255.0,393.0,64.9,5.1,-0.1,50.0,271.0,35.0,3.0,2249.0,310.0,7.0,29.0,144.0,5.0,127.0,57.0,34.0,4.0,10.0,29.0,113.0,3.1,84.0,26.0,1.0,1.0,0.0,11.0,0.3,8.0,2.0,0.0,1.0,0.0,0.0,71.0,40.0,32.0,23.0,16.0,30.0,40.0,45.0,28.0,29.0,100.0,31.0,2.0,2855.0,106.0,14.0,29.0,70.7,9.0,22.0,1600.0,0.0,31.0,35.0,1977.0,6000000.0,Villarreal CF
