Name,Position,Age,Nationality,Current club,Season,MarketValueEuro,PrimaryNationality
Sergio Asenjo,Goalkeeper,32,Spain,Villarreal CF,2020,9000000.0,Spain
Gerónimo Rulli,Goalkeeper,29,Argentina,Villarreal CF,2020,4000000.0,Argentina
Filip Jørgensen,Goalkeeper,19,Denmark,Villarreal CF,2020,250000.0,Denmark
Iker Álvarez,Goalkeeper,19,Andorra,Villarreal CF,2020,50000.0,Andorra
Pau Torres,Centre-Back,24,Spain,Villarreal CF,2020,50000000.0,Spain
Mario Gaspar,Centre-Back,30,Spain,Villarreal CF,2020,5000000.0,Spain
Raúl Albiol,Centre-Back,35,Spain,Villarreal CF,2020,2500000.0,Spain
Ramiro Funes Mori,Centre-Back,30,Argentina,Villarreal CF,2020,2000000.0,Argentina
Soufiane Chakla,Centre-Back,27,Morocco,Villarreal CF,2020,800000.0,Morocco
Alfonso Pedraza,Left-Back,25,Spain,Villarreal CF,2020,20000000.0,Spain
Pervis Estupiñán,Left-Back,23,Ecuador,Villarreal CF,2020,12000000.0,Ecuador
Alberto Moreno,Left-Back,28,Spain,Villarreal CF,2020,2500000.0,Spain
Jaume Costa,Left-Back,33,Spain,Villarreal CF,2020,2000000.0,Spain
Juan Foyth,Right-Back,23,Argentina,Villarreal CF,2020,12000000.0,Argentina
Rubén Peña,Right-Back,29,Spain,Villarreal CF,2020,4000000.0,Spain
Andrei Rațiu,Right-Back,23,Romania,Villarreal CF,2020,300000.0,Romania
Lanchi,Right-Back,20,Spain,Villarreal CF,2020,200000.0,Spain
Francis Coquelin,Defensive Midfield,30,France,Villarreal CF,2020,5000000.0,France
Vicente Iborra,Defensive Midfield,33,Spain,Villarreal CF,2020,3000000.0,Spain
Étienne Capoue,Defensive Midfield,32,France,Villarreal CF,2020,2000000.0,France
Manu Trigueros,Central Midfield,29,Spain,Villarreal CF,2020,12000000.0,Spain
Dani Parejo,Central Midfield,32,Spain,Villarreal CF,2020,10000000.0,Spain
Carlo García,Central Midfield,20,Spain,Villarreal CF,2020,300000.0,Spain
Sergio Lozano,Central Midfield,22,Spain,Villarreal CF,2020,200000.0,Spain
Moi Gómez,Left Winger,27,Spain,Villarreal CF,2020,8000000.0,Spain
Javi Ontiveros,Left Winger,23,Spain,Villarreal CF,2020,5000000.0,Spain
Álex Baena,Left Winger,19,Spain,Villarreal CF,2020,2500000.0,Spain
Samuel Chukwueze,Right Winger,22,Nigeria,Villarreal CF,2020,20000000.0,Nigeria
Takefusa Kubo,Right Winger,20,Japan,Villarreal CF,2020,15000000.0,Japan
Yéremy Pino,Right Winger,18,Spain,Villarreal CF,2020,15000000.0,Spain
Dani Raba,Right Winger,25,Spain,Villarreal CF,2020,900000.0,Spain
Gerard Moreno,Centre-Forward,29,Spain,Villarreal CF,2020,40000000.0,Spain
Paco Alcácer,Centre-Forward,27,Spain,Villarreal CF,2020,22000000.0,Spain
Fer Niño,Centre-Forward,20,Spain,Villarreal CF,2020,3000000.0,Spain
Carlos Bacca,Centre-Forward,34,Colombia,Villarreal CF,2020,1800000.0,Colombia
Álex Millán,Centre-Forward,21,Spain,Villarreal CF,2020,300000.0,Spain
Gerónimo Rulli,Goalkeeper,31,Argentina,Villarreal CF,2022,10000000.0,Argentina
Filip Jørgensen,Goalkeeper,21,Denmark,Villarreal CF,2022,1500000.0,Denmark
Pepe Reina,Goalkeeper,40,Spain,Villarreal CF,2022,700000.0,Spain
Iker Álvarez,Goalkeeper,21,Andorra,Villarreal CF,2022,500000.0,Andorra
Gianni Cassaro,Goalkeeper,31,Spain,Villarreal CF,2022,100000.0,Spain
Pau Torres,Centre-Back,26,Spain,Villarreal CF,2022,45000000.0,Spain
Jorge Cuenca,Centre-Back,23,Spain,Villarreal CF,2022,5000000.0,Spain
Aïssa Mandi,Centre-Back,31,Algeria,Villarreal CF,2022,3000000.0,Algeria
Mamadou Mbacke,Centre-Back,20,Senegal,Villarreal CF,2022,2800000.0,Senegal
Raúl Albiol,Centre-Back,37,Spain,Villarreal CF,2022,2500000.0,Spain
Adrián de la Fuente,Centre-Back,24,Spain,Villarreal CF,2022,800000.0,Spain
Pervis Estupiñán,Left-Back,25,Ecuador,Villarreal CF,2022,32000000.0,Ecuador
Alfonso Pedraza,Left-Back,27,Spain,Villarreal CF,2022,15000000.0,Spain
