Player,Nation,Pos,Age,90s,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Cristhian Mosquera,es ESP,DF,20.0,36.9,2367,233,1159,1144,74,7,2367,9,5,55.6,4,44.4,1401,7430,4283,35,11,0,18,10,1583,6,Matches
Diego López,es ESP,"MF,FW",22.0,30.4,1257,11,132,510,634,100,1257,77,23,29.9,51,66.2,715,4212,2026,76,51,24,71,27,881,219,Matches
Giorgi Mamardashvili,ge GEO,GK,23.0,34.0,1163,978,1155,8,0,0,1163,0,0,,0,,574,2610,1452,1,0,0,0,0,490,0,Matches
César Tárrega,es ESP,DF,22.0,33.6,2096,330,1141,914,58,37,2096,15,11,73.3,2,13.3,1134,6087,3641,20,10,0,16,4,1318,1,Matches
Luis Rioja,es ESP,"MF,FW",30.0,31.5,1505,39,252,533,741,59,1503,91,43,47.3,37,40.7,816,5793,2812,93,57,28,42,40,1031,228,Matches
Javier Guerra,es ESP,MF,21.0,28.7,1669,65,354,939,401,49,1669,78,29,37.2,45,57.7,927,4925,2585,50,42,13,50,54,1136,84,Matches
Enzo Barrenechea,ar ARG,MF,23.0,24.3,1601,68,378,1038,198,14,1601,31,11,35.5,15,48.4,762,3275,1515,21,17,0,23,18,1068,16,Matches
Dimitri Foulquier,fr FRA,DF,31.0,25.5,1530,64,451,770,319,26,1530,33,8,24.2,16,48.5,749,4153,2372,48,33,7,30,16,882,66,Matches
Hugo Duro,es ESP,FW,24.0,24.1,634,15,47,328,265,90,633,20,7,35.0,13,65.0,297,1037,364,13,8,7,58,32,471,88,Matches
Domingos André Ribeiro Almeida,pt POR,"MF,FW",24.0,22.0,1162,15,150,596,428,43,1162,54,22,40.7,22,40.7,676,3596,1810,45,48,11,37,38,836,77,Matches
José Luis Gayà,es ESP,DF,29.0,20.0,1202,51,346,500,362,18,1202,20,7,35.0,11,55.0,555,2520,1236,29,27,4,16,4,678,156,Matches
José Luis García Vayá,es ESP,MF,25.0,19.4,1406,61,291,827,307,12,1404,13,8,61.5,3,23.1,645,2536,1295,13,16,1,16,11,857,19,Matches
Jesus Vazquez,es ESP,DF,21.0,10.2,586,36,170,237,188,14,586,36,14,38.9,17,47.2,250,1510,881,32,27,5,14,8,284,48,Matches
Yarek Gasiorowski,es ESP,DF,19.0,10.5,620,73,295,309,22,6,620,0,0,,0,,276,1329,736,9,2,0,1,0,337,0,Matches
Umar Sadiq,ng NGA,FW,27.0,9.2,301,8,22,133,150,41,301,25,11,44.0,12,48.0,175,940,274,9,8,3,41,24,229,49,Matches
Thierry Correia,pt POR,DF,25.0,8.5,555,29,177,215,170,12,555,23,8,34.8,12,52.2,240,1328,785,16,9,6,17,0,293,48,Matches
Mouctar Diakhaby,gn GUI,DF,27.0,7.3,440,65,271,143,29,19,440,4,2,50.0,2,50.0,222,1013,486,5,6,0,5,2,270,2,Matches
Rafa Mir,es ESP,"FW,MF",27.0,8.4,294,12,48,137,111,27,294,14,2,14.3,11,78.6,145,652,266,10,7,0,12,8,203,28,Matches
Dani Gómez,es ESP,FW,26.0,5.9,137,4,12,49,78,22,137,10,3,30.0,7,70.0,71,319,103,3,4,2,11,8,90,24,Matches
Francisco Perez,es ESP,"FW,MF",21.0,6.3,327,5,50,126,154,16,327,22,8,36.4,14,63.6,198,1440,658,24,11,4,17,14,230,71,Matches
