Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Iñaki Williams,gh GHA,FW,30.0,29.5,525,830,63.3,7922,2296,297,395,75.2,193,286,67.5,23,76,30.3,8,7.8,5.0,0.2,43,38,51,15,76,Matches
Daniel Vivian,es ESP,DF,25.0,29.0,1526,1753,87.1,31626,11850,396,441,89.8,940,997,94.3,183,286,64.0,0,0.4,0.7,-0.4,10,166,10,3,185,Matches
Álex Berenguer,es ESP,"FW,MF",29.0,26.0,628,954,65.8,10110,2537,335,401,83.5,214,292,73.3,57,186,30.6,7,5.0,4.4,2.0,46,49,28,11,78,Matches
Mikel Jauregizar,es ESP,MF,20.0,24.9,904,1121,80.6,16776,4632,367,423,86.8,409,480,85.2,115,172,66.9,1,1.4,1.2,-0.4,23,106,11,1,118,Matches
Yuri Berchiche,es ESP,DF,34.0,22.7,1174,1398,84.0,20944,7612,526,582,90.4,530,617,85.9,106,159,66.7,2,2.2,2.2,-0.2,18,129,15,8,161,Matches
Nico Williams,es ESP,FW,22.0,22.2,497,705,70.5,7797,1800,283,338,83.7,160,214,74.8,39,88,44.3,5,3.5,4.2,1.5,40,23,29,8,69,Matches
Unai Simón,es ESP,GK,27.0,21.0,455,654,69.6,13411,10784,64,64,100.0,238,242,98.3,152,343,44.3,0,0.0,0.0,0.0,0,12,0,0,0,Matches
Gorka Guruzeta,es ESP,FW,27.0,20.4,298,411,72.5,4403,655,170,215,79.1,98,131,74.8,16,31,51.6,2,1.5,0.7,0.5,15,23,2,0,31,Matches
Aitor Paredes,es ESP,DF,24.0,20.1,789,947,83.3,16864,6216,178,199,89.4,514,551,93.3,94,184,51.1,0,0.1,0.2,-0.1,2,42,2,0,46,Matches
Beñat Prados,es ESP,MF,23.0,19.1,647,789,82.0,10848,2659,292,342,85.4,301,346,87.0,40,69,58.0,0,1.1,1.3,-1.1,11,70,6,1,78,Matches
Yeray Álvarez,es ESP,DF,29.0,19.8,994,1182,84.1,20211,7016,283,316,89.6,608,651,93.4,100,193,51.8,0,0.2,0.4,-0.2,4,80,3,2,105,Matches
Oihan Sancet,es ESP,MF,24.0,18.0,461,569,81.0,6927,1632,269,310,86.8,157,187,84.0,23,36,63.9,1,1.9,1.5,-0.9,21,66,15,1,90,Matches
Iñigo Ruiz de Galarreta,es ESP,MF,30.0,16.4,683,844,80.9,12772,3749,257,297,86.5,349,385,90.6,67,119,56.3,4,2.9,2.7,1.1,28,101,25,3,137,Matches
Óscar de Marcos,es ESP,DF,35.0,17.4,800,1010,79.2,14337,5393,358,405,88.4,355,424,83.7,84,142,59.2,4,2.6,2.2,1.4,19,101,25,16,102,Matches
Andoni Gorosabel,es ESP,DF,27.0,16.5,736,884,83.3,11163,3242,408,446,91.5,293,349,84.0,24,49,49.0,2,1.8,1.7,0.2,15,57,16,10,51,Matches
Unai Gómez,es ESP,"MF,FW",21.0,14.3,223,305,73.1,3424,683,116,146,79.5,79,100,79.0,19,36,52.8,3,0.8,0.9,2.2,10,20,1,0,23,Matches
Julen Agirrezabala,es ESP,GK,23.0,13.4,281,411,68.4,7681,5777,46,46,100.0,165,165,100.0,70,196,35.7,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Adama Boiro,es ESP,"DF,FW",22.0,12.2,401,502,79.9,6196,1937,216,239,90.4,170,216,78.7,11,29,37.9,0,0.5,0.6,-0.5,5,44,8,4,46,Matches
Mikel Vesga,es ESP,MF,31.0,11.0,429,539,79.6,7559,2180,186,210,88.6,192,234,82.1,44,74,59.5,0,1.0,0.7,-1.0,12,51,5,0,64,Matches
Iñigo Lekue,es ESP,DF,31.0,8.6,345,439,78.6,5873,1993,152,172,88.4,163,198,82.3,23,52,44.2,0,0.5,0.5,-0.5,8,31,2,2,35,Matches
