Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Iñaki Williams,gh GHA,FW,30.0,29.5,830,798,26,0,7,7,115,21,0,0,0,0,525,6,35,Matches
Daniel Vivian,es ESP,DF,25.0,29.0,1753,1685,65,58,2,11,8,2,0,0,0,0,1526,3,13,Matches
Álex Berenguer,es ESP,"FW,MF",29.0,26.0,954,769,178,57,7,3,178,15,101,42,36,1,628,7,28,Matches
Mikel Jauregizar,es ESP,MF,20.0,24.9,1121,1074,42,24,5,13,27,0,18,2,11,0,904,5,13,Matches
Yuri Berchiche,es ESP,DF,34.0,22.7,1398,1149,246,27,0,19,42,219,0,0,0,0,1174,3,19,Matches
Nico Williams,es ESP,FW,22.0,22.2,705,640,60,8,0,3,107,12,40,12,20,0,497,5,36,Matches
Unai Simón,es ESP,GK,27.0,21.0,654,484,166,49,0,0,0,0,0,0,0,0,455,4,0,Matches
Gorka Guruzeta,es ESP,FW,27.0,20.4,411,383,25,0,1,4,5,3,0,0,0,0,298,3,13,Matches
Aitor Paredes,es ESP,DF,24.0,20.1,947,909,36,29,0,6,1,0,0,0,0,0,789,2,5,Matches
Beñat Prados,es ESP,MF,23.0,19.1,789,774,14,11,4,3,9,3,0,0,0,0,647,1,10,Matches
Yeray Álvarez,es ESP,DF,29.0,19.8,1182,1126,52,40,1,16,3,2,0,0,0,0,994,4,13,Matches
Oihan Sancet,es ESP,MF,24.0,18.0,569,547,18,2,5,4,18,3,0,0,0,0,461,4,14,Matches
Iñigo Ruiz de Galarreta,es ESP,MF,30.0,16.4,844,805,34,26,6,8,29,0,6,1,5,0,683,5,18,Matches
Óscar de Marcos,es ESP,DF,35.0,17.4,1010,793,213,21,4,2,55,192,0,0,0,0,800,4,20,Matches
Andoni Gorosabel,es ESP,DF,27.0,16.5,884,690,193,14,0,0,41,179,0,0,0,0,736,1,21,Matches
Unai Gómez,es ESP,"MF,FW",21.0,14.3,305,278,26,3,2,0,23,1,12,11,0,0,223,1,6,Matches
Julen Agirrezabala,es ESP,GK,23.0,13.4,411,305,102,36,0,0,0,0,0,0,0,0,281,4,0,Matches
Adama Boiro,es ESP,"DF,FW",22.0,12.2,502,397,105,6,0,0,31,99,0,0,0,0,401,0,10,Matches
Mikel Vesga,es ESP,MF,31.0,11.0,539,523,14,9,3,4,8,4,0,0,0,0,429,2,4,Matches
Iñigo Lekue,es ESP,DF,31.0,8.6,439,348,89,10,0,1,16,79,0,0,0,0,345,2,6,Matches
Maroan Sannadi,ma MAR,FW,23.0,8.4,159,156,3,0,1,0,6,0,0,0,0,0,115,0,9,Matches
Álvaro djaló,es ESP,FW,24.0,7.3,128,123,4,0,0,4,14,1,0,0,0,0,85,1,3,Matches
Unai Núñez,es ESP,DF,27.0,7.2,325,310,15,13,0,7,0,0,0,0,0,0,283,0,0,Matches
Alex Padilla,es ESP,GK,20.0,3.6,121,79,41,19,0,0,0,0,0,0,0,0,67,1,0,Matches
Ander Herrera,es ESP,MF,34.0,3.0,200,194,6,5,0,0,1,1,0,0,0,0,181,0,0,Matches
Peio Canales,es ESP,"MF,FW",19.0,2.9,112,96,16,3,0,1,16,0,11,1,9,0,89,0,1,Matches
Nicolás Serrano,es ESP,FW,21.0,1.2,44,37,7,2,0,0,13,0,5,4,0,0,25,0,0,Matches
Aingeru Olabarrieta,es ESP,FW,18.0,0.6,18,18,0,0,0,0,4,0,0,0,0,0,9,0,2,Matches
Javi Martón,es ESP,"FW,MF",25.0,0.6,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
Adu Ares,es ESP,FW,22.0,0.2,9,9,0,0,0,0,1,0,0,0,0,0,5,0,1,Matches
Endika Buján,es ESP,FW,21.0,0.1,5,5,0,0,0,0,1,0,0,0,0,0,4,0,0,Matches
Squad Total,,,26.9,38.0,17375,15511,1796,472,48,116,772,836,193,73,81,1,13665,68,300,
Opponent Total,,,26.6,38.0,18891,16899,1908,528,52,139,592,796,155,54,61,1,14953,84,323,
