Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Iñaki Williams,gh GHA,FW,30.0,29.5,1169,35,113,392,679,138,1169,101,33,32.7,56,55.4,739,4233,2259,107,39,49,65,44,898,302,Matches
Daniel Vivian,es ESP,DF,25.0,29.0,2085,147,901,1119,79,26,2085,17,10,58.8,6,35.3,1169,6581,4326,36,17,1,19,13,1325,6,Matches
Álex Berenguer,es ESP,"FW,MF",29.0,26.0,1250,18,98,462,713,86,1249,82,33,40.2,41,50.0,643,4310,2050,65,40,27,52,50,809,216,Matches
Mikel Jauregizar,es ESP,MF,20.0,24.9,1418,43,276,847,306,12,1418,42,20,47.6,16,38.1,706,2968,1261,14,25,1,35,23,848,31,Matches
Yuri Berchiche,es ESP,DF,34.0,22.7,1631,74,454,884,305,16,1631,16,6,37.5,8,50.0,775,3774,2158,43,29,3,18,2,926,66,Matches
Nico Williams,es ESP,FW,22.0,22.2,1064,8,84,333,671,113,1064,187,68,36.4,104,55.6,697,5556,2949,118,58,58,62,46,767,254,Matches
Unai Simón,es ESP,GK,27.0,21.0,704,516,698,7,0,0,704,0,0,,0,,397,2064,1133,0,0,0,1,1,328,0,Matches
Gorka Guruzeta,es ESP,FW,27.0,20.4,643,23,67,342,240,78,643,20,11,55.0,9,45.0,286,1120,375,8,12,2,48,20,415,64,Matches
Aitor Paredes,es ESP,DF,24.0,20.1,1154,127,623,519,15,11,1154,1,0,0.0,1,100.0,596,2995,1615,4,3,0,7,1,708,2,Matches
Beñat Prados,es ESP,MF,23.0,19.1,991,33,190,628,184,24,991,30,15,50.0,12,40.0,480,2312,1081,20,19,1,25,20,604,32,Matches
Yeray Álvarez,es ESP,DF,29.0,19.8,1425,100,554,825,55,14,1425,9,6,66.7,3,33.3,792,4934,3165,19,8,0,11,7,903,0,Matches
Oihan Sancet,es ESP,MF,24.0,18.0,767,9,61,378,345,68,764,50,24,48.0,21,42.0,464,2996,1662,52,39,8,56,45,610,115,Matches
Iñigo Ruiz de Galarreta,es ESP,MF,30.0,16.4,978,21,153,618,222,8,978,23,16,69.6,5,21.7,524,2660,1266,27,14,3,17,16,672,39,Matches
Óscar de Marcos,es ESP,DF,35.0,17.4,1158,36,303,573,288,16,1158,17,4,23.5,11,64.7,478,2003,1036,26,24,2,11,7,627,78,Matches
Andoni Gorosabel,es ESP,DF,27.0,16.5,1084,43,292,547,252,13,1084,14,7,50.0,7,50.0,432,1605,691,17,18,3,18,14,554,59,Matches
Unai Gómez,es ESP,"MF,FW",21.0,14.3,439,20,63,215,168,21,439,29,12,41.4,12,41.4,235,1270,617,19,17,3,23,21,271,49,Matches
Julen Agirrezabala,es ESP,GK,23.0,13.4,437,357,436,1,0,0,437,0,0,,0,,237,1238,682,0,0,0,1,0,211,0,Matches
Adama Boiro,es ESP,"DF,FW",22.0,12.2,627,25,158,309,165,14,627,26,8,30.8,16,61.5,288,1675,890,25,21,5,23,15,332,36,Matches
Mikel Vesga,es ESP,MF,31.0,11.0,653,30,143,398,119,11,652,12,7,58.3,5,41.7,291,1242,591,10,13,3,11,9,400,22,Matches
Iñigo Lekue,es ESP,DF,31.0,8.6,521,32,157,258,108,4,521,14,6,42.9,8,57.1,245,1062,515,13,6,1,5,5,268,21,Matches
Maroan Sannadi,ma MAR,FW,23.0,8.4,282,2,12,128,145,44,282,30,14,46.7,13,43.3,198,1096,512,21,7,9,41,18,237,67,Matches
Álvaro djaló,es ESP,FW,24.0,7.3,230,3,26,77,134,25,230,36,14,38.9,17,47.2,151,986,562,22,23,6,29,13,177,60,Matches
Unai Núñez,es ESP,DF,27.0,7.2,415,55,199,216,3,2,415,3,2,66.7,0,0.0,225,1108,554,2,0,0,6,0,245,0,Matches
Alex Padilla,es ESP,GK,20.0,3.6,134,110,131,3,0,0,134,0,0,,0,,69,383,239,0,0,0,0,0,46,0,Matches
Ander Herrera,es ESP,MF,34.0,3.0,237,12,37,151,49,6,236,5,2,40.0,1,20.0,116,431,196,2,4,0,3,2,169,5,Matches
Peio Canales,es ESP,"MF,FW",19.0,2.9,140,3,14,63,64,3,140,11,5,45.5,5,45.5,74,472,221,6,4,2,4,3,86,11,Matches
Nicolás Serrano,es ESP,FW,21.0,1.2,68,1,7,19,42,4,68,9,3,33.3,6,66.7,27,163,65,2,1,1,1,3,44,18,Matches
Aingeru Olabarrieta,es ESP,FW,18.0,0.6,25,1,2,11,13,0,25,4,1,25.0,3,75.0,15,106,59,2,2,0,0,1,18,3,Matches
Javi Martón,es ESP,"FW,MF",25.0,0.6,14,0,1,8,5,0,14,0,0,,0,,6,8,1,0,0,0,5,0,8,3,Matches
Adu Ares,es ESP,FW,22.0,0.2,11,0,2,3,6,1,11,1,0,0.0,1,100.0,8,44,29,1,1,0,0,2,11,2,Matches
Endika Buján,es ESP,FW,21.0,0.1,7,0,0,0,7,2,7,2,1,50.0,1,50.0,5,26,13,1,0,0,0,0,5,0,Matches
Squad Total,,,26.9,38.0,21761,1884,6255,10334,5382,760,21755,791,328,41.5,388,49.1,11368,61421,32773,682,444,188,597,401,13522,1561,
