Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Iñaki Williams,gh GHA,FW,28.0,31.5,10,83,32,38.6,2.63,1.02,0.11,0.28,15.1,0,1,2,10.7,9.1,0.11,-0.7,-0.1,Matches
Óscar de Marcos,es ESP,DF,33.0,31.3,1,4,2,50.0,0.13,0.06,0.25,0.5,20.3,0,0,0,0.4,0.4,0.1,0.6,0.6,Matches
Nico Williams,es ESP,FW,20.0,29.5,6,61,20,32.8,2.07,0.68,0.1,0.3,17.7,1,0,0,4.9,4.9,0.08,1.1,1.1,Matches
Oihan Sancet,es ESP,MF,22.0,28.1,10,56,19,33.9,1.99,0.68,0.14,0.42,17.6,0,2,2,7.6,6.0,0.11,2.4,2.0,Matches
Unai Simón,es ESP,GK,25.0,30.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mikel Vesga,es ESP,MF,29.0,28.6,3,25,3,12.0,0.87,0.1,0.04,0.33,21.9,0,2,3,3.9,1.5,0.06,-0.9,-0.5,Matches
Yuri Berchiche,es ESP,DF,32.0,26.7,1,28,7,25.0,1.05,0.26,0.04,0.14,20.4,0,0,0,1.3,1.3,0.05,-0.3,-0.3,Matches
Yeray Álvarez,es ESP,DF,27.0,25.9,1,8,1,12.5,0.31,0.04,0.13,1.0,16.0,0,0,0,0.8,0.8,0.1,0.2,0.2,Matches
Daniel Vivian,es ESP,DF,23.0,26.4,1,13,2,15.4,0.49,0.08,0.08,0.5,12.7,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
Álex Berenguer,es ESP,FW,27.0,25.5,4,56,19,33.9,2.19,0.74,0.07,0.21,18.0,4,0,0,4.3,4.3,0.08,-0.3,-0.3,Matches
Iker Muniain,es ESP,"MF,FW",29.0,18.8,0,28,7,25.0,1.49,0.37,0.0,0.0,18.1,1,0,0,3.0,3.0,0.11,-3.0,-3.0,Matches
Dani García,es ESP,MF,32.0,16.5,0,9,0,0.0,0.55,0.0,0.0,,18.2,0,0,0,1.4,1.4,0.16,-1.4,-1.4,Matches
Gorka Guruzeta,es ESP,FW,25.0,15.8,6,51,17,33.3,3.23,1.08,0.12,0.35,12.7,2,0,0,6.1,6.1,0.12,-0.1,-0.1,Matches
Iñigo Martínez,es ESP,DF,31.0,14.9,1,10,2,20.0,0.67,0.13,0.1,0.5,15.1,3,0,0,0.8,0.8,0.08,0.2,0.2,Matches
Iñigo Lekue,es ESP,DF,29.0,14.7,0,9,1,11.1,0.61,0.07,0.0,0.0,26.7,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
Aitor Paredes,es ESP,DF,22.0,9.5,0,8,3,37.5,0.84,0.31,0.0,0.0,12.6,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
Ander Herrera,es ESP,MF,32.0,7.7,0,10,1,10.0,1.29,0.13,0.0,0.0,20.9,2,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
Julen Agirrezabala,es ESP,GK,21.0,7.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Raúl García,es ESP,"FW,MF",36.0,10.7,2,52,14,26.9,4.84,1.3,0.04,0.14,14.6,0,0,0,5.2,5.2,0.1,-3.2,-3.2,Matches
Oier Zarraga,es ESP,MF,23.0,9.5,0,18,5,27.8,1.9,0.53,0.0,0.0,24.6,0,0,0,1.3,1.3,0.07,-1.3,-1.3,Matches
Mikel Balenziaga,es ESP,DF,34.0,1.3,0,1,0,0.0,0.78,0.0,0.0,,24.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Ander Capa,es ESP,DF,30.0,1.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Asier Villalibre,es ESP,FW,24.0,1.1,0,4,1,25.0,3.71,0.93,0.0,0.0,11.6,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
Unai Vencedor Paris,es ESP,MF,21.0,2.1,0,3,1,33.3,1.4,0.47,0.0,0.0,16.3,0,0,0,0.5,0.5,0.16,-0.5,-0.5,Matches
Adu Ares,es ESP,"FW,MF",20.0,0.9,0,3,0,0.0,3.21,0.0,0.0,,21.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Jon Morcillo,es ESP,"FW,MF",23.0,0.8,0,1,0,0.0,1.18,0.0,0.0,,10.3,0,0,0,0.1,0.1,0.15,-0.1,-0.1,Matches
Squad Total,,,27.4,38.0,46,541,157,29.0,14.24,4.13,0.08,0.26,17.1,13,5,7,54.2,48.7,0.09,-8.2,-7.7,
Opponent Total,,,27.3,38.0,40,387,120,31.0,10.18,3.16,0.1,0.31,18.0,16,3,3,36.9,34.5,0.09,3.1,2.5,
