Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Iñaki Williams,gh GHA,FW,30.0,35,29,2652.0,29.5,6.0,8.0,14.0,6.0,0.0,0.0,1.0,0.0,7.6,7.6,7.8,15.4,107.0,76.0,302.0,0.2,0.27,0.48,0.2,0.48,0.26,0.27,0.52,0.26,0.52,Matches
Daniel Vivian,es ESP,DF,25.0,32,28,2608.0,29.0,4.0,0.0,4.0,4.0,0.0,0.0,3.0,0.0,1.9,1.9,0.4,2.3,36.0,185.0,6.0,0.14,0.0,0.14,0.14,0.14,0.07,0.01,0.08,0.07,0.08,Matches
Álex Berenguer,es ESP,"FW,MF",29.0,36,28,2339.0,26.0,6.0,7.0,13.0,6.0,0.0,1.0,5.0,0.0,6.8,6.0,5.0,11.0,65.0,78.0,216.0,0.23,0.27,0.5,0.23,0.5,0.26,0.19,0.45,0.23,0.42,Matches
Mikel Jauregizar,es ESP,MF,20.0,34,25,2244.0,24.9,2.0,1.0,3.0,2.0,0.0,0.0,4.0,1.0,1.1,1.1,1.4,2.5,14.0,118.0,31.0,0.08,0.04,0.12,0.08,0.12,0.04,0.06,0.1,0.04,0.1,Matches
Yuri Berchiche,es ESP,DF,34.0,30,22,2044.0,22.7,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.6,0.6,2.2,2.8,43.0,161.0,66.0,0.0,0.09,0.09,0.0,0.09,0.02,0.1,0.12,0.02,0.12,Matches
Nico Williams,es ESP,FW,22.0,29,22,1996.0,22.2,5.0,5.0,10.0,5.0,0.0,0.0,1.0,0.0,4.2,4.2,3.5,7.7,118.0,69.0,254.0,0.23,0.23,0.45,0.23,0.45,0.19,0.16,0.35,0.19,0.35,Matches
Unai Simón,es ESP,GK,27.0,21,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gorka Guruzeta,es ESP,FW,27.0,36,21,1840.0,20.4,7.0,2.0,9.0,7.0,0.0,0.0,2.0,0.0,6.7,6.6,1.5,8.1,8.0,31.0,64.0,0.34,0.1,0.44,0.34,0.44,0.33,0.07,0.4,0.32,0.4,Matches
Aitor Paredes,es ESP,DF,24.0,23,21,1812.0,20.1,3.0,0.0,3.0,3.0,0.0,0.0,4.0,1.0,2.3,2.3,0.1,2.3,4.0,46.0,2.0,0.15,0.0,0.15,0.15,0.15,0.11,0.0,0.12,0.11,0.12,Matches
Beñat Prados,es ESP,MF,23.0,30,21,1715.0,19.1,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,1.0,1.0,1.1,2.1,20.0,78.0,32.0,0.05,0.0,0.05,0.05,0.05,0.05,0.06,0.11,0.05,0.11,Matches
Yeray Álvarez,es ESP,DF,29.0,21,20,1781.0,19.8,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.5,0.5,0.2,0.7,19.0,105.0,0.0,0.05,0.0,0.05,0.05,0.05,0.02,0.01,0.04,0.02,0.04,Matches
Oihan Sancet,es ESP,MF,24.0,29,19,1620.0,18.0,15.0,1.0,16.0,12.0,3.0,3.0,2.0,0.0,9.7,7.3,1.9,9.2,52.0,90.0,115.0,0.83,0.06,0.89,0.67,0.72,0.54,0.1,0.64,0.4,0.51,Matches
Iñigo Ruiz de Galarreta,es ESP,MF,30.0,26,18,1477.0,16.4,0.0,4.0,4.0,0.0,0.0,0.0,5.0,0.0,0.5,0.5,2.9,3.4,27.0,137.0,39.0,0.0,0.24,0.24,0.0,0.24,0.03,0.18,0.21,0.03,0.21,Matches
Óscar de Marcos,es ESP,DF,35.0,26,17,1564.0,17.4,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.6,3.6,26.0,102.0,78.0,0.0,0.23,0.23,0.0,0.23,0.06,0.15,0.21,0.06,0.21,Matches
Andoni Gorosabel,es ESP,DF,27.0,20,17,1485.0,16.5,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,1.8,2.1,17.0,51.0,59.0,0.0,0.12,0.12,0.0,0.12,0.02,0.11,0.13,0.02,0.13,Matches
Unai Gómez,es ESP,"MF,FW",21.0,32,14,1284.0,14.3,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,1.9,1.9,0.8,2.7,19.0,23.0,49.0,0.07,0.21,0.28,0.07,0.28,0.13,0.06,0.19,0.13,0.19,Matches
Julen Agirrezabala,es ESP,GK,23.0,14,14,1206.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Adama Boiro,es ESP,"DF,FW",22.0,18,13,1101.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.5,0.7,25.0,46.0,36.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,Matches
Mikel Vesga,es ESP,MF,31.0,25,10,988.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.2,0.4,1.0,1.4,10.0,64.0,22.0,0.0,0.0,0.0,0.0,0.0,0.11,0.09,0.2,0.04,0.13,Matches
Iñigo Lekue,es ESP,DF,31.0,16,8,773.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.5,0.7,13.0,35.0,21.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.08,0.02,0.08,Matches
Maroan Sannadi,ma MAR,FW,23.0,16,7,754.0,8.4,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,3.5,3.5,0.6,4.1,21.0,15.0,67.0,0.12,0.12,0.24,0.12,0.24,0.41,0.07,0.48,0.41,0.48,Matches
Álvaro djaló,es ESP,FW,24.0,17,7,659.0,7.3,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,0.9,1.7,22.0,13.0,60.0,0.14,0.0,0.14,0.14,0.14,0.11,0.12,0.23,0.11,0.23,Matches
Unai Núñez,es ESP,DF,27.0,10,7,645.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.1,0.3,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches
Alex Padilla,es ESP,GK,20.0,5,3,321.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ander Herrera,es ESP,MF,34.0,8,2,273.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.7,0.9,0.1,1.1,2.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.57,0.04,0.61,0.31,0.35,Matches
Peio Canales,es ESP,"MF,FW",19.0,8,2,259.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,6.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.07,0.08,0.15,0.07,0.15,Matches
Nicolás Serrano,es ESP,FW,21.0,4,1,112.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,2.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.13,0.02,0.15,0.13,0.15,Matches
Aingeru Olabarrieta,es ESP,FW,18.0,1,1,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Javi Martón,es ESP,"FW,MF",25.0,3,0,53.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Adu Ares,es ESP,FW,22.0,1,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Endika Buján,es ESP,FW,21.0,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Unai Eguíluz,es ESP,DF,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Oier Gastesi,es ESP,GK,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ander Izagirre,es ESP,DF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Alejandro Rego,es ESP,MF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Iker Varela,es ESP,MF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.9,38,418,3420.0,38.0,53.0,40.0,93.0,50.0,3.0,6.0,64.0,3.0,53.0,48.2,36.7,84.9,682.0,1579.0,1561.0,1.39,1.05,2.45,1.32,2.37,1.39,0.97,2.36,1.27,2.23,
Opponent Total,,,26.6,38,418,3420.0,38.0,28.0,11.0,39.0,25.0,3.0,5.0,83.0,4.0,37.8,33.9,22.9,56.7,468.0,1177.0,1168.0,0.74,0.29,1.03,0.66,0.95,0.99,0.6,1.6,0.89,1.49,
