Player,Age,Current club,Market value,Nat.,Season,Contract
"['Unai Simón', 'Goalkeeper']",24,Athletic Club,€20.00m,Spain,2020,"Jul 1, 2018"
"['Iago Herrerín', 'Goalkeeper']",33,Athletic Club,€1.00m,Spain,2020,"Jul 1, 2012"
"['Jokin Ezkieta', 'Goalkeeper']",24,Athletic Club,€300k,Spain,2020,"Aug 4, 2020"
"['Unai Núñez', 'Centre-Back']",24,Athletic Club,€20.00m,Spain,2020,"Aug 28, 2024"
"['Iñigo Martínez', 'Centre-Back']",30,Athletic Club,€20.00m,Spain,2020,"Jan 30, 2018"
"['Yeray Álvarez', 'Centre-Back']",26,Athletic Club,€20.00m,Spain,2020,"Jul 1, 2016"
"['Aitor Paredes', 'Centre-Back']",21,Athletic Club,€200k,Spain,2020,"Jul 1, 2022"
"['Yuri Berchiche', 'Left-Back']",31,Athletic Club,€12.00m,Spain,2020,"Jul 2, 2018"
"['Mikel Balenziaga', 'Left-Back']",33,Athletic Club,€1.20m,Spain,2020,"Jul 1, 2013"
"['Ander Capa', 'Right-Back']",29,Athletic Club,€6.00m,Spain,2020,"Jul 1, 2018"
"['Óscar de Marcos', 'Right-Back']",32,Athletic Club,€2.00m,Spain,2020,"Jul 1, 2009"
"['Iñigo Lekue', 'Right-Back']",28,Athletic Club,€1.50m,Spain,2020,"Jul 1, 2016"
"['Peru Nolaskoain', 'Defensive Midfield']",22,Athletic Club,€3.00m,Spain,2020,"Jul 1, 2019"
"['Mikel Vesga', 'Defensive Midfield']",28,Athletic Club,€2.00m,Spain,2020,"Jul 1, 2016"
"['Unai López', 'Central Midfield']",25,Athletic Club,€12.00m,Spain,2020,"Jul 1, 2016"
"['Unai Vencedor', 'Central Midfield']",20,Athletic Club,€5.00m,Spain,2020,"Aug 1, 2020"
"['Dani García', 'Central Midfield']",31,Athletic Club,€3.00m,Spain,2020,"Jul 1, 2018"
"['Oier Zarraga', 'Central Midfield']",22,Athletic Club,€500k,Spain,2020,"Feb 1, 2021"
"['Beñat Prados', 'Central Midfield']",20,Athletic Club,€200k,Spain,2020,"Jul 1, 2022"
"['Julen Bernaola', 'Central Midfield']",22,Athletic Club,€50k,Spain,2020,
"['Iker Muniain', 'Attacking Midfield']",28,Athletic Club,€12.00m,Spain,2020,"Jul 1, 2009"
"['Oihan Sancet', 'Attacking Midfield']",21,Athletic Club,€3.50m,Spain,2020,"Aug 4, 2020"
"['Raúl García', 'Attacking Midfield']",34,Athletic Club,€2.50m,Spain,2020,"Aug 30, 2015"
"['Álex Berenguer', 'Left Winger']",25,Athletic Club,€15.00m,Spain,2020,"Oct 2, 2020"
"['Jon Morcillo', 'Left Winger']",22,Athletic Club,€5.00m,Spain,2020,"Aug 1, 2020"
"['Iñigo Córdoba', 'Left Winger']",24,Athletic Club,€2.00m,Spain,2020,"Jul 1, 2017"
"['Nico Williams', 'Left Winger']",18,Athletic Club,€1.50m,Spain,2020,"Jul 1, 2021"
"['Ibai Gómez', 'Left Winger']",31,Athletic Club,€1.20m,Spain,2020,"Jan 10, 2019"
"['Iñigo Vicente', 'Left Winger']",23,Athletic Club,€1.00m,Spain,2020,"Jul 1, 2019"
"['Iñaki Williams', 'Right Winger']",27,Athletic Club,€25.00m,Ghana,2020,"Jul 1, 2015"
"['Asier Villalibre', 'Centre-Forward']",23,Athletic Club,€4.50m,Spain,2020,"Jul 1, 2019"
"['Kenan Kodro', 'Centre-Forward']",27,Athletic Club,€1.00m,Bosnia-Herzegovina,2020,"Jan 31, 2019"
"['Unai Simón', 'Goalkeeper']",25,Athletic Club,€25.00m,Spain,2021,"Jul 1, 2018"
