Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Jan Oblak,si SVN,GK,31.0,36.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,17,2,Matches
Julián Álvarez,ar ARG,FW,24.0,27.9,25,17,5,11,9,8,30,26.7,22,14,0,14,2,27,12,1,Matches
Antoine Griezmann,fr FRA,"FW,MF",33.0,27.4,30,17,13,13,4,7,29,24.1,22,20,1,19,6,36,23,1,Matches
Marcos Llorente,es ESP,"DF,MF",29.0,27.9,69,52,38,27,4,36,55,65.5,19,32,7,25,27,96,51,1,Matches
Pablo Barrios,es ESP,MF,21.0,25.9,46,26,23,20,3,23,47,48.9,24,18,5,13,34,80,33,9,Matches
Giuliano Simeone,ar ARG,MF,21.0,21.4,27,13,6,11,10,15,30,50.0,15,22,3,19,14,41,22,1,Matches
Robin Le Normand,es ESP,DF,27.0,23.9,27,18,23,4,0,12,20,60.0,8,20,9,11,10,37,120,1,Matches
Rodrigo De Paul,ar ARG,MF,30.0,23.4,33,26,12,16,5,14,33,42.4,19,25,2,23,6,39,15,3,Matches
Clément Lenglet,fr FRA,DF,29.0,21.9,27,17,19,8,0,11,15,73.3,4,24,18,6,22,49,104,1,Matches
Javi Galán,es ESP,DF,29.0,19.8,51,31,31,15,5,25,49,51.0,24,13,3,10,12,63,47,0,Matches
Samuel Lino,br BRA,"MF,DF",24.0,17.2,33,17,25,4,4,22,52,42.3,30,23,4,19,8,41,13,0,Matches
José María Giménez,uy URU,DF,29.0,22.2,26,16,18,8,0,17,28,60.7,11,29,19,10,27,53,115,2,Matches
Koke,es ESP,MF,32.0,21.4,46,23,18,22,6,21,43,48.8,22,24,2,22,20,66,29,2,Matches
Conor Gallagher,eng ENG,MF,24.0,18.1,45,32,16,19,10,22,49,44.9,27,23,5,18,20,65,23,0,Matches
Nahuel Molina,ar ARG,DF,26.0,17.7,44,19,21,21,2,31,56,55.4,25,16,3,13,13,57,53,0,Matches
Alexander Sørloth,no NOR,FW,28.0,17.4,9,5,2,5,2,3,6,50.0,3,6,1,5,1,10,28,0,Matches
Reinildo Mandava,mz MOZ,DF,30.0,10.5,18,11,10,7,1,10,18,55.6,8,11,5,6,16,34,35,0,Matches
César Azpilicueta,es ESP,DF,34.0,9.7,25,14,12,9,4,17,23,73.9,6,10,2,8,5,30,32,0,Matches
Axel Witsel,be BEL,DF,35.0,9.5,16,12,4,10,2,12,14,85.7,2,15,8,7,11,27,34,1,Matches
Rodrigo Riquelme,es ESP,"MF,DF",24.0,5.7,11,5,4,6,1,6,11,54.5,5,3,0,3,2,13,3,0,Matches
Ángel Correa,ar ARG,"FW,MF",29.0,8.9,9,3,4,1,4,5,15,33.3,10,10,0,10,4,13,8,0,Matches
Juan Musso,ar ARG,GK,30.0,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Thomas Lemar,fr FRA,MF,28.0,0.9,2,1,1,1,0,2,4,50.0,2,0,0,0,0,2,1,0,Matches
Adrian Niño,es ESP,FW,20.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,28.4,38.0,619,375,305,238,76,319,627,50.9,308,358,97,261,260,879,818,25,
Opponent Total,,,26.8,38.0,579,365,276,206,97,305,581,52.5,276,437,110,327,369,948,969,35,
