Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Nahuel Molina,ar ARG,DF,24.0,31.9,92,2.89,83,5,2,0,1,1,6,0.19,5,0,0,0,1,0,Matches
Antoine Griezmann,fr FRA,"FW,MF",31.0,31.8,162,5.1,111,23,10,7,8,3,26,0.82,18,5,1,2,0,0,Matches
Koke,es ESP,MF,30.0,28.3,70,2.48,67,0,0,2,1,0,6,0.21,6,0,0,0,0,0,Matches
Jan Oblak,si SVN,GK,29.0,27.7,2,0.07,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
José María Giménez,uy URU,DF,27.0,26.9,22,0.82,18,0,0,2,1,1,3,0.11,3,0,0,0,0,0,Matches
Yannick Carrasco,be BEL,"DF,MF",28.0,25.7,97,3.77,59,14,14,8,2,0,9,0.35,4,2,1,2,0,0,Matches
Axel Witsel,be BEL,"DF,MF",33.0,25.1,23,0.92,22,0,0,1,0,0,4,0.16,4,0,0,0,0,0,Matches
Mario Hermoso,es ESP,DF,27.0,23.4,33,1.41,27,0,0,4,1,1,3,0.13,1,0,0,2,0,0,Matches
Rodrigo De Paul,ar ARG,MF,28.0,21.4,88,4.12,77,7,1,0,3,0,11,0.52,10,0,0,0,1,0,Matches
Álvaro Morata,es ESP,FW,29.0,21.1,48,2.27,30,0,6,5,7,0,9,0.43,4,0,3,1,1,0,Matches
Stefan Savić,me MNE,DF,31.0,21.6,11,0.51,11,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
Reinildo Mandava,mz MOZ,DF,28.0,20.6,23,1.12,21,0,0,0,1,1,1,0.05,1,0,0,0,0,0,Matches
Marcos Llorente,es ESP,"MF,DF",27.0,18.9,60,3.17,54,1,0,2,1,2,3,0.16,3,0,0,0,0,0,Matches
Thomas Lemar,fr FRA,MF,26.0,13.9,45,3.23,33,5,3,1,1,2,7,0.5,4,0,1,1,0,1,Matches
Ángel Correa,ar ARG,"FW,MF",27.0,16.2,61,3.78,45,3,5,6,1,1,11,0.68,5,0,2,3,0,1,Matches
Saúl Ñíguez,es ESP,"MF,DF",27.0,12.2,22,1.8,18,0,0,4,0,0,3,0.25,3,0,0,0,0,0,Matches
Geoffrey Kondogbia,cf CTA,MF,29.0,11.2,12,1.07,10,0,0,1,1,0,2,0.18,2,0,0,0,0,0,Matches
Ivo Grbić,hr CRO,GK,26.0,10.2,1,0.1,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
João Félix,pt POR,"FW,MF",22.0,7.2,29,4.02,22,0,3,3,0,1,5,0.69,4,0,0,1,0,0,Matches
Pablo Barrios,es ESP,MF,19.0,8.0,20,2.48,17,0,0,2,1,0,2,0.25,1,0,0,1,0,0,Matches
Memphis,nl NED,FW,28.0,3.0,13,4.33,8,0,2,1,2,0,2,0.67,1,0,1,0,0,0,Matches
Matheus Cunha,br BRA,"FW,MF",23.0,4.2,10,2.38,8,0,0,2,0,0,2,0.48,2,0,0,0,0,0,Matches
Sergio Reguilón,es ESP,DF,25.0,3.4,13,3.75,11,1,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Felipe,br BRA,DF,33.0,2.2,1,0.46,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Carlos Martín,es ESP,"FW,MF",20.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Matt Doherty,ie IRL,DF,30.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Antonio Gomis,es ESP,GK,19.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,28.5,38.0,958,25.21,756,59,47,51,32,13,116,3.05,82,7,9,13,3,2,
Opponent Total,,,27.0,38.0,781,20.55,585,60,49,41,38,8,58,1.53,43,4,1,7,3,0,
